,Fries With That,Master Safari,Galancy,Defiant Diorite,Strictly Cash,Nobel Knight,The Frenchman,Angels My Name,Luckys Way,Lady Tornado,Swift Gondo
11-01-2023 18:50:41.046874,"(21.0, 34.0, 32.096385542168676)","(81.0, 140.0, 134.34782608695653)","(18.0, 25.0, 24.63095238095238)","(3.3, 3.6, 3.5727735368956743)","(16.0, 21.0, 20.224)","(14.0, 17.5, 17.333333333333332)","(91.0, 170.0, 160.27027027027026)","(31.0, 50.0, 48.76923076923077)","(2.35, 2.58, 2.5601960784313724)","(6.5, 8.8, 8.2)","(101.0, 390.0, 325.8333333333333)"
11-01-2023 18:50:42.625811,"(21.0, 34.0, 32.09756097560975)","(81.0, 140.0, 134.34782608695653)","(18.0, 25.0, 24.859154929577464)","(3.3, 3.6, 3.579783037475345)","(16.0, 21.0, 20.344594594594593)","(14.0, 17.5, 17.528301886792452)","(91.0, 170.0, 161.21951219512195)","(31.0, 50.0, 49.7)","(2.35, 2.6, 2.5737007874015747)","(6.5, 8.4, 8.338053097345133)","(101.0, 390.0, 325.8333333333333)"
11-01-2023 18:50:44.241479,"(21.0, 34.0, 32.285714285714285)","(81.0, 140.0, 136.94444444444446)","(18.0, 25.0, 24.859154929577464)","(3.3, 3.6, 3.578511530398323)","(16.0, 21.0, 20.28676470588235)","(14.0, 18.0, 17.166666666666668)","(91.0, 170.0, 161.21951219512195)","(31.0, 55.0, 49.82608695652174)","(2.35, 2.58, 2.5592814371257484)","(6.5, 8.4, 8.328925619834711)","(101.0, 390.0, 326.3636363636364)"
11-01-2023 18:50:45.905684,"(21.0, 34.0, 32.142857142857146)","(81.0, 140.0, 136.94444444444446)","(18.0, 25.0, 24.863013698630137)","(3.3, 3.6, 3.5987138263665597)","(16.0, 21.0, 20.302158273381295)","(14.0, 18.0, 16.875)","(91.0, 170.0, 162.0)","(31.0, 50.0, 49.833333333333336)","(2.35, 2.56, 2.5597927461139895)","(6.5, 8.4, 8.352845528455285)","(101.0, 390.0, 327.77777777777777)"
11-01-2023 18:50:47.599076,"(21.0, 34.0, 32.142857142857146)","(81.0, 140.0, 137.42857142857142)","(18.0, 25.0, 25.142857142857142)","(3.3, 3.6, 3.63715710723192)","(16.0, 21.0, 20.41780821917808)","(14.0, 17.5, 17.05)","(91.0, 170.0, 162.04545454545453)","(31.0, 50.0, 50.4)","(2.35, 2.56, 2.5102439024390244)","(6.5, 8.4, 8.39816513761468)","(101.0, 390.0, 335.55555555555554)"
11-01-2023 18:50:49.267521,"(21.0, 34.0, 32.292682926829265)","(81.0, 140.0, 137.87878787878788)","(18.0, 26.0, 25.257142857142856)","(3.3, 3.65, 3.645107033639144)","(16.0, 21.0, 20.47741935483871)","(14.0, 17.5, 17.282608695652176)","(91.0, 170.0, 162.3913043478261)","(31.0, 55.0, 51.09375)","(2.35, 2.52, 2.517948717948718)","(6.5, 8.4, 8.492631578947368)","(101.0, 390.0, 334.0)"
11-01-2023 18:50:51.017710,"(21.0, 34.0, 34.20338983050848)","(81.0, 140.0, 137.87878787878788)","(18.0, 26.0, 25.333333333333332)","(3.3, 3.65, 3.6450155763239875)","(16.0, 21.0, 20.47741935483871)","(14.0, 17.5, 17.364864864864863)","(91.0, 170.0, 163.26923076923077)","(31.0, 55.0, 50.51282051282051)","(2.35, 2.52, 2.51681592039801)","(6.5, 8.6, 8.464)","(101.0, 390.0, 334.0)"
11-01-2023 18:50:52.614706,"(21.0, 36.0, 33.5)","(81.0, 140.0, 137.66666666666666)","(18.0, 26.0, 25.298507462686565)","(3.3, 3.65, 3.6693121693121693)","(16.0, 21.0, 19.0)","(14.0, 17.5, 17.427272727272726)","(91.0, 170.0, 162.5531914893617)","(31.0, 55.0, 49.03703703703704)","(2.35, 2.52, 2.510794701986755)","(6.5, 8.6, 8.5375)","(101.0, 390.0, 334.0)"
11-01-2023 18:50:54.176341,"(21.0, 34.0, 33.578947368421055)","(81.0, 140.0, 138.88888888888889)","(18.0, 26.0, 25.318840579710145)","(3.3, 3.7, 3.6727064220183485)","(16.0, 19.5, 18.545454545454547)","(14.0, 17.5, 17.666666666666668)","(91.0, 170.0, 163.0)","(31.0, 55.0, 50.625)","(2.35, 2.54, 2.516808510638298)","(6.5, 8.6, 8.501754385964912)","(101.0, 390.0, 334.0)"
11-01-2023 18:50:55.747040,"(21.0, 34.0, 33.23809523809524)","(81.0, 140.0, 138.88888888888889)","(18.0, 26.0, 25.265625)","(3.3, 3.7, 3.6767578125)","(16.0, 19.0, 18.43548387096774)","(14.0, 18.0, 17.727272727272727)","(91.0, 170.0, 163.0)","(31.0, 55.0, 50.847457627118644)","(2.35, 2.52, 2.5215384615384617)","(6.5, 8.6, 8.5125)","(101.0, 390.0, 339.09090909090907)"
11-01-2023 18:50:57.272287,"(21.0, 34.0, 32.22222222222222)","(81.0, 140.0, 138.88888888888889)","(18.0, 26.0, 25.265625)","(3.3, 3.7, 3.682558139534884)","(16.0, 18.5, 18.4375)","(14.0, 18.0, 17.67241379310345)","(91.0, 170.0, 163.0)","(31.0, 55.0, 50.4)","(2.35, 2.54, 2.5183673469387755)","(6.5, 8.6, 8.525827814569537)","(101.0, 390.0, 339.09090909090907)"
11-01-2023 18:50:58.858746,"(21.0, 34.0, 32.22222222222222)","(81.0, 140.0, 139.23076923076923)","(18.0, 26.0, 25.265625)","(3.3, 3.7, 3.6826732673267326)","(16.0, 18.5, 18.4375)","(14.0, 18.0, 17.559139784946236)","(91.0, 170.0, 162.3913043478261)","(31.0, 55.0, 50.416666666666664)","(2.35, 2.52, 2.51875)","(6.5, 8.6, 8.568539325842696)","(101.0, 390.0, 341.0)"
11-01-2023 18:51:00.459244,"(21.0, 34.0, 32.81481481481482)","(81.0, 140.0, 139.23076923076923)","(18.0, 26.0, 25.265625)","(3.3, 3.7, 3.6753086419753087)","(16.0, 18.5, 18.40909090909091)","(14.0, 18.0, 17.388059701492537)","(91.0, 170.0, 162.22222222222223)","(31.0, 55.0, 50.44444444444444)","(2.35, 2.52, 2.518529411764706)","(6.5, 8.6, 8.567883211678831)","(101.0, 390.0, 341.0)"
11-01-2023 18:51:02.027860,"(21.0, 34.0, 32.526315789473685)","(81.0, 140.0, 149.2)","(18.0, 26.0, 25.383561643835616)","(3.3, 3.7, 3.681893687707641)","(15.0, 18.5, 18.75)","(14.0, 17.5, 17.642857142857142)","(91.0, 170.0, 162.44444444444446)","(31.0, 55.0, 50.45454545454545)","(2.35, 2.52, 2.518)","(6.5, 8.6, 8.510179640718563)","(101.0, 390.0, 341.0)"
11-01-2023 18:51:03.653133,"(21.0, 34.0, 32.526315789473685)","(81.0, 150.0, 152.05882352941177)","(18.0, 26.0, 25.37837837837838)","(3.3, 3.7, 3.6716145833333336)","(15.0, 19.0, 18.333333333333332)","(14.0, 18.0, 17.597701149425287)","(91.0, 170.0, 162.44444444444446)","(31.0, 55.0, 50.45454545454545)","(2.35, 2.54, 2.5144444444444445)","(6.5, 8.6, 8.458715596330276)","(101.0, 390.0, 341.0)"
11-01-2023 18:51:05.305015,"(21.0, 34.0, 33.375)","(81.0, 160.0, 153.72093023255815)","(18.0, 26.0, 25.452380952380953)","(3.3, 3.7, 3.679277566539924)","(15.0, 18.5, 18.833333333333332)","(14.0, 18.0, 17.642857142857142)","(91.0, 170.0, 154.88888888888889)","(31.0, 55.0, 50.45454545454545)","(2.35, 2.52, 2.5174789915966387)","(6.5, 8.6, 8.371641791044777)","(101.0, 390.0, 355.0)"
11-01-2023 18:51:06.966253,"(21.0, 34.0, 32.53333333333333)","(81.0, 160.0, 151.25)","(18.0, 26.0, 25.551724137931036)","(3.3, 3.7, 3.734489795918367)","(16.0, 19.0, 18.833333333333332)","(14.0, 18.0, 17.763636363636362)","(91.0, 170.0, 160.83333333333334)","(31.0, 55.0, 50.888888888888886)","(2.3, 2.52, 2.5145454545454546)","(6.5, 8.4, 8.32)","(101.0, 390.0, 346.25)"
11-01-2023 18:51:08.574118,"(21.0, 34.0, 30.228070175438596)","(81.0, 160.0, 151.25)","(18.0, 26.0, 25.551724137931036)","(3.3, 3.75, 3.731176470588235)","(16.0, 19.0, 18.833333333333332)","(14.0, 18.0, 17.763636363636362)","(91.0, 170.0, 160.83333333333334)","(31.0, 55.0, 50.48780487804878)","(2.3, 2.52, 2.4978625954198472)","(6.5, 8.6, 8.521951219512195)","(101.0, 390.0, 337.5)"
11-01-2023 18:51:10.084653,"(21.0, 34.0, 30.82608695652174)","(81.0, 160.0, 152.0)","(18.0, 26.0, 25.551724137931036)","(3.3, 3.75, 3.731176470588235)","(16.0, 19.0, 18.833333333333332)","(14.0, 18.0, 17.763636363636362)","(91.0, 170.0, 152.56410256410257)","(31.0, 55.0, 50.22222222222222)","(2.3, 2.5, 2.5174257425742574)","(6.5, 8.6, 8.381967213114754)","(101.0, 390.0, 337.5)"
11-01-2023 18:51:11.678062,"(21.0, 32.0, 30.41176470588235)","(81.0, 160.0, 150.9090909090909)","(18.0, 26.0, 25.551724137931036)","(3.3, 3.75, 3.731176470588235)","(16.0, 19.0, 18.763157894736842)","(14.0, 18.0, 17.9)","(91.0, 170.0, 152.38095238095238)","(31.0, 55.0, 50.48780487804878)","(2.3, 2.54, 2.503076923076923)","(6.5, 8.4, 8.409411764705883)","(101.0, 390.0, 337.5)"
11-01-2023 18:51:13.562363,"(21.0, 32.0, 30.8)","(81.0, 160.0, 150.9090909090909)","(18.0, 26.0, 25.551724137931036)","(3.3, 3.75, 3.6881443298969074)","(16.0, 19.0, 18.763157894736842)","(14.0, 18.0, 17.9)","(91.0, 170.0, 153.91304347826087)","(31.0, 55.0, 50.48780487804878)","(2.3, 2.52, 2.512142857142857)","(6.5, 8.6, 8.457142857142857)","(101.0, 390.0, 337.5)"
11-01-2023 18:51:15.747942,"(21.0, 32.0, 30.0)","(81.0, 160.0, 146.36363636363637)","(18.0, 26.0, 26.16)","(3.3, 3.7, 3.6342857142857143)","(16.0, 19.0, 19.029850746268657)","(14.0, 18.0, 17.928571428571427)","(91.0, 170.0, 161.30434782608697)","(31.0, 55.0, 50.5)","(2.3, 2.6, 2.554838709677419)","(6.5, 8.6, 8.27741935483871)","(101.0, 390.0, 360.0)"
11-01-2023 18:51:17.548740,"(21.0, 34.0, 40.666666666666664)","(81.0, 160.0, 174.5)","(18.0, 27.0, 25.666666666666664)","(3.3, 3.7, 3.6818181818181817)","(16.0, 20.0, 23.0)","(14.0, 18.0, 24.5)","(91.0, 170.0, 180.0)","(31.0, 55.0, 77.0)","(2.3, 2.6, 2.59)","(6.5, 8.6, 9.128888888888888)","(101.0, 99999, 9238.307692307693)"
11-01-2023 18:51:19.412191,"(21.0, 42.0, 40.666666666666664)","(81.0, 180.0, 174.5)","(18.0, 30.0, 25.666666666666664)","(3.3, 4.0, 3.6818181818181817)","(16.0, 26.0, 23.0)","(14.0, 26.0, 24.5)","(91.0, 420.0, 180.0)","(31.0, 120.0, 53.0)","(2.3, 2.78, 2.5085714285714285)","(6.5, 9.2, 6.322222222222223)","(101.0, 99999, 894.6153846153846)"
11-01-2023 18:51:21.249438,"(21.0, 42.0, 40.666666666666664)","(81.0, 260.0, 250.5)","(18.0, 30.0, 25.666666666666664)","(3.3, 3.25, 3.1)","(16.0, 26.0, 23.0)","(14.0, 26.0, 21.0)","(91.0, 420.0, 308.0)","(31.0, 110.0, 78.85714285714286)","(2.3, 2.78, 2.737596566523605)","(6.5, 8.4, 10.854545454545455)","(101.0, 960.0, 894.6153846153846)"
11-01-2023 18:51:22.991500,"(21.0, 40.0, 29.333333333333332)","(81.0, 260.0, 250.5)","(18.0, 30.0, 25.666666666666664)","(3.3, 3.65, 3.4982142857142855)","(16.0, 26.0, 23.0)","(14.0, 26.0, 21.700000000000003)","(91.0, 400.0, 302.0)","(31.0, 100.0, 39.5)","(2.3, 2.8, 2.7957788944723614)","(6.5, 10.0, 9.966666666666667)","(101.0, 960.0, 894.6153846153846)"
11-01-2023 18:51:25.035459,"(21.0, 40.0, 29.333333333333332)","(81.0, 260.0, 250.5)","(18.0, 30.0, 25.666666666666664)","(3.3, 3.65, 3.1604014598540147)","(16.0, 26.0, 23.0)","(14.0, 25.0, 21.700000000000003)","(91.0, 390.0, 302.0)","(31.0, 65.0, 44.5)","(2.3, 2.8, 2.7987499999999996)","(6.5, 10.0, 9.966666666666667)","(101.0, 960.0, 894.6153846153846)"
