,Acapulco,Youre In Luck,Rumour Confirmed,Gabriella Maree,My Romper,Cyclone Summer,Ohana Ranadi
05-01-2023 13:47:57.843473,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:59.012612,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:48:00.013194,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:48:01.089808,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 13.125)"
05-01-2023 13:48:02.181128,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:03.184109,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:04.331732,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:05.502294,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:06.605030,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:07.714525,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:08.797033,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:09.930201,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:11.037180,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:12.123245,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:13.149992,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.125)"
05-01-2023 13:48:14.314942,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:15.346166,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:16.509470,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:17.704084,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:18.778801,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:19.826195,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:20.957931,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:21.984684,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.88888888888889)"
05-01-2023 13:48:23.073113,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:24.263962,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:25.401586,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:26.481307,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:27.533014,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:28.613648,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:29.638058,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:30.787765,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:32.017333,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.708333333333332)"
05-01-2023 13:48:33.246582,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:34.295840,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:35.396168,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:36.463901,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:37.434279,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:38.458809,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:39.609649,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:40.800439,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:41.921770,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:43.054408,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.0)"
05-01-2023 13:48:44.163934,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:45.099811,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:46.184350,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:47.378489,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:48.411258,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:49.535018,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:50.706599,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:51.818999,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:52.861386,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:53.892584,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:54.986201,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:56.029621,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:57.140159,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:58.274616,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:48:59.396116,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:49:00.466072,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:49:01.627932,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 13.777777777777779)"
05-01-2023 13:49:02.670415,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:03.642145,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:04.854934,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:05.930924,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:07.021348,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:08.182304,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:09.297931,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:10.314953,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:11.345067,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:12.404066,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:13.455741,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:14.611593,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:15.864774,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:17.078773,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:18.143745,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:19.268544,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:20.461996,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:21.547900,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
05-01-2023 13:49:22.681918,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 30.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.22)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 20.0, 17.666666666666664)"
