,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:14:35.496586,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:36.745138,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:38.002526,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:39.227057,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:40.367283,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:41.525410,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:42.599920,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:43.762222,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:45.022091,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:46.275938,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
