,Mr Mischief,Havisham,Saint Ay,Costero,Jumpin Jaguar,Mayksumnoise,Sorokin,There For You,Fighting Sweet,Peace Process,Under The Pump,Arlington Valley
07-01-2023 14:14:22.227956,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.4960526315789475)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.0, 7.986666666666666)","(12.0, 15.0, 14.720930232558139)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 39.0)","(101.0, 230.0, 208.33333333333331)"
07-01-2023 14:14:23.725417,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.4960526315789475)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.2, 7.973451327433628)","(12.0, 15.0, 14.636363636363637)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 38.72727272727273)","(101.0, 220.0, 216.66666666666669)"
07-01-2023 14:14:25.307216,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.49625)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.2, 8.119402985074627)","(12.0, 15.0, 14.583333333333334)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 32.96551724137931)","(17.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 38.72727272727273)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:26.853075,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.522511848341232)","(9.0, 11.5, 11.333333333333334)","(7.0, 8.2, 8.101123595505618)","(12.0, 15.0, 14.464285714285714)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 32.96551724137931)","(17.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 38.72727272727273)","(101.0, 230.0, 203.33333333333331)"
07-01-2023 14:14:28.345444,"(3.9, 4.5, 4.403092783505155)","(2.9, 3.55, 3.5161764705882352)","(9.0, 11.5, 11.349462365591398)","(7.0, 8.2, 8.112871287128712)","(12.0, 15.0, 14.464285714285714)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.90909090909091)","(31.0, 40.0, 38.72727272727273)","(101.0, 230.0, 208.33333333333331)"
07-01-2023 14:14:29.874903,"(3.9, 4.4, 4.387567567567568)","(2.9, 3.55, 3.5161764705882352)","(9.0, 11.5, 11.349462365591398)","(7.0, 8.2, 8.112871287128712)","(12.0, 15.0, 14.464285714285714)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.318181818181817)","(15.0, 19.0, 18.307692307692307)","(31.0, 40.0, 36.40816326530612)","(101.0, 220.0, 183.33333333333334)"
07-01-2023 14:14:31.410559,"(3.9, 4.4, 4.375182481751825)","(2.9, 3.5, 3.49484126984127)","(9.0, 12.0, 11.6)","(7.0, 8.2, 8.191439688715953)","(12.0, 15.0, 14.310344827586206)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.341463414634145)","(15.0, 19.0, 18.307692307692307)","(31.0, 38.0, 36.22727272727273)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:33.025243,"(3.9, 4.4, 4.375182481751825)","(2.9, 3.5, 3.49484126984127)","(9.0, 12.0, 11.615384615384615)","(7.0, 8.2, 8.191439688715953)","(12.0, 15.0, 14.310344827586206)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.341463414634145)","(15.0, 19.0, 18.307692307692307)","(31.0, 38.0, 35.16129032258065)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:34.638672,"(3.9, 4.4, 4.375182481751825)","(2.9, 3.5, 3.496694214876033)","(9.0, 12.0, 11.6)","(7.0, 8.2, 8.234615384615385)","(12.0, 15.0, 14.310344827586206)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.341463414634145)","(15.0, 19.0, 18.307692307692307)","(31.0, 38.0, 35.63636363636363)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:36.289942,"(3.9, 4.4, 4.375182481751825)","(2.9, 3.5, 3.496694214876033)","(9.0, 12.0, 11.662162162162161)","(7.0, 8.4, 8.284137931034483)","(12.0, 15.0, 14.23076923076923)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 24.0, 22.73913043478261)","(15.0, 19.0, 18.307692307692307)","(31.0, 36.0, 35.55555555555556)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:38.128982,"(3.8, 4.4, 4.375182481751825)","(2.9, 3.5, 3.4866883116883116)","(9.0, 12.0, 11.615384615384615)","(7.0, 8.4, 8.284931506849315)","(12.0, 15.0, 13.622047244094489)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 23.0, 22.741935483870968)","(15.0, 19.0, 18.307692307692307)","(31.0, 36.0, 35.666666666666664)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:39.876417,"(3.8, 4.4, 4.296341463414634)","(2.9, 3.5, 3.5757894736842104)","(9.0, 12.0, 11.615384615384615)","(7.0, 8.4, 8.38840579710145)","(12.0, 14.0, 13.642201834862385)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 32.96551724137931)","(17.0, 23.0, 22.741935483870968)","(15.0, 19.0, 18.2)","(31.0, 36.0, 35.666666666666664)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:41.564857,"(3.8, 4.3, 4.248529411764705)","(2.9, 3.6, 3.577683615819209)","(9.0, 12.0, 11.615384615384615)","(7.0, 8.4, 8.406896551724138)","(12.0, 14.0, 13.61111111111111)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 23.0, 22.741935483870968)","(15.0, 19.0, 18.058823529411764)","(31.0, 36.0, 35.6)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:43.188740,"(3.8, 4.3, 4.248529411764705)","(2.9, 3.6, 3.571167883211679)","(9.0, 12.0, 11.642857142857142)","(7.0, 8.6, 8.518181818181818)","(12.0, 14.0, 13.75)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 23.0, 20.636363636363637)","(15.0, 19.0, 18.058139534883722)","(31.0, 36.0, 35.583333333333336)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:44.734303,"(3.8, 4.3, 4.258928571428571)","(2.9, 3.6, 3.571167883211679)","(9.0, 12.0, 11.642857142857142)","(7.0, 8.6, 8.518181818181818)","(12.0, 14.0, 13.75)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 23.0, 21.448275862068964)","(15.0, 19.0, 18.138297872340427)","(31.0, 36.0, 35.9)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:46.190960,"(3.8, 4.2, 4.177519379844961)","(2.9, 3.6, 3.5486666666666666)","(9.0, 12.0, 11.74)","(7.0, 8.8, 8.638993710691825)","(12.0, 14.0, 13.886363636363637)","(21.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(17.0, 22.0, 21.448275862068964)","(15.0, 19.0, 18.138297872340427)","(31.0, 36.0, 35.9)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:47.672024,"(3.8, 4.2, 4.162068965517241)","(2.9, 3.6, 3.557142857142857)","(9.0, 12.0, 11.74)","(7.0, 8.8, 8.671428571428573)","(12.0, 14.0, 13.886363636363637)","(21.0, 30.0, 29.5)","(51.0, 110.0, 96.45833333333333)","(21.0, 36.0, 33.53846153846154)","(17.0, 22.0, 21.448275862068964)","(15.0, 19.0, 18.138297872340427)","(31.0, 36.0, 35.666666666666664)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:49.184308,"(3.8, 4.2, 4.151315789473684)","(2.9, 3.6, 3.56)","(9.0, 12.0, 11.770491803278688)","(7.0, 8.8, 8.641509433962264)","(12.0, 14.0, 13.877777777777778)","(21.0, 30.0, 29.5)","(51.0, 110.0, 96.45833333333333)","(21.0, 36.0, 33.53846153846154)","(17.0, 22.0, 21.235294117647058)","(15.0, 18.5, 18.395833333333332)","(31.0, 36.0, 35.666666666666664)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:50.731230,"(3.8, 4.2, 4.127777777777777)","(3.0, 3.6, 3.5695652173913044)","(10.0, 12.0, 11.808219178082192)","(7.0, 8.8, 8.832)","(12.0, 14.0, 13.88888888888889)","(21.0, 30.0, 29.875)","(51.0, 110.0, 91.42857142857143)","(21.0, 36.0, 33.793103448275865)","(16.0, 22.0, 21.40909090909091)","(15.0, 18.5, 18.425373134328357)","(31.0, 36.0, 35.23076923076923)","(101.0, 230.0, 202.0)"
07-01-2023 14:14:52.376011,"(3.8, 4.2, 4.1193333333333335)","(3.0, 3.6, 3.5595588235294118)","(10.0, 12.0, 11.808823529411764)","(7.0, 9.0, 8.832)","(12.0, 14.0, 13.895833333333334)","(21.0, 30.0, 29.875)","(51.0, 110.0, 94.82142857142857)","(21.0, 36.0, 33.333333333333336)","(16.0, 22.0, 20.67391304347826)","(15.0, 18.5, 18.425373134328357)","(31.0, 36.0, 35.77777777777778)","(101.0, 230.0, 183.33333333333334)"
07-01-2023 14:14:53.869366,"(3.9, 4.2, 4.050657894736842)","(3.0, 3.6, 3.5753846153846154)","(10.0, 12.0, 11.828947368421053)","(7.5, 9.0, 8.764705882352942)","(12.0, 14.0, 14.058823529411764)","(21.0, 30.0, 34.25)","(51.0, 110.0, 98.39285714285714)","(26.0, 36.0, 34.06060606060606)","(17.0, 21.0, 21.181818181818183)","(15.0, 18.5, 18.136363636363637)","(31.0, 38.0, 35.93103448275862)","(101.0, 230.0, 195.0)"
07-01-2023 14:14:55.355037,"(3.9, 4.1, 4.035474860335196)","(3.0, 3.6, 3.575)","(10.0, 12.0, 11.828947368421053)","(7.5, 8.8, 8.806593406593407)","(12.0, 14.5, 13.853658536585366)","(21.0, 36.0, 38.30769230769231)","(51.0, 110.0, 98.39285714285714)","(26.0, 36.0, 34.22222222222222)","(17.0, 23.0, 21.125)","(15.0, 18.5, 18.166666666666668)","(31.0, 38.0, 35.93103448275862)","(101.0, 230.0, 202.0)"
07-01-2023 14:14:56.892038,"(3.9, 4.1, 4.007106598984771)","(3.0, 3.6, 3.572950819672131)","(10.0, 12.0, 11.828947368421053)","(7.5, 9.0, 8.808163265306122)","(12.0, 14.0, 13.85655737704918)","(21.0, 42.0, 37.2)","(51.0, 110.0, 98.39285714285714)","(26.0, 36.0, 34.22222222222222)","(17.0, 23.0, 21.125)","(15.0, 18.5, 18.181818181818183)","(31.0, 38.0, 35.93103448275862)","(101.0, 230.0, 202.0)"
07-01-2023 14:14:58.429709,"(3.9, 4.1, 4.007106598984771)","(3.0, 3.6, 3.548)","(10.0, 12.0, 11.837837837837839)","(7.5, 9.0, 8.816666666666666)","(12.0, 14.0, 13.85655737704918)","(21.0, 40.0, 38.0)","(51.0, 110.0, 98.39285714285714)","(26.0, 36.0, 33.6)","(17.0, 23.0, 21.125)","(15.0, 18.5, 18.181818181818183)","(31.0, 38.0, 35.86666666666667)","(101.0, 230.0, 195.0)"
07-01-2023 14:15:00.015494,"(3.8, 4.0, 3.9939655172413793)","(3.1, 3.55, 3.564423076923077)","(10.0, 12.0, 11.87012987012987)","(7.5, 9.0, 8.861904761904762)","(12.0, 14.0, 13.89406779661017)","(21.0, 40.0, 37.42857142857143)","(51.0, 110.0, 93.33333333333333)","(26.0, 34.0, 33.666666666666664)","(17.0, 23.0, 21.125)","(15.0, 18.5, 18.28125)","(31.0, 38.0, 36.06060606060606)","(101.0, 230.0, 202.0)"
07-01-2023 14:15:01.658565,"(3.8, 4.0, 3.9939655172413793)","(3.1, 3.6, 3.5732142857142857)","(10.0, 12.0, 11.911764705882353)","(7.5, 9.0, 8.952380952380953)","(12.0, 14.0, 13.916)","(21.0, 38.0, 37.75)","(51.0, 100.0, 88.0)","(26.0, 34.0, 33.793103448275865)","(17.0, 23.0, 21.88888888888889)","(15.0, 18.5, 18.365384615384617)","(31.0, 38.0, 36.11764705882353)","(101.0, 230.0, 155.0)"
07-01-2023 14:15:03.239331,"(3.8, 4.0, 3.9941605839416057)","(3.0, 3.6, 3.580120481927711)","(10.0, 12.0, 12.048076923076923)","(7.5, 9.0, 8.972549019607843)","(12.0, 14.0, 13.919354838709678)","(21.0, 38.0, 37.0)","(51.0, 90.0, 86.36363636363636)","(26.0, 34.0, 33.793103448275865)","(17.0, 23.0, 21.88888888888889)","(15.0, 18.5, 18.41860465116279)","(31.0, 38.0, 36.270270270270274)","(101.0, 160.0, 175.0)"
07-01-2023 14:15:04.830869,"(3.8, 4.0, 4.020622568093385)","(3.0, 3.6, 3.5721238938053097)","(10.0, 12.5, 12.125)","(7.5, 9.0, 8.972549019607843)","(12.0, 14.0, 13.920634920634921)","(21.0, 38.0, 37.0)","(51.0, 90.0, 86.36363636363636)","(26.0, 34.0, 33.857142857142854)","(17.0, 23.0, 22.032258064516128)","(15.0, 18.5, 18.41860465116279)","(31.0, 38.0, 36.270270270270274)","(101.0, 190.0, 160.0)"
07-01-2023 14:15:06.375955,"(3.8, 4.1, 4.020622568093385)","(3.0, 3.6, 3.5427419354838707)","(10.0, 12.5, 12.294117647058824)","(7.5, 9.0, 8.825)","(12.0, 14.0, 13.920634920634921)","(21.0, 38.0, 37.0)","(51.0, 90.0, 86.36363636363636)","(26.0, 34.0, 34.666666666666664)","(17.0, 23.0, 22.032258064516128)","(15.0, 18.5, 18.41860465116279)","(31.0, 38.0, 35.76)","(101.0, 190.0, 157.5)"
07-01-2023 14:15:07.928150,"(3.8, 4.1, 3.9934959349593497)","(3.0, 3.55, 3.5775862068965516)","(10.0, 13.0, 12.477477477477478)","(7.5, 9.2, 8.901754385964912)","(12.0, 14.0, 13.276119402985074)","(21.0, 38.0, 37.04761904761905)","(51.0, 90.0, 86.36363636363636)","(26.0, 36.0, 34.46153846153846)","(17.0, 23.0, 22.928571428571427)","(15.0, 18.5, 18.34090909090909)","(31.0, 36.0, 35.51724137931034)","(101.0, 180.0, 153.75)"
07-01-2023 14:15:09.452485,"(3.8, 4.0, 4.032951289398281)","(3.1, 3.6, 3.5654545454545454)","(10.0, 13.0, 12.613861386138614)","(7.0, 9.0, 8.922)","(12.0, 13.5, 12.785087719298245)","(21.0, 38.0, 36.44776119402985)","(51.0, 90.0, 87.89473684210526)","(26.0, 36.0, 33.07692307692308)","(17.0, 23.0, 22.952380952380953)","(15.0, 18.5, 18.397058823529413)","(31.0, 36.0, 35.6875)","(101.0, 170.0, 155.0)"
07-01-2023 14:15:10.990808,"(3.8, 4.1, 4.032951289398281)","(3.1, 3.6, 3.573972602739726)","(10.0, 13.0, 12.696629213483146)","(7.0, 9.0, 8.86987951807229)","(12.0, 13.0, 12.748)","(21.0, 38.0, 36.02469135802469)","(51.0, 90.0, 87.89473684210526)","(26.0, 36.0, 33.07692307692308)","(17.0, 23.0, 22.822222222222223)","(15.0, 18.5, 18.28723404255319)","(31.0, 36.0, 35.15555555555556)","(101.0, 170.0, 157.14285714285714)"
07-01-2023 14:15:12.543767,"(3.8, 4.1, 4.027102803738318)","(3.1, 3.6, 3.587417218543046)","(10.0, 13.0, 12.93421052631579)","(7.0, 9.0, 8.904424778761062)","(12.0, 13.0, 12.75)","(21.0, 38.0, 36.13953488372093)","(51.0, 90.0, 85.55555555555556)","(26.0, 36.0, 33.333333333333336)","(17.0, 23.0, 22.40740740740741)","(15.0, 18.5, 18.40909090909091)","(31.0, 36.0, 34.90909090909091)","(101.0, 200.0, 180.0)"
07-01-2023 14:15:14.064072,"(3.8, 4.1, 4.027102803738318)","(3.1, 3.6, 3.587417218543046)","(10.0, 13.0, 12.93421052631579)","(7.0, 9.0, 8.904424778761062)","(12.0, 13.0, 12.75)","(21.0, 38.0, 36.13953488372093)","(51.0, 90.0, 81.30434782608695)","(26.0, 34.0, 33.07692307692308)","(17.0, 23.0, 22.40740740740741)","(15.0, 18.5, 18.40909090909091)","(31.0, 36.0, 34.90909090909091)","(101.0, 200.0, 194.0)"
07-01-2023 14:15:15.888436,"(3.7, 4.1, 4.044202898550725)","(3.1, 3.6, 3.5844262295081966)","(10.0, 13.0, 13.025641025641026)","(7.5, 9.0, 8.906306306306307)","(11.0, 13.0, 12.725165562913908)","(21.0, 38.0, 36.13953488372093)","(51.0, 90.0, 78.88888888888889)","(21.0, 34.0, 31.714285714285715)","(17.0, 23.0, 22.5)","(15.0, 18.5, 18.40909090909091)","(31.0, 36.0, 34.883720930232556)","(101.0, 200.0, 178.57142857142856)"
07-01-2023 14:15:17.614361,"(3.7, 4.1, 4.036159169550173)","(3.1, 3.6, 3.6415760869565217)","(10.0, 13.5, 13.208955223880597)","(7.5, 9.0, 8.853521126760564)","(11.0, 13.0, 12.373595505617978)","(21.0, 38.0, 36.13953488372093)","(51.0, 90.0, 80.9090909090909)","(21.0, 34.0, 29.857142857142858)","(17.0, 23.0, 22.5)","(15.0, 18.5, 18.677966101694917)","(31.0, 36.0, 34.22222222222222)","(101.0, 200.0, 178.57142857142856)"
07-01-2023 14:15:19.565435,"(3.7, 4.1, 4.026543209876543)","(3.1, 3.65, 3.643934426229508)","(10.0, 13.5, 13.223214285714286)","(7.5, 9.0, 8.604878048780488)","(11.0, 12.5, 12.416)","(21.0, 38.0, 36.36666666666667)","(51.0, 90.0, 78.33333333333333)","(21.0, 32.0, 30.114285714285714)","(17.0, 23.0, 22.466666666666665)","(15.0, 19.0, 18.703125)","(31.0, 36.0, 34.130434782608695)","(101.0, 200.0, 177.5)"
07-01-2023 14:15:21.522656,"(3.7, 4.1, 4.025764192139738)","(3.1, 3.65, 3.6457142857142855)","(10.0, 13.5, 13.46875)","(7.5, 8.8, 8.306896551724138)","(11.0, 12.5, 12.40268456375839)","(21.0, 38.0, 35.55294117647059)","(51.0, 85.0, 75.71428571428571)","(21.0, 32.0, 30.390243902439025)","(17.0, 23.0, 22.58974358974359)","(15.0, 19.0, 18.743243243243242)","(31.0, 36.0, 33.698113207547166)","(101.0, 190.0, 178.46153846153845)"
07-01-2023 14:15:23.191786,"(3.7, 4.1, 4.025877192982456)","(3.1, 3.65, 3.6654911838790936)","(10.0, 13.5, 13.471698113207546)","(7.5, 8.4, 8.282608695652174)","(11.0, 12.5, 12.475)","(26.0, 38.0, 35.189189189189186)","(51.0, 80.0, 71.15384615384616)","(21.0, 32.0, 30.53846153846154)","(17.0, 23.0, 22.666666666666668)","(15.0, 19.0, 18.660714285714285)","(31.0, 34.0, 33.76470588235294)","(101.0, 190.0, 160.0)"
07-01-2023 14:15:24.889859,"(3.7, 4.1, 4.045547945205479)","(3.1, 3.7, 3.665051020408163)","(10.0, 13.5, 14.414285714285715)","(7.5, 8.4, 8.277027027027026)","(11.0, 12.5, 12.471698113207546)","(26.0, 38.0, 35.17333333333333)","(51.0, 75.0, 70.0)","(21.0, 32.0, 30.53846153846154)","(17.0, 23.0, 23.03448275862069)","(15.0, 19.0, 18.788888888888888)","(31.0, 34.0, 33.733333333333334)","(101.0, 190.0, 160.0)"
07-01-2023 14:15:26.545591,"(3.7, 4.1, 4.053709198813056)","(3.1, 3.7, 3.667224880382775)","(10.0, 14.5, 13.919354838709678)","(7.5, 8.4, 8.291666666666666)","(11.0, 12.5, 12.666666666666666)","(26.0, 38.0, 35.382716049382715)","(51.0, 75.0, 70.78947368421052)","(21.0, 32.0, 30.446428571428573)","(17.0, 24.0, 22.774193548387096)","(15.0, 19.0, 18.81)","(31.0, 34.0, 33.95652173913044)","(101.0, 190.0, 160.83333333333334)"
07-01-2023 14:15:28.165876,"(3.6, 4.1, 4.052)","(3.2, 3.7, 3.673592233009709)","(10.0, 14.0, 13.725)","(7.5, 8.4, 8.286363636363635)","(11.0, 13.0, 12.61413043478261)","(21.0, 38.0, 35.513513513513516)","(51.0, 75.0, 69.78260869565217)","(21.0, 32.0, 30.38888888888889)","(17.0, 24.0, 22.78688524590164)","(15.0, 19.0, 18.793478260869566)","(31.0, 34.0, 33.73076923076923)","(101.0, 190.0, 160.83333333333334)"
07-01-2023 14:15:29.726719,"(3.6, 4.1, 4.058947368421053)","(3.2, 3.7, 3.663812154696133)","(10.0, 14.0, 13.884615384615385)","(7.5, 8.4, 8.277300613496932)","(11.0, 13.0, 12.61413043478261)","(21.0, 36.0, 35.43589743589744)","(51.0, 75.0, 70.55555555555556)","(21.0, 32.0, 30.567164179104477)","(17.0, 24.0, 22.82758620689655)","(15.0, 19.0, 18.830357142857142)","(31.0, 34.0, 33.74545454545454)","(101.0, 190.0, 165.0)"
07-01-2023 14:15:31.252299,"(3.6, 4.1, 4.058947368421053)","(3.2, 3.7, 3.663812154696133)","(10.0, 14.0, 13.884615384615385)","(7.5, 8.4, 8.277300613496932)","(11.0, 13.0, 12.61413043478261)","(26.0, 36.0, 35.43589743589744)","(51.0, 75.0, 70.55555555555556)","(21.0, 32.0, 30.567164179104477)","(17.0, 24.0, 22.473684210526315)","(15.0, 19.0, 18.896907216494846)","(31.0, 34.0, 33.96153846153846)","(101.0, 190.0, 165.0)"
07-01-2023 14:15:32.869103,"(3.6, 4.1, 4.060406091370558)","(3.2, 3.7, 3.663812154696133)","(10.0, 14.0, 13.756410256410255)","(7.5, 8.4, 8.2828025477707)","(11.0, 12.5, 12.415441176470589)","(26.0, 36.0, 35.371428571428574)","(51.0, 75.0, 61.875)","(21.0, 32.0, 30.545454545454547)","(17.0, 23.0, 22.473684210526315)","(15.0, 19.0, 18.86842105263158)","(31.0, 34.0, 34.45161290322581)","(101.0, 190.0, 165.0)"
