,Alberio,King Kulafu,Justrollingaround,Charlotte Caslick,Arena Queen,Delight To Watch,Roll Play,Bated Breath
06-01-2023 13:22:58.080496,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:59.369706,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:23:00.732359,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:02.152394,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:03.432150,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:04.695732,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:05.947438,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:07.169780,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:08.337613,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.672000000000001)"
06-01-2023 13:23:09.567206,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:10.790879,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:12.149230,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:13.496537,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:14.778705,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:16.255688,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:17.837640,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:19.162928,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:20.452811,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:21.666646,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:22.793422,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:23.896530,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:25.105273,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:26.287815,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:27.429971,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:28.592087,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:29.803334,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:31.046335,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:32.360528,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:33.629543,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:34.889261,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:36.047411,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:37.133731,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:38.239941,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:39.400625,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:40.560133,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:41.721959,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:42.876736,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:43.997261,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:23:45.151116,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.562962962962963)"
06-01-2023 13:23:46.401572,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.562962962962963)"
06-01-2023 13:23:47.637004,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.562962962962963)"
06-01-2023 13:23:48.844610,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.562962962962963)"
06-01-2023 13:23:50.048189,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:51.151481,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:52.268492,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:53.416100,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:54.647670,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:55.946901,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:57.146255,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:58.237728,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:23:59.427650,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:00.610448,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:01.823584,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:03.122367,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:04.366236,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:05.551140,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:06.751027,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:07.880163,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:08.992142,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.715789473684211)"
06-01-2023 13:24:10.209495,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:11.302945,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:12.426833,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:13.482713,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:14.650751,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:15.869606,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:17.058788,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:18.221356,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.6739999999999995)"
06-01-2023 13:24:19.337319,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.373333333333333)"
06-01-2023 13:24:20.476721,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.59375)"
06-01-2023 13:24:21.647825,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.59375)"
06-01-2023 13:24:22.841936,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.59375)"
06-01-2023 13:24:24.019255,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.59375)"
06-01-2023 13:24:25.209201,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 36.5)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 6.59375)"
06-01-2023 13:24:26.351755,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 37.294117647058826)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 4.633333333333333)"
06-01-2023 13:24:27.528389,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 37.294117647058826)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 4.633333333333333)"
06-01-2023 13:24:28.710291,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 37.294117647058826)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 4.633333333333333)"
06-01-2023 13:24:29.941866,"(1.65, 99999, 99990)","(41.0, 130.0, 68.28571428571428)","(81.0, 220.0, 142.5)","(19.0, 50.0, 37.294117647058826)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 42.5)","(3.4, 6.8, 4.633333333333333)"
