,Born A Diamond,Sketchy Deliver,Toppers The One,Lucky Bundy,Perjury,Hooked On Jack,Stuck In Mud,Cosmologist
14-12-2022 12:48:34.073691,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:35.281010,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:36.503603,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:37.689607,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:38.954565,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:40.245974,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:41.461728,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:42.627465,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:43.842758,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:45.010093,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:46.193578,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:47.370956,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 24.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:48.534303,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:49.707282,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:50.889229,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:52.029201,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:53.344232,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:54.778949,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:56.228805,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:57.757698,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:59.374121,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:01.019299,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:02.500105,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:03.985528,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:05.447340,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:06.900564,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:08.305306,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:09.596221,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:10.935900,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:12.207157,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:13.585272,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:14.943869,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:16.496604,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:17.881303,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:19.162133,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:20.810069,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:22.331284,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:23.712171,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:24.864784,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:26.072049,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:27.183463,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:28.314176,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:29.510821,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:30.738181,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:32.018095,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:33.295460,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:34.692520,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:35.872440,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:37.085922,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:38.693364,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:40.015309,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:49:41.429032,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 25.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:42.689893,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:43.950433,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:45.184540,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:46.435844,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:47.739929,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:48.893116,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:50.093775,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:51.419159,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:52.593986,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:53.952609,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:55.075993,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:49:56.182333,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 31.333333333333336)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
