,Aston Malle,Slick Lass,Arkansas,Zippy Audi,Flying Jelly,Ruff Shot,Neptune Town
11-01-2023 20:03:05.491440,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:06.728849,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:07.966350,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 420.0)"
11-01-2023 20:03:09.192341,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:10.497304,"(2.1, 3.05, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:11.752341,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:12.977934,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:14.220903,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:15.442718,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:16.673928,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:17.900471,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:19.111533,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:20.304241,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:21.535499,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:22.789139,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:24.067469,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:25.293684,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:26.588985,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:27.945500,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:29.360952,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:30.777566,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:32.002549,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:33.190392,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 558.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:34.445083,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.8888888888889)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:35.679371,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.8888888888889)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 450.0)"
11-01-2023 20:03:36.888203,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 330.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 595.0)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 366.6666666666667)"
11-01-2023 20:03:38.145167,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 366.6666666666667)"
11-01-2023 20:03:39.415494,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 366.6666666666667)"
11-01-2023 20:03:40.641841,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 366.6666666666667)"
11-01-2023 20:03:41.861962,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:43.079405,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:44.221930,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:45.765374,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:47.169740,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:48.395125,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 226.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 453.57142857142856)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 369.5)"
11-01-2023 20:03:49.573751,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 558.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 349.1666666666667)"
11-01-2023 20:03:50.794836,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 558.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 349.1666666666667)"
11-01-2023 20:03:52.053180,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 558.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 349.1666666666667)"
11-01-2023 20:03:53.320616,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 558.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 349.1666666666667)"
11-01-2023 20:03:54.539659,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 429.16666666666663)"
11-01-2023 20:03:55.677970,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 429.16666666666663)"
11-01-2023 20:03:56.895308,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 429.16666666666663)"
11-01-2023 20:03:58.171331,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 214.25)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 553.3333333333334)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 429.16666666666663)"
11-01-2023 20:03:59.352452,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 500.0, 345.8333333333333)"
11-01-2023 20:04:00.515904,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:01.740725,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:02.960360,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:04.243494,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:05.399322,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:06.656773,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:07.848743,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:09.048031,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:10.236864,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:11.474818,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:12.642713,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 194.66666666666666)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:13.872955,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 320.0, 174.0)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:15.091870,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 310.0, 174.0)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:16.353065,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 310.0, 174.0)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
11-01-2023 20:04:17.573550,"(2.1, 3.0, 2.3210526315789473)","(3.2, 5.1, 3.933333333333333)","(31.0, 310.0, 174.0)","(8.5, 21.0, 17.454545454545453)","(91.0, 650.0, 362.5)","(3.0, 4.4, 3.2636363636363637)","(61.0, 400.0, 345.8333333333333)"
