,Much More Torque,Rinnero,Bjorn Ironside,Duke Of James,Stratum Chief,Romantic Approach,Taylas One,Uninsurabal,Escaped Prisoner,Iama Princess
09-01-2023 15:08:11.832334,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.333333333333334)","(41.0, 170.0, 117.5)","(5.5, 9.0, 8.428571428571429)"
09-01-2023 15:08:13.072536,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.333333333333334)","(41.0, 170.0, 136.8421052631579)","(5.5, 9.0, 8.428571428571429)"
09-01-2023 15:08:14.402568,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.333333333333334)","(41.0, 170.0, 136.8421052631579)","(5.5, 9.0, 8.428571428571429)"
09-01-2023 15:08:15.687266,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.11111111111111)","(41.0, 170.0, 145.5)","(5.5, 9.0, 8.428571428571429)"
09-01-2023 15:08:17.009892,"(2.7, 3.15, 3.0245454545454544)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.11111111111111)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:18.276588,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.11111111111111)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:19.486095,"(2.7, 3.15, 3.0637499999999998)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 16.833333333333332)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.513043478260869)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:20.720351,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 16.833333333333332)","(16.0, 90.0, 37.5)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:22.089880,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.666666666666668)","(16.0, 90.0, 37.5)","(6.5, 9.0, 9.48)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.321428571428571)"
09-01-2023 15:08:23.445814,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 19.75)","(16.0, 90.0, 37.5)","(6.5, 10.0, 8.285714285714285)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 160.0, 121.33333333333333)","(5.5, 9.0, 8.72)"
09-01-2023 15:08:24.676586,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 10.0, 8.285714285714285)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 160.0, 111.45454545454545)","(5.5, 8.8, 8.5625)"
09-01-2023 15:08:25.938306,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 10.0, 8.285714285714285)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 150.0, 111.45454545454545)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:27.172754,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 150.0, 122.10526315789473)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:28.374917,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 150.0, 122.10526315789473)","(5.5, 9.0, 8.5625)"
09-01-2023 15:08:29.638069,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 108.0)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:30.991718,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 108.0)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:32.288911,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 108.0)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:33.580764,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 108.0)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:34.928747,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 17.071428571428573)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:36.273509,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 15.583333333333334)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.04)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:37.616209,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.8, 8.0)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.181818181818182)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:38.960627,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 16.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 95.0, 92.25)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:40.242763,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 16.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 95.0, 92.25)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:41.516847,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 95.0, 92.25)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:42.751738,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 95.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:44.021592,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:45.299937,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:46.574140,"(2.7, 3.15, 3.081)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.044444444444444)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:47.839476,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.4)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:49.076632,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.6, 8.0)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.035714285714286)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.72)"
09-01-2023 15:08:50.268826,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.4, 8.0)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.75)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.450000000000001)"
09-01-2023 15:08:51.560640,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.4, 8.0)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.75)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.450000000000001)"
09-01-2023 15:08:52.823719,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.4, 8.0)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.75)","(8.0, 9.0, 8.585185185185185)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.450000000000001)"
09-01-2023 15:08:54.091782,"(2.7, 3.15, 3.043846153846154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 18.0)","(16.0, 90.0, 37.5)","(6.5, 9.4, 7.366666666666666)","(31.0, 100.0, 89.56521739130434)","(7.0, 13.0, 11.75)","(8.0, 9.0, 8.708333333333334)","(41.0, 140.0, 114.73684210526315)","(5.5, 8.8, 8.450000000000001)"
