,Knobiesmagicsonde,Swiss Horizon,Bank Card,Warriorinthehouse,Gattolottasparkle,Little O Little E,Weavinyouinthedust,Lauras Grand,Iminchargenow,Vegas Princess
12-01-2023 13:27:13.160159,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.57777777777778)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.25)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 6.616666666666666)","(2.8, 3.45, 3.4153846153846157)"
12-01-2023 13:27:14.351647,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.8, 6.3999999999999995)","(2.8, 3.45, 3.4153846153846157)"
12-01-2023 13:27:15.634359,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.2444444444444445)","(2.8, 3.45, 3.4153846153846157)"
12-01-2023 13:27:16.931887,"(7.5, 8.4, 7.223529411764706)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.2444444444444445)","(2.7, 3.45, 3.4153846153846157)"
12-01-2023 13:27:18.255014,"(7.5, 8.6, 7.223529411764706)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.2444444444444445)","(2.7, 3.45, 3.368181818181818)"
12-01-2023 13:27:19.505242,"(7.5, 8.6, 8.03157894736842)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.2444444444444445)","(2.7, 3.4, 3.368181818181818)"
12-01-2023 13:27:20.779849,"(7.5, 8.6, 7.742857142857142)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.3999999999999995)","(2.7, 3.4, 3.378787878787879)"
12-01-2023 13:27:22.017549,"(7.5, 8.6, 7.52)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.066666666666667)","(2.7, 3.4, 3.35)"
12-01-2023 13:27:23.289111,"(8.0, 8.6, 7.52)","(5.0, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(9.0, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(11.0, 23.0, 20.0)","(8.0, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(4.6, 6.4, 6.071428571428572)","(2.6, 3.4, 3.3857142857142857)"
12-01-2023 13:27:24.606444,"(8.0, 8.6, 7.52)","(5.0, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(9.0, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(11.0, 23.0, 20.0)","(8.0, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(4.6, 6.2, 6.071428571428572)","(2.6, 3.5, 3.3857142857142857)"
