,Carpe Eros,Trade Deadline,Serendip Ruler,Bluegrass Breeze,Sr Bi Bi,Bayron,Love My Ride,Name Rejected
15-12-2022 11:58:09.735880,"(6.5, 9.0, 8.9)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 27.0)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.0727272727272728)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:10.916544,"(6.5, 9.0, 8.9)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 25.07142857142857)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.0502857142857143)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:12.070532,"(6.5, 9.0, 8.9)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 25.07142857142857)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.05)","(7.0, 9.0, 8.2)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:13.279858,"(6.5, 9.0, 8.9)","(31.0, 110.0, 95.0)","(14.0, 30.0, 26.863636363636363)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.0775)","(7.0, 9.0, 8.72)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:14.503214,"(6.5, 9.0, 8.9)","(31.0, 110.0, 95.0)","(14.0, 30.0, 26.863636363636363)","(14.0, 24.0, 18.5)","(8.5, 99999, 99990)","(1.85, 2.14, 2.052)","(7.0, 9.0, 8.472727272727273)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:15.631528,"(6.5, 9.0, 8.9)","(31.0, 110.0, 95.0)","(14.0, 30.0, 26.863636363636363)","(14.0, 23.0, 18.5)","(8.5, 99999, 99990)","(1.85, 2.12, 2.052)","(7.0, 8.8, 7.984)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:16.698436,"(6.5, 9.0, 8.9)","(31.0, 110.0, 95.0)","(14.0, 30.0, 27.84375)","(14.0, 23.0, 18.5)","(8.5, 99999, 99990)","(1.85, 2.12, 2.052)","(7.0, 8.8, 7.905263157894737)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:17.810247,"(6.5, 9.2, 9.11111111111111)","(31.0, 110.0, 96.66666666666667)","(14.0, 30.0, 22.666666666666668)","(14.0, 24.0, 22.6)","(8.5, 99999, 99990)","(1.85, 2.12, 2.052)","(7.0, 8.8, 8.2)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:18.919764,"(6.5, 9.2, 9.11111111111111)","(31.0, 110.0, 102.0)","(14.0, 30.0, 24.5)","(14.0, 24.0, 22.6)","(8.5, 99999, 99990)","(1.85, 2.12, 2.052)","(7.0, 8.8, 8.28)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:19.902096,"(6.5, 9.2, 9.11111111111111)","(31.0, 110.0, 102.0)","(14.0, 30.0, 23.4)","(14.0, 24.0, 22.6)","(8.5, 99999, 99990)","(1.85, 2.12, 2.052)","(7.0, 9.0, 8.28)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:21.022707,"(7.0, 9.0, 8.88)","(31.0, 110.0, 102.0)","(15.0, 30.0, 24.923076923076923)","(15.0, 24.0, 22.6)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:22.112507,"(7.0, 9.0, 8.88)","(31.0, 110.0, 102.0)","(15.0, 30.0, 24.923076923076923)","(15.0, 24.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0492307692307694)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:23.248177,"(7.0, 9.0, 8.88)","(31.0, 110.0, 102.0)","(15.0, 30.0, 23.7)","(15.0, 22.0, 19.4)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0492307692307694)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:24.380865,"(7.0, 9.0, 8.88)","(31.0, 110.0, 102.0)","(15.0, 30.0, 23.7)","(15.0, 23.0, 19.4)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0492307692307694)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:25.569691,"(7.0, 9.0, 8.88)","(31.0, 110.0, 102.0)","(15.0, 30.0, 25.833333333333332)","(15.0, 23.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0492307692307694)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:26.757837,"(7.0, 9.0, 8.88)","(31.0, 110.0, 134.0)","(15.0, 29.0, 24.6)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0492307692307694)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:27.905838,"(7.0, 9.0, 8.88)","(31.0, 150.0, 134.0)","(15.0, 28.0, 24.692307692307693)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:29.062429,"(7.0, 9.0, 8.88)","(31.0, 160.0, 115.0)","(15.0, 27.0, 24.692307692307693)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:30.328719,"(7.0, 9.0, 8.88)","(31.0, 150.0, 134.0)","(15.0, 27.0, 23.666666666666668)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:31.518409,"(7.0, 9.0, 8.88)","(31.0, 150.0, 134.0)","(15.0, 27.0, 23.666666666666668)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 8.618181818181817)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:32.616609,"(7.0, 9.0, 8.88)","(31.0, 140.0, 105.0)","(15.0, 27.0, 23.666666666666668)","(15.0, 22.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.052)","(7.0, 9.0, 7.925)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:33.683148,"(7.0, 9.0, 8.88)","(31.0, 130.0, 108.33333333333334)","(15.0, 27.0, 23.666666666666668)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 8.8, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:34.688834,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 29.0, 26.285714285714285)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:35.680980,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 20.4)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:36.785468,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 26.38095238095238)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:37.858043,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 26.38095238095238)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:39.006685,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 26.38095238095238)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.0, 13.214285714285714)"
15-12-2022 11:58:40.099417,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 25.782608695652172)","(15.0, 22.0, 18.25)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.214285714285714)"
15-12-2022 11:58:41.286305,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 25.57142857142857)","(15.0, 22.0, 18.25)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:42.388751,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 27.0, 26.210526315789473)","(15.0, 22.0, 19.5)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:43.495200,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 26.0, 24.761904761904763)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:44.523780,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 26.38095238095238)","(15.0, 22.0, 18.25)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:45.582010,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 26.38095238095238)","(15.0, 22.0, 18.25)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:46.627021,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 29.0, 27.416666666666664)","(15.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:47.671863,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 27.0, 24.857142857142858)","(15.0, 21.0, 18.142857142857142)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 9.0, 8.182608695652174)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:48.763811,"(7.0, 9.0, 8.88)","(31.0, 140.0, 115.0)","(15.0, 28.0, 25.57142857142857)","(15.0, 22.0, 21.571428571428573)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 8.6, 8.182608695652174)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:49.949187,"(7.0, 9.0, 8.88)","(31.0, 140.0, 115.0)","(15.0, 28.0, 25.57142857142857)","(15.0, 23.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0496)","(7.0, 8.6, 8.182608695652174)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:51.055437,"(7.0, 9.0, 8.88)","(31.0, 140.0, 115.0)","(15.0, 28.0, 25.57142857142857)","(15.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.12, 2.065714285714286)","(7.0, 8.6, 8.182608695652174)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:52.166108,"(7.0, 9.0, 8.88)","(31.0, 140.0, 115.0)","(15.0, 28.0, 25.57142857142857)","(13.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.05)","(7.0, 8.6, 8.142857142857142)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:53.375343,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 25.57142857142857)","(13.0, 22.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.05)","(7.0, 8.6, 8.142857142857142)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:54.537034,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 25.57142857142857)","(13.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.05)","(7.0, 8.6, 8.142857142857142)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:55.688942,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 28.0, 25.57142857142857)","(13.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.080952380952381)","(7.0, 8.6, 7.7)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:56.824323,"(7.0, 9.0, 8.88)","(31.0, 140.0, 102.5)","(15.0, 29.0, 28.049999999999997)","(13.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.080952380952381)","(7.0, 8.6, 7.88)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:57.887507,"(7.0, 9.0, 8.89090909090909)","(31.0, 140.0, 102.5)","(15.0, 29.0, 23.0)","(13.0, 23.0, 19.142857142857142)","(8.5, 99999, 99990)","(1.8, 2.1, 2.1070588235294117)","(7.0, 8.6, 7.88)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:58.840743,"(7.0, 9.0, 8.89090909090909)","(31.0, 140.0, 102.5)","(15.0, 29.0, 23.0)","(13.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1070588235294117)","(7.0, 8.6, 7.88)","(10.0, 14.5, 13.375)"
15-12-2022 11:58:59.900208,"(7.0, 9.0, 8.89090909090909)","(31.0, 140.0, 102.5)","(15.0, 28.0, 24.0)","(13.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1070588235294117)","(7.0, 8.6, 8.221052631578948)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:00.940950,"(7.0, 9.0, 8.89090909090909)","(31.0, 130.0, 97.5)","(15.0, 28.0, 24.0)","(13.0, 22.0, 19.0)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1260000000000003)","(7.0, 8.6, 8.221052631578948)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:02.066252,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 101.66666666666666)","(15.0, 28.0, 24.0)","(13.0, 24.0, 21.25)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1260000000000003)","(7.0, 8.6, 8.2)","(10.0, 14.5, 13.954545454545455)"
15-12-2022 11:59:03.287815,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 23.285714285714285)","(13.0, 24.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1260000000000003)","(7.0, 8.6, 8.2)","(10.0, 14.5, 13.954545454545455)"
15-12-2022 11:59:04.456929,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 23.285714285714285)","(13.0, 24.0, 19.571428571428573)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1260000000000003)","(7.0, 8.6, 8.223529411764707)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:05.598424,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 23.285714285714285)","(13.0, 23.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.14, 2.1145454545454547)","(7.0, 8.8, 8.791304347826086)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:06.726266,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 25.666666666666664)","(13.0, 24.0, 19.571428571428573)","(8.5, 99999, 99990)","(1.8, 2.14, 2.05)","(7.0, 9.0, 8.363636363636363)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:07.826789,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 25.666666666666664)","(13.0, 23.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.12, 1.9858333333333333)","(7.0, 8.8, 8.363636363636363)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:08.971549,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 25.666666666666664)","(13.0, 24.0, 19.571428571428573)","(8.5, 99999, 99990)","(1.8, 2.12, 1.9849999999999999)","(7.0, 8.8, 8.0)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:10.060989,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 25.666666666666664)","(13.0, 23.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.12, 2.0)","(7.0, 8.8, 8.58)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:11.083105,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 26.714285714285715)","(13.0, 24.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.28)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:12.139928,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 103.33333333333334)","(15.0, 29.0, 23.4)","(13.0, 24.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.6)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:13.150852,"(7.0, 9.0, 8.89090909090909)","(31.0, 120.0, 117.93103448275863)","(15.0, 29.0, 25.0)","(13.0, 24.0, 21.5)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.7)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:14.232366,"(7.0, 9.0, 8.733333333333333)","(31.0, 130.0, 125.33333333333334)","(15.0, 29.0, 25.0)","(13.0, 23.0, 19.571428571428573)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.7)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:15.412408,"(7.0, 9.0, 8.733333333333333)","(31.0, 130.0, 125.33333333333334)","(15.0, 29.0, 25.0)","(13.0, 24.0, 19.666666666666668)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.7)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:16.538130,"(7.0, 9.0, 8.733333333333333)","(31.0, 130.0, 125.33333333333334)","(15.0, 29.0, 26.818181818181817)","(13.0, 23.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 1.990909090909091)","(7.0, 9.0, 8.7)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:17.685174,"(7.0, 9.0, 8.733333333333333)","(31.0, 130.0, 125.33333333333334)","(15.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.1, 2.0300000000000002)","(7.0, 9.0, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:18.849731,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(15.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 2.0300000000000002)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:19.987605,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(15.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 2.0300000000000002)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:21.106791,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(16.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 1.98)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:22.213341,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(16.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 1.972)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:23.299635,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(16.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 1.972)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.375)"
15-12-2022 11:59:24.386342,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 101.66666666666666)","(16.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 1.972)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.25)"
15-12-2022 11:59:25.465397,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 103.33333333333334)","(16.0, 29.0, 26.818181818181817)","(13.0, 25.0, 20.0)","(8.5, 99999, 99990)","(1.8, 2.08, 1.98)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.25)"
15-12-2022 11:59:26.519437,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 103.33333333333334)","(16.0, 29.0, 28.0)","(13.0, 25.0, 20.5)","(8.5, 99999, 99990)","(1.8, 2.08, 1.98)","(7.0, 8.6, 8.317647058823528)","(10.0, 14.5, 13.25)"
15-12-2022 11:59:27.571599,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 103.33333333333334)","(16.0, 29.0, 28.0)","(13.0, 25.0, 20.5)","(8.5, 99999, 99990)","(1.8, 2.08, 1.98)","(7.0, 8.6, 8.28)","(10.0, 14.5, 13.25)"
15-12-2022 11:59:28.694397,"(7.0, 9.0, 8.733333333333333)","(31.0, 120.0, 103.33333333333334)","(16.0, 29.0, 28.0)","(13.0, 24.0, 20.25)","(8.5, 99999, 99990)","(1.8, 2.06, 1.98)","(7.0, 8.6, 8.28)","(10.0, 14.5, 13.25)"
