,Hipster Dufuss,Loubowski Nz,Village Area,Shes Going Places,Schiavone Nz,Yoo Trish,Master Of Illusion,Rocknburn Nz,Need A Penny
06-01-2023 14:39:12.914773,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:14.159006,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:15.237617,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:16.402539,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:17.490070,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:18.674094,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:19.796702,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:20.882586,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:21.904720,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:22.951903,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:24.068492,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:25.122292,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:26.220004,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:27.283326,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:28.448244,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:29.671001,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:30.764934,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:32.163219,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:33.371779,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:34.561830,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:35.824648,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:37.246342,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:38.571706,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:39.821314,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:41.085993,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:42.362266,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 200.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:43.495934,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:44.670943,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:45.822121,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:47.052262,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:48.292442,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:49.419464,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:50.667658,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:51.865858,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:53.090160,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:54.371945,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:55.629937,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:56.827867,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:58.070176,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:39:59.162463,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:00.347191,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:01.503023,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:02.670599,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:03.822776,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:04.967084,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.985714285714286)","(21.0, 180.0, 80.92307692307693)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:06.087612,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:07.242950,"(41.0, 170.0, 68.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:08.398761,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:09.462282,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 51.599999999999994)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:10.578039,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 51.599999999999994)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:11.710617,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 10.25)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:13.151929,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:14.327007,"(41.0, 170.0, 71.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 71.33333333333333)"
06-01-2023 14:40:15.693218,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:16.841994,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 63.27272727272727)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:17.983199,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:19.313870,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:20.554033,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:21.649215,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:22.743829,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:23.837651,"(41.0, 170.0, 74.0)","(1.4, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(21.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:24.973147,"(51.0, 170.0, 74.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:26.068161,"(51.0, 170.0, 74.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:27.167641,"(51.0, 170.0, 74.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:28.370794,"(51.0, 170.0, 74.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:29.631031,"(51.0, 170.0, 74.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:30.851155,"(51.0, 170.0, 89.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:31.944354,"(51.0, 170.0, 89.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:33.233652,"(51.0, 170.0, 89.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
06-01-2023 14:40:34.504291,"(51.0, 170.0, 89.0)","(1.35, 99999, 99990)","(8.5, 19.5, 9.633333333333333)","(26.0, 180.0, 65.0909090909091)","(101.0, 99999, 99990)","(26.0, 190.0, 106.0)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(21.0, 170.0, 69.66666666666666)"
