,Pandoras Art,Ee Jay Why,Allaboutlegs,Adda Stormy Lady,Dazzling Jewel,Maple Maree,Knight Eagle
07-12-2022 13:10:07.191386,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:08.152134,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:09.095120,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:10.077864,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:11.100127,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:12.068439,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.025)","(3.6, 5.1, 4.824999999999999)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:13.097608,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.025)","(3.6, 5.1, 4.824999999999999)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:14.058389,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:15.137426,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:16.198538,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:17.315077,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 282.72727272727275)"
07-12-2022 13:10:18.254930,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 282.72727272727275)"
07-12-2022 13:10:19.303248,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 282.72727272727275)"
07-12-2022 13:10:20.372689,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 282.72727272727275)"
07-12-2022 13:10:21.672389,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:22.933410,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.921428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:24.168093,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.871428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:25.273017,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.871428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:26.394244,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.9)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:27.495385,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.9)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:28.586956,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.6, 5.1, 4.9)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:29.631072,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.7, 5.1, 5.0249999999999995)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:30.698233,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.7, 5.1, 5.0249999999999995)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:31.702031,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.7, 5.1, 5.0249999999999995)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:32.757147,"(5.5, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.7, 5.1, 5.0249999999999995)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:33.782987,"(5.5, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.035833333333333)","(3.7, 5.1, 5.0249999999999995)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:34.780339,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0615)","(3.7, 5.1, 5.0058823529411764)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:35.780582,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0615)","(3.7, 5.0, 4.94375)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:36.772425,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.066666666666667)","(3.7, 5.0, 4.94375)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:37.800378,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.066666666666667)","(3.7, 5.0, 4.94375)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:38.792198,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0766666666666667)","(3.7, 5.0, 4.94375)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:39.878368,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 5.1, 5.071428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:40.918542,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 5.1, 5.071428571428571)","(13.0, 23.0, 21.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:42.098991,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 5.1, 5.071428571428571)","(13.0, 22.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:43.141284,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 5.1, 5.071428571428571)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:44.151797,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 4.9, 4.833333333333334)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:45.162069,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 4.9, 4.833333333333334)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:46.187680,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.065)","(3.7, 4.9, 4.833333333333334)","(13.0, 23.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:47.213733,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 19.90909090909091)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:48.202312,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 19.90909090909091)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:49.236077,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 19.90909090909091)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:50.197626,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0780000000000003)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 19.90909090909091)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:51.242984,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0780000000000003)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:52.251949,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0780000000000003)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:53.265801,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0780000000000003)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:54.266848,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0874285714285716)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:55.296555,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0874285714285716)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:56.252407,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0874285714285716)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:57.175603,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0874285714285716)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:58.163427,"(5.5, 8.2, 8.176923076923076)","(6.0, 8.8, 8.08)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:10:59.167336,"(5.5, 8.2, 8.176923076923076)","(6.0, 8.8, 8.4)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:00.426268,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.4, 8.8)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:01.652758,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.666666666666666)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 23.0, 20.666666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:02.784502,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 23.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:03.969405,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:05.123875,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:06.143791,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:07.263343,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:08.262978,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:09.366825,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:10.555852,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:11.778835,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:13.003541,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:14.217342,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.8500000000000005)","(13.0, 23.0, 20.083333333333332)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:15.292379,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.804545454545455)","(13.0, 22.0, 20.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:16.521327,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.804545454545455)","(13.0, 22.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:17.619772,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.804545454545455)","(13.0, 24.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:18.742499,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.804545454545455)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:19.869369,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.057142857142857)","(1.8, 2.1, 2.0862857142857143)","(3.7, 4.9, 4.804545454545455)","(13.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:20.932555,"(5.5, 8.2, 8.176923076923076)","(6.0, 9.2, 8.366666666666665)","(1.8, 2.1, 2.0723076923076924)","(3.7, 4.4, 4.3076923076923075)","(13.0, 22.0, 20.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:21.966239,"(5.5, 8.2, 8.180645161290322)","(6.0, 9.2, 8.7)","(1.8, 2.1, 2.0723076923076924)","(3.7, 4.4, 4.302919708029197)","(13.0, 22.0, 20.0)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:22.986345,"(5.5, 8.4, 8.327272727272728)","(6.0, 9.4, 8.7)","(1.8, 2.1, 2.089787234042553)","(3.7, 4.4, 4.302919708029197)","(13.0, 22.0, 19.428571428571427)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:23.996662,"(5.5, 8.4, 8.271428571428572)","(6.0, 9.4, 9.2)","(1.8, 2.12, 2.110588235294118)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.5)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:24.900833,"(5.5, 8.4, 8.271428571428572)","(6.0, 9.4, 9.233333333333334)","(1.8, 2.12, 2.1131428571428574)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.166666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:25.848635,"(5.5, 8.4, 8.175)","(6.0, 9.4, 8.7)","(1.8, 2.12, 2.1133333333333333)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.166666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 260.0)"
07-12-2022 13:11:26.830649,"(5.5, 8.4, 8.175)","(6.0, 9.4, 8.7)","(1.8, 2.12, 2.1133333333333333)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.166666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 328.75)"
07-12-2022 13:11:27.844267,"(5.5, 8.4, 8.175)","(6.0, 9.4, 8.7)","(1.8, 2.12, 2.1133333333333333)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.166666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 340.0, 312.22222222222223)"
07-12-2022 13:11:28.904557,"(5.5, 8.4, 8.175)","(6.0, 9.4, 8.7)","(1.8, 2.12, 2.1133333333333333)","(3.7, 4.4, 4.302919708029197)","(13.0, 20.0, 19.166666666666668)","(81.0, 180.0, 171.42857142857144)","(101.0, 330.0, 312.22222222222223)"
