,Squillions,Birdie Curdy,Silverscape,Colors Of The Wind,Optimistic Cowgirl,Street Tapper,Sea Level
08-12-2022 14:03:55.789438,"(3.2, 4.2, 3.966666666666667)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.46)","(11.0, 18.5, 15.15)","(3.2, 21.0, 14.38125)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:57.121105,"(3.2, 4.2, 3.966666666666667)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.46)","(11.0, 18.5, 15.15)","(3.2, 21.0, 14.38125)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:58.450775,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.48)","(11.0, 18.5, 15.15)","(3.2, 21.0, 10.704166666666666)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:59.817265,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.52)","(11.0, 18.5, 15.15)","(3.2, 21.0, 10.704166666666666)","(10.0, 14.5, 11.42)","(26.0, 280.0, 272.78378378378375)"
08-12-2022 14:04:01.068718,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.52)","(11.0, 18.5, 15.15)","(3.2, 21.0, 10.141666666666667)","(10.0, 14.5, 11.42)","(26.0, 280.0, 213.375)"
08-12-2022 14:04:02.257662,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.975)","(11.0, 18.5, 15.15)","(3.2, 11.5, 10.141666666666667)","(10.0, 14.5, 14.232142857142858)","(26.0, 280.0, 213.375)"
08-12-2022 14:04:03.605076,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.866666666666667)","(11.0, 18.5, 15.15)","(3.2, 11.5, 8.16)","(10.0, 14.5, 12.675)","(26.0, 280.0, 213.375)"
08-12-2022 14:04:04.896536,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.866666666666667)","(11.0, 18.5, 15.15)","(3.2, 11.5, 10.462500000000002)","(10.0, 14.5, 12.675)","(26.0, 280.0, 213.375)"
08-12-2022 14:04:06.241555,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 14.15)","(4.0, 5.3, 4.654545454545454)","(11.0, 18.5, 15.9)","(3.2, 11.5, 8.2)","(10.0, 14.5, 198.6)","(26.0, 280.0, 235.875)"
08-12-2022 14:04:07.538540,"(3.2, 4.3, 3.84)","(9.0, 17.0, 16.366666666666667)","(4.0, 5.4, 5.1)","(11.0, 19.5, 15.9)","(3.2, 11.5, 10.96774193548387)","(10.0, 390.0, 198.6)","(26.0, 310.0, 235.875)"
08-12-2022 14:04:08.752107,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 16.38888888888889)","(4.0, 5.6, 5.1)","(11.0, 19.5, 15.9)","(3.2, 11.5, 10.419999999999998)","(10.0, 390.0, 198.6)","(26.0, 310.0, 235.875)"
08-12-2022 14:04:09.943040,"(3.2, 4.2, 3.5)","(9.0, 17.0, 14.3)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 15.9)","(3.2, 11.5, 8.280000000000001)","(10.0, 390.0, 13.125)","(26.0, 310.0, 235.875)"
08-12-2022 14:04:11.227854,"(3.2, 4.2, 3.5)","(9.0, 17.0, 14.3)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 15.9)","(3.2, 11.5, 8.16)","(10.0, 23.0, 13.125)","(26.0, 310.0, 235.875)"
08-12-2022 14:04:12.607362,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 15.95)","(3.2, 11.5, 10.462500000000002)","(10.0, 23.0, 17.42857142857143)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:13.826081,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 13.74)","(3.2, 11.5, 8.2)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:15.160670,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 9.45)","(10.0, 23.0, 13.125)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:16.459175,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.561538461538461)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 8.280000000000001)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:17.609182,"(3.2, 4.2, 3.335294117647059)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.3999999999999995)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 8.280000000000001)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:18.678117,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 5.442857142857143)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 10.462500000000002)","(10.0, 23.0, 13.125)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:19.869109,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 8.2)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:21.125133,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 17.45714285714286)","(3.2, 11.5, 10.462500000000002)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:22.397675,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 18.992857142857144)","(3.2, 11.5, 10.462500000000002)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:23.565004,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 16.0)","(3.2, 11.5, 9.98181818181818)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:24.770272,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 16.7)","(3.2, 11.5, 10.46875)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:25.993098,"(3.2, 4.2, 3.3)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 13.94)","(3.2, 11.5, 8.219999999999999)","(10.0, 23.0, 13.125)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:27.095654,"(3.2, 4.0, 3.7875)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 13.94)","(3.2, 11.5, 8.219999999999999)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:28.267331,"(3.2, 4.0, 3.7875)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.31)","(11.0, 19.5, 16.72)","(3.2, 11.5, 10.462500000000002)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:29.529205,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.63076923076923)","(11.0, 19.5, 16.72)","(3.2, 11.5, 8.2)","(10.0, 23.0, 13.125)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:30.667544,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.63076923076923)","(11.0, 19.5, 16.72)","(3.2, 11.5, 10.46875)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:31.851523,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.63076923076923)","(11.0, 19.5, 16.72)","(3.2, 11.5, 10.46875)","(10.0, 23.0, 15.90909090909091)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:33.032513,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.63076923076923)","(11.0, 19.5, 16.72)","(3.2, 11.5, 10.953333333333333)","(10.0, 23.0, 13.375)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:34.220962,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 5.6, 4.2975)","(11.0, 19.5, 16.2)","(3.2, 11.5, 10.953333333333333)","(10.0, 23.0, 16.84)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:35.403681,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 4.2975)","(11.0, 21.0, 16.2)","(3.2, 11.5, 8.24)","(10.0, 23.0, 16.84)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:36.668591,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 4.2975)","(11.0, 21.0, 16.2)","(3.2, 11.5, 8.24)","(10.0, 23.0, 16.84)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:38.210464,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 8.26)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:39.621927,"(3.2, 4.1, 3.3535714285714286)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 8.26)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:40.950197,"(3.2, 3.3, 3.1640625)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 9.525)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:42.239161,"(3.2, 3.3, 3.1791666666666667)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 8.379999999999999)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:43.567411,"(3.2, 3.3, 3.1791666666666667)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 8.3)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:44.884127,"(3.2, 3.3, 3.1791666666666667)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 3.895)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 10.440000000000001)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:46.222074,"(3.2, 3.3, 3.1791666666666667)","(9.0, 17.0, 15.233333333333333)","(4.0, 4.7, 4.3500000000000005)","(11.0, 21.0, 17.933333333333334)","(3.2, 11.5, 8.24)","(10.0, 23.0, 20.163636363636364)","(26.0, 310.0, 236.0)"
08-12-2022 14:04:47.505605,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.466666666666667)","(4.0, 4.7, 3.965)","(11.0, 21.0, 12.84)","(3.2, 11.5, 8.36)","(10.0, 23.0, 12.733333333333334)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:48.685095,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.533333333333333)","(4.0, 4.7, 3.965)","(11.0, 21.0, 12.84)","(3.2, 11.5, 8.4)","(10.0, 23.0, 11.945454545454545)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:49.918828,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.533333333333333)","(4.0, 4.7, 3.965)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 8.44)","(10.0, 23.0, 11.945454545454545)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:51.143358,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.533333333333333)","(4.0, 4.7, 4.116666666666667)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 14.2)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:52.356409,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.533333333333333)","(4.0, 4.7, 3.93)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 11.945454545454545)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:53.637290,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 13.533333333333333)","(4.0, 4.7, 3.93)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 12.09090909090909)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:54.958368,"(3.2, 3.1, 3.066666666666667)","(9.0, 17.0, 10.066666666666666)","(4.0, 4.7, 4.168181818181818)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 12.09090909090909)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:56.233494,"(3.2, 4.0, 3.6666666666666665)","(9.0, 17.0, 10.2)","(4.0, 4.6, 4.088461538461538)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 12.09090909090909)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:57.477711,"(3.2, 4.0, 3.4705882352941178)","(9.0, 17.0, 10.2)","(4.0, 4.6, 4.088461538461538)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 13.76)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:58.722788,"(3.2, 4.0, 3.4705882352941178)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.9)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 11.6)","(26.0, 310.0, 236.125)"
08-12-2022 14:04:59.908930,"(3.2, 4.0, 3.4705882352941178)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.9)","(11.0, 21.0, 15.17142857142857)","(3.2, 11.5, 9.5875)","(10.0, 23.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:01.169250,"(3.2, 4.0, 3.4705882352941178)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 4.115384615384615)","(11.0, 21.0, 16.9)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:02.435139,"(3.2, 4.0, 3.4705882352941178)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.8222222222222224)","(11.0, 20.0, 16.9)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:03.716665,"(3.2, 4.0, 3.6625)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 4.115384615384615)","(11.0, 20.0, 16.9)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:04.939218,"(3.2, 4.0, 3.3625)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.9)","(11.0, 20.0, 15.04)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:06.157279,"(3.2, 4.0, 3.342307692307692)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 4.115384615384615)","(11.0, 20.0, 15.04)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:07.464984,"(3.2, 4.0, 3.6625)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.9)","(11.0, 20.0, 15.04)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:08.752656,"(3.2, 4.0, 3.6625)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 4.115384615384615)","(11.0, 20.0, 15.04)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:10.081356,"(3.2, 4.0, 3.8941176470588235)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.9)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:11.375631,"(3.2, 4.0, 3.6192307692307693)","(9.0, 17.0, 10.021052631578947)","(4.0, 4.6, 3.753846153846154)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:12.672656,"(3.2, 3.95, 3.321428571428571)","(9.0, 17.0, 14.23404255319149)","(4.0, 4.6, 3.830769230769231)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 9.5875)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:13.792484,"(3.2, 3.9, 3.4714285714285715)","(9.0, 17.0, 14.23404255319149)","(4.0, 4.6, 3.830769230769231)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:14.961497,"(3.2, 4.0, 3.66)","(9.0, 17.0, 14.23404255319149)","(4.0, 4.6, 3.830769230769231)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:16.254422,"(3.2, 4.0, 3.66)","(9.0, 17.0, 11.327272727272728)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.16)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:17.513116,"(3.2, 4.0, 3.66)","(9.0, 17.0, 11.327272727272728)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:18.789197,"(3.2, 4.0, 3.66)","(9.0, 17.0, 10.431578947368422)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.16)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:20.179161,"(3.2, 4.0, 3.66)","(9.0, 17.0, 14.506122448979593)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:21.567137,"(3.2, 4.0, 3.66)","(9.0, 17.0, 14.506122448979593)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 16.184615384615384)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:22.905919,"(3.2, 4.0, 3.66)","(9.0, 17.0, 15.557894736842105)","(4.0, 4.6, 4.234615384615385)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:24.170032,"(3.2, 4.0, 3.8246153846153845)","(9.0, 16.0, 15.557894736842105)","(4.0, 4.6, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:25.440135,"(3.2, 3.95, 3.308)","(9.0, 16.0, 15.557894736842105)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:26.638008,"(3.2, 3.95, 3.6636363636363636)","(9.0, 16.0, 13.822222222222223)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:27.856707,"(3.2, 3.95, 3.6636363636363636)","(9.0, 16.0, 13.822222222222223)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:29.162301,"(3.2, 3.9, 3.791111111111111)","(9.0, 16.0, 14.693333333333335)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:30.516240,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 11.2)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:31.811557,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.16)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:33.167611,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:34.531354,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:36.021576,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 18.016)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:37.475000,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 11.0)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:39.003725,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 13.789473684210526)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 18.4)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:40.483928,"(3.2, 3.9, 3.374285714285714)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 13.789473684210526)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:41.854047,"(3.2, 3.9, 3.642857142857143)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 13.789473684210526)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.32)","(26.0, 310.0, 236.125)"
08-12-2022 14:05:43.339188,"(3.2, 3.95, 3.41)","(9.0, 16.0, 13.911111111111111)","(4.0, 4.5, 4.1537037037037035)","(11.0, 20.0, 13.789473684210526)","(3.2, 11.5, 10.323076923076924)","(10.0, 22.0, 16.560000000000002)","(26.0, 310.0, 236.125)"
