,Exciting Times,Holdingno Currency,Voodoo Fella,Malinjang,Shakalakaboomboom,Dollarbill,Peppa Bliss,Slingin A Gun,Studleigh Mark
06-01-2023 14:19:51.874960,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:53.302037,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:54.540795,"(2.0, 3.0, 2.72)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:55.950541,"(2.0, 3.0, 2.72)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:57.306613,"(2.0, 3.0, 2.72)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:58.793199,"(2.0, 3.0, 2.72)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:00.494421,"(2.0, 3.0, 2.8894117647058826)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:02.038012,"(2.0, 3.0, 2.8894117647058826)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:03.629602,"(2.0, 3.0, 2.7266666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:05.303892,"(2.0, 3.0, 2.7266666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:06.848398,"(2.0, 3.0, 2.7266666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:08.351026,"(2.0, 3.0, 2.7266666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.1000000000000005)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:09.777242,"(2.0, 3.0, 2.8894117647058826)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.1000000000000005)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:11.121768,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.1000000000000005)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:12.450380,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.1000000000000005)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:13.803037,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:15.074993,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:16.332192,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:17.645447,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:18.950911,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:20.194103,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:21.400947,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:22.652088,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:23.916297,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:25.381056,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:26.859575,"(2.0, 3.0, 2.74)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:28.122744,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:29.292722,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:30.450731,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:31.703157,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:32.997403,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:34.294096,"(2.0, 3.0, 2.7466666666666666)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:35.498090,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:36.606936,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:37.805393,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:38.985948,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:40.244143,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:41.450363,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:42.668993,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:43.807339,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:44.998089,"(2.0, 3.0, 2.7533333333333334)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:46.168049,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:47.400720,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:48.762960,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:49.958932,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:51.137146,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:20:52.351885,"(2.0, 3.0, 2.76)","(14.0, 27.0, 18.0)","(8.0, 13.0, 11.266666666666666)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 93.75)","(5.0, 8.8, 7.700000000000001)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
