,Miss Indi,Eker The Wrecker,Tilly Devine,Sublime Dallas,Mighty Kristy,Early Sunset,Sirius Thinking,Speedy Sunny
14-12-2022 13:37:06.296087,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.3353846153846156)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:07.448862,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:08.563905,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:09.799748,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:10.901079,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:12.104205,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:13.282019,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:14.507178,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:15.707945,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:16.851342,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:18.030538,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:19.390240,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:21.823320,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:23.193230,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:24.732273,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 7.6000000000000005)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:26.656088,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 7.6000000000000005)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:28.049376,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 7.6000000000000005)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:29.468700,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 7.6000000000000005)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:30.747405,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 6.800000000000001)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:32.004549,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 6.800000000000001)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:33.245192,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.633333333333334)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:34.539677,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.633333333333334)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:35.713476,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:36.882395,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:38.064294,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:39.339249,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:40.588169,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:41.778565,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:42.866577,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 16.5)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:44.048309,"(7.5, 16.5, 9.25)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:45.156526,"(7.5, 16.5, 10.7)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:46.888391,"(7.5, 16.5, 10.7)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:48.582208,"(7.5, 16.5, 10.7)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:49.892078,"(7.5, 16.5, 10.7)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 4.733333333333333)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:51.029747,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.6, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:52.275635,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:53.575343,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:54.975825,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:56.298736,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:57.571696,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:37:58.866594,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:00.153160,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:01.660066,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:03.099945,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:04.433593,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:05.719431,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:07.006691,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:08.308378,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:09.587738,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:10.913946,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:12.241299,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:13.529486,"(7.5, 16.5, 15.31304347826087)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:14.807319,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:16.140621,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:17.340891,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:18.568391,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 13.166666666666666)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:19.829443,"(7.5, 16.5, 9.975)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 19.625)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:21.099224,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:22.415419,"(7.5, 16.5, 9.825)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:23.778329,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:25.113446,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:26.381017,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:27.648796,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:28.915274,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:30.170448,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:31.413912,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:32.652441,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:34.037092,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:35.370162,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
14-12-2022 13:38:36.628837,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.0366666666666666)","(5.0, 8.8, 7.9)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 59.0)","(11.0, 24.0, 14.357142857142858)","(3.7, 6.4, 5.36)","(26.0, 65.0, 43.33333333333333)"
