,Atomic Julia,Cheers Poverty,Chemical Reactor,Makaila,Orator,Supercharged,Spearhead,Whodat Boodat
09-01-2023 15:36:56.020632,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:57.203601,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:58.365264,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:59.540978,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:00.693240,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:01.812898,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:03.004445,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:04.187264,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:05.388080,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:06.568021,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:07.789780,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:08.959570,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:10.076257,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:11.202823,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:12.331565,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:13.502890,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:14.882102,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:16.195555,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:17.487543,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:18.894508,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:20.316972,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8962962962962961)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:21.559136,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:22.766025,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:23.937692,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:25.105146,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.628571428571428)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:26.326570,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.628571428571428)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:27.539378,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.628571428571428)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:28.710766,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.628571428571428)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:30.022216,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:31.294418,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:32.572041,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:33.813107,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:35.007043,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:36.186814,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:37.348464,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:38.534617,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:39.663830,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:40.805331,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:41.969993,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:43.226851,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:37:44.481490,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 42.2)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8606666666666667)","(3.2, 5.1, 4.275)","(10.0, 18.5, 15.333333333333332)","(61.0, 200.0, 157.14285714285714)"
