,Tranquil Coco,Clover Door,Little Gomez,Velocity Shinae,Colonel Angus,Bugatti Spiral,Smooth Grace,Ember Lad
15-12-2022 12:29:13.014902,"(21.0, 65.0, 41.0)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7444444444444445)","(3.1, 5.5, 4.34375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:14.437646,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7416666666666667)","(3.1, 5.5, 4.575)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:15.799737,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7416666666666667)","(3.1, 5.5, 4.9714285714285715)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:17.022015,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7416666666666667)","(3.1, 5.5, 4.9714285714285715)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:18.238192,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.6866666666666665)","(3.1, 5.5, 4.80625)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:19.584029,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7025)","(3.1, 5.5, 4.825)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:20.876613,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.7066666666666666)","(3.1, 5.5, 4.931578947368421)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:22.110189,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.69)","(3.1, 5.5, 4.728571428571429)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:23.340317,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.7)","(3.1, 5.5, 4.545454545454545)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:24.591267,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.7066666666666666)","(3.1, 5.5, 5.036363636363636)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:25.792602,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.7066666666666666)","(3.1, 5.5, 5.036363636363636)","(9.0, 17.5, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:27.082755,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.6844444444444444)","(3.1, 5.5, 5.036363636363636)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:28.358933,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.6842857142857142)","(3.1, 5.5, 5.036363636363636)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:29.663144,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.74, 1.7066666666666666)","(3.1, 5.5, 5.190625)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:30.959879,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 5.190625)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:32.132918,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 5.05)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:33.339724,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.71, 1.7)","(3.1, 5.5, 5.0636363636363635)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:34.555947,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.71, 1.7)","(3.1, 5.5, 4.9375)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:35.809968,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 5.090909090909091)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:37.052236,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 5.090909090909091)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:38.300944,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7)","(3.1, 5.5, 5.090909090909091)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:39.572728,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 4.672727272727273)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:40.777797,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 4.672727272727273)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:41.957634,"(21.0, 65.0, 38.1875)","(19.0, 65.0, 54.25)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.5, 4.964705882352941)","(9.0, 18.0, 12.75)","(13.0, 32.0, 23.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:43.111793,"(21.0, 65.0, 42.25)","(19.0, 85.0, 71.0)","(1.6, 1.71, 1.7033333333333334)","(3.1, 5.5, 5.2)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 47.0)"
15-12-2022 12:29:44.271264,"(21.0, 65.0, 53.857142857142854)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.266666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 61.58823529411765)"
15-12-2022 12:29:45.530723,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.405263157894737)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:46.939481,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.405263157894737)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:48.238629,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.264285714285714)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:49.471601,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.264285714285714)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:50.869373,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.3882352941176475)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:52.137160,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.3882352941176475)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:53.314934,"(21.0, 80.0, 71.0)","(19.0, 85.0, 49.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.216666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:54.825628,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.216666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:56.266772,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.216666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:57.553549,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.216666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:58.743943,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.242857142857143)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:29:59.981564,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.242857142857143)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:30:01.220118,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.242857142857143)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 39.8)"
15-12-2022 12:30:02.476190,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.242857142857143)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 45.54545454545455)"
15-12-2022 12:30:03.778973,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.06875)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:05.009129,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.06875)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:06.275608,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.06875)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:07.510677,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.199999999999999)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:08.700439,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.199999999999999)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:09.960172,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.8, 5.199999999999999)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:11.277651,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.8, 5.15)","(9.0, 18.0, 12.75)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:12.564685,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.121052631578948)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:13.796976,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.121052631578948)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:15.031735,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.121052631578948)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:16.174613,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.121052631578948)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:17.362714,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.178947368421053)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:18.423587,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.178947368421053)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:19.599150,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.178947368421053)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:20.697444,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.178947368421053)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:21.806170,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.7, 4.992857142857143)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:22.873044,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.7, 5.07)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:24.088687,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.7, 5.07)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:25.302033,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.7, 5.07)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:26.416488,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:27.625906,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:28.880620,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:30.216327,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.69)","(3.1, 5.7, 5.077777777777778)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:31.437754,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.35)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:32.667032,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.35)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:33.922657,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.35)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:35.093844,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7)","(3.1, 5.7, 5.077777777777778)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:36.497459,"(21.0, 80.0, 71.0)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.291666666666667)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:37.880708,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.291666666666667)","(9.0, 18.0, 13.961538461538462)","(13.0, 30.0, 23.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:39.222925,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.7066666666666666)","(3.1, 5.7, 5.291666666666667)","(9.0, 18.0, 12.75)","(13.0, 30.0, 24.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:40.536883,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.69)","(3.1, 5.7, 5.07)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:41.843477,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.69)","(3.1, 5.7, 5.07)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:43.107496,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.701111111111111)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:44.453155,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.701111111111111)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 12.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 348.2352941176471)","(21.0, 95.0, 56.14285714285714)"
15-12-2022 12:30:45.857313,"(21.0, 80.0, 45.285714285714285)","(19.0, 85.0, 53.0)","(1.6, 1.71, 1.701111111111111)","(3.1, 5.7, 5.300000000000001)","(9.0, 18.0, 12.75)","(13.0, 32.0, 19.416666666666668)","(61.0, 550.0, 210.5)","(21.0, 95.0, 56.14285714285714)"
