,Young Mase,Lonely Gemma,Goldstar Butters,Opawa Solomon,Homebush Thaw,Six Pack Nugget,Mysterious Lady,Sozins Prince
05-01-2023 15:13:24.433611,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:25.449445,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:26.669787,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:27.801474,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:28.847698,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:29.825421,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:30.953771,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:32.026872,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:33.121298,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:34.200261,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:35.341391,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:36.291255,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:37.245210,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:38.306181,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:39.396352,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:40.431022,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:41.511909,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:42.526188,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 20.0, 18.945454545454545)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:43.573118,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 20.0, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:44.682027,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:45.887372,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:46.960122,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:48.267401,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:49.321838,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:50.393204,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:51.432796,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:52.456817,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:53.597142,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:54.754708,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:55.765101,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:56.877434,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:58.017230,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:59.116956,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:00.142553,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:01.184856,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:02.277919,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:03.393253,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:04.580186,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:05.752083,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:06.876214,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:07.976482,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:09.062309,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:10.198877,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.945454545454545)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:11.296014,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 20.0, 18.945454545454545)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:12.426672,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 20.0, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:13.558978,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:14.661776,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:15.804434,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:16.894714,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:18.064397,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:19.148225,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:20.244219,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:21.320821,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:22.430011,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 20.0, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:23.552717,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:24.832015,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:26.064405,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:27.283174,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:28.478616,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:29.663869,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:30.783842,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:31.898529,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:33.029287,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:34.251199,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:35.456562,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:36.708138,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:37.953524,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:39.172056,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:14:40.306279,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 22.0, 20.6)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
