,Atlantic Way,Coronel,Doctor Jack,Martini Dancer,Casrock,Stars N Riches,Alexandra Road,Zeeluck
07-12-2022 17:44:28.743743,"(3.0, 4.4, 4.3545454545454545)","(31.0, 46.0, 44.666666666666664)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.66, 2.6771428571428575)","(6.5, 7.4, 7.344827586206897)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:29.913027,"(3.0, 4.6, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 12.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.68, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:31.136124,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:32.201868,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:33.268820,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:34.322434,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:35.392159,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:36.463911,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6942857142857144)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:37.540676,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 44.666666666666664)","(10.0, 11.0, 10.73913043478261)","(5.0, 8.2, 8.11111111111111)","(2.7, 2.7, 2.6883870967741936)","(6.5, 7.4, 7.335483870967742)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:38.691669,"(3.0, 4.5, 4.416666666666667)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.0, 10.880952380952381)","(5.0, 8.2, 8.083333333333332)","(2.7, 2.7, 2.696)","(6.5, 7.4, 7.346666666666667)","(71.0, 160.0, 130.0)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:39.818809,"(3.0, 4.5, 4.425423728813559)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.0, 10.880952380952381)","(5.0, 8.2, 8.083333333333332)","(2.7, 2.7, 2.696)","(6.5, 7.4, 7.346666666666667)","(71.0, 150.0, 130.0)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:40.975970,"(3.0, 4.5, 4.433333333333334)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.166666666666666)","(5.0, 8.4, 8.166666666666666)","(2.7, 2.66, 2.6348148148148147)","(6.5, 7.6, 7.387341772151899)","(71.0, 140.0, 117.5)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:42.111699,"(3.0, 4.5, 4.433333333333334)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.166666666666666)","(5.0, 8.4, 8.166666666666666)","(2.7, 2.66, 2.6348148148148147)","(6.5, 7.6, 7.387341772151899)","(71.0, 140.0, 117.5)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:43.409492,"(3.0, 4.4, 4.386274509803922)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.1875)","(5.0, 8.4, 8.05)","(2.7, 2.72, 2.666666666666667)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 117.5)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:44.643019,"(3.0, 4.4, 4.386)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.225)","(5.0, 8.4, 8.331707317073171)","(2.7, 2.72, 2.7081967213114755)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 117.5)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:45.871809,"(3.0, 4.4, 4.386)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.1875)","(5.0, 8.4, 8.378571428571428)","(2.7, 2.72, 2.7111111111111112)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 117.5)","(51.0, 75.0, 72.77777777777777)"
07-12-2022 17:44:46.947676,"(3.0, 4.4, 4.372)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.1875)","(5.0, 8.4, 8.356250000000001)","(2.7, 2.72, 2.685714285714286)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 117.5)","(51.0, 85.0, 75.38461538461539)"
07-12-2022 17:44:48.194479,"(3.0, 4.4, 4.370270270270271)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.1875)","(5.0, 8.4, 8.26)","(2.7, 2.7, 2.6733333333333333)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 117.5)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:49.347026,"(3.0, 4.4, 4.370270270270271)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.1875)","(5.0, 8.4, 8.356250000000001)","(2.7, 2.7, 2.66)","(6.5, 7.4, 7.366666666666667)","(71.0, 140.0, 116.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:50.705103,"(3.0, 4.4, 4.38)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.225)","(5.0, 8.4, 8.38)","(2.7, 2.68, 2.664)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:51.921328,"(3.0, 4.4, 4.325)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.225)","(5.0, 8.4, 8.366666666666667)","(2.7, 2.72, 2.717391304347826)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:53.050842,"(3.0, 4.4, 4.363157894736842)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.321428571428571)","(5.0, 8.2, 8.178378378378378)","(2.7, 2.72, 2.681)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:54.265197,"(3.0, 4.4, 4.363157894736842)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.321428571428571)","(5.0, 8.2, 8.178378378378378)","(2.7, 2.72, 2.681)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:55.529552,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.409090909090908)","(5.0, 8.2, 8.178378378378378)","(2.7, 2.72, 2.6768)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:56.892086,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.409090909090908)","(5.0, 8.4, 8.347368421052632)","(2.7, 2.72, 2.6768)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:58.180602,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.409090909090908)","(5.0, 8.4, 8.178378378378378)","(2.7, 2.72, 2.6768)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:44:59.323445,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.38888888888889)","(5.0, 8.2, 8.178378378378378)","(2.7, 2.72, 2.6750000000000003)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:45:00.491175,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.38888888888889)","(5.0, 8.2, 8.178378378378378)","(2.7, 2.72, 2.6750000000000003)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.14285714285714)"
07-12-2022 17:45:01.522546,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.25)","(5.0, 8.2, 8.177142857142856)","(2.7, 2.72, 2.6750000000000003)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.64705882352942)"
07-12-2022 17:45:02.652246,"(3.0, 4.4, 4.383783783783784)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.25)","(5.0, 8.2, 8.177142857142856)","(2.7, 2.72, 2.6750000000000003)","(6.5, 7.4, 7.366666666666667)","(71.0, 130.0, 120.0)","(51.0, 80.0, 77.64705882352942)"
07-12-2022 17:45:03.717608,"(3.0, 4.4, 4.364102564102565)","(31.0, 46.0, 45.05882352941177)","(10.0, 11.5, 11.25)","(5.0, 8.2, 8.177142857142856)","(2.7, 2.72, 2.6750000000000003)","(6.5, 7.4, 7.3951219512195125)","(71.0, 130.0, 120.0)","(51.0, 80.0, 75.0)"
07-12-2022 17:45:04.864425,"(3.0, 4.4, 4.330612244897959)","(31.0, 46.0, 45.111111111111114)","(10.0, 11.5, 11.375)","(5.0, 8.4, 8.359183673469389)","(2.7, 2.66, 2.628695652173913)","(6.5, 7.4, 7.3951219512195125)","(71.0, 130.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:05.892406,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:06.944664,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:08.058045,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:09.168202,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:10.215420,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:11.351012,"(3.0, 4.4, 4.330612244897959)","(31.0, 48.0, 47.27272727272727)","(10.0, 12.0, 11.767441860465116)","(5.0, 8.2, 8.186666666666666)","(2.7, 2.64, 2.635555555555556)","(6.5, 7.4, 7.3951219512195125)","(71.0, 140.0, 134.54545454545453)","(51.0, 80.0, 76.05263157894737)"
07-12-2022 17:45:12.559321,"(3.0, 4.4, 4.375609756097561)","(31.0, 48.0, 46.0)","(10.0, 12.5, 12.011627906976745)","(5.0, 8.4, 8.344615384615384)","(2.7, 2.62, 2.619649122807018)","(6.5, 7.4, 7.394871794871795)","(71.0, 170.0, 158.46153846153845)","(51.0, 80.0, 76.53846153846153)"
07-12-2022 17:45:13.653944,"(3.0, 4.4, 4.377272727272728)","(31.0, 48.0, 46.0)","(10.0, 12.5, 12.011627906976745)","(5.0, 8.4, 8.344615384615384)","(2.7, 2.64, 2.632)","(6.5, 7.4, 7.358333333333333)","(71.0, 170.0, 158.46153846153845)","(51.0, 80.0, 76.53846153846153)"
07-12-2022 17:45:14.810026,"(3.0, 4.4, 4.377272727272728)","(31.0, 48.0, 45.77777777777778)","(10.0, 12.5, 12.011627906976745)","(5.0, 8.4, 8.344615384615384)","(2.7, 2.64, 2.632)","(6.5, 7.4, 7.358333333333333)","(71.0, 170.0, 156.36363636363637)","(51.0, 80.0, 76.53846153846153)"
07-12-2022 17:45:16.084116,"(3.0, 4.4, 4.381818181818182)","(31.0, 48.0, 45.77777777777778)","(10.0, 12.5, 12.078947368421053)","(5.0, 8.4, 8.305263157894737)","(2.7, 2.64, 2.5415450643776825)","(6.5, 7.4, 7.454545454545455)","(71.0, 170.0, 159.28571428571428)","(51.0, 90.0, 76.9047619047619)"
