,Dr Earnie,Little Amelia,Bombers Reward,Slingshot Queen,Dr Audrey,Dr Boone,Dr Cinny,Good Chat Sam
07-12-2022 18:38:43.809465,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.710344827586207)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4552272727272726)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:44.908914,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.710344827586207)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4552272727272726)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:45.891976,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.710344827586207)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4552272727272726)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:46.896271,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.78095238095238)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.54716981132076)","(2.5, 2.46, 2.4552272727272726)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:47.880936,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.959999999999999)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.54716981132076)","(2.5, 2.46, 2.4549397590361446)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:48.922184,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.959999999999999)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4549397590361446)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:49.973746,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.959999999999999)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4549397590361446)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:51.032290,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.773333333333333)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4549397590361446)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:52.032334,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.8)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4549397590361446)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:53.019979,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.694736842105263)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4514285714285715)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
