,My Girl Mandy,Shakatie,Our Ruby Rose,Crossed Legs,Beyonski,Jet Force,Wild About Town,Jelignite Jack,Teachers Pet
12-01-2023 15:27:24.828131,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:26.346061,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:27.919358,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:29.149806,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:30.422724,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:31.783704,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:33.142710,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:34.417159,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:35.632339,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:36.893833,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:38.258430,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:39.719331,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:41.212454,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:42.703168,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:44.121223,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:45.780248,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:47.153547,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:48.535743,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:49.827223,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:51.239523,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:52.574108,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:53.882761,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.797058823529412)"
12-01-2023 15:27:55.258187,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:27:56.642598,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:27:58.014458,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:27:59.421301,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:00.829339,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:02.211670,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:03.556643,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:04.941764,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:06.355466,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:07.707578,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:08.956080,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:10.169684,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:11.497836,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:12.813753,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:14.167913,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:15.438589,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:16.759811,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:18.035997,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:19.319241,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:20.643697,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:21.940573,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:23.230416,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:24.529585,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:25.713121,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:26.993992,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:28.281346,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:29.626363,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:30.908808,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:32.145560,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:33.270834,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:34.470015,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:35.835422,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:37.171131,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:38.463425,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:39.684779,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:40.866309,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:42.219761,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:43.525841,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:44.844766,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:46.174873,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 13.219047619047618)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
12-01-2023 15:28:47.514231,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 13.219047619047618)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.875352112676056)"
