,Maxs Magic,Super Keen,Winlock Apples,Monkey Paw,Als Holiday,Skylah,Winlock One Out
05-01-2023 15:07:32.318441,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:33.316263,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:34.369809,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:35.354243,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:36.380619,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:37.466171,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 15.666666666666668)"
05-01-2023 15:07:38.526596,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 15.666666666666668)"
05-01-2023 15:07:39.492611,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 15.666666666666668)"
05-01-2023 15:07:40.459977,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:41.401018,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:42.399015,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:43.407430,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:44.346300,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:45.333538,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:46.358971,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:47.448055,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:48.526334,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:49.562411,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:50.525263,"(3.2, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:51.441408,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:52.451548,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:53.457911,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:54.447718,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:55.360293,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:56.381925,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:57.475170,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:58.558716,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:07:59.631333,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:00.662200,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 16.625)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 105.57142857142857)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:01.686287,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 16.625)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 100.42857142857143)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:02.717175,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 16.625)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 100.42857142857143)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:03.793854,"(3.2, 4.7, 3.611290322580645)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 100.42857142857143)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:04.794339,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 101.71428571428571)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:05.728896,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 101.71428571428571)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:06.653863,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 101.71428571428571)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.0)"
05-01-2023 15:08:07.630195,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 13.236363636363635)"
05-01-2023 15:08:08.709325,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 13.236363636363635)"
05-01-2023 15:08:09.875461,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 13.236363636363635)"
05-01-2023 15:08:10.997231,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:12.036989,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:13.014165,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:14.018606,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 23.81818181818182)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:14.956405,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:16.016841,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.8726666666666665)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:17.019900,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:17.940093,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:18.944407,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:19.915274,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:20.956484,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:21.973552,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:22.971345,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:23.991772,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:25.033935,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:26.140802,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:27.218743,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:28.264224,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:29.252053,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 18.0)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:30.174958,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 17.375)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:31.146526,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 17.375)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 14.266666666666666)"
05-01-2023 15:08:32.117887,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 17.375)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 24.0, 15.0)"
05-01-2023 15:08:33.110385,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 17.375)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 77.63636363636364)","(16.0, 42.0, 25.333333333333336)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:34.128590,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.4, 2.9939393939393937)","(10.0, 28.0, 17.375)","(3.0, 4.1, 3.26875)","(51.0, 220.0, 138.0)","(16.0, 42.0, 29.88888888888889)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:35.191442,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 175.14285714285714)","(16.0, 46.0, 29.88888888888889)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:36.231246,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 175.14285714285714)","(16.0, 46.0, 29.88888888888889)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:37.300381,"(3.2, 4.7, 3.5362068965517244)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 175.14285714285714)","(16.0, 46.0, 29.88888888888889)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:38.352329,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 175.14285714285714)","(16.0, 46.0, 29.88888888888889)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:39.400948,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 175.14285714285714)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:40.426977,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1578947368421053)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:41.396798,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 4.13013698630137)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:42.310127,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 4.13013698630137)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:43.264685,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.4124999999999996)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:44.316979,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:45.467995,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:46.594691,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:47.664803,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:48.673784,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:49.656026,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
05-01-2023 15:08:50.653442,"(3.2, 4.8, 3.796153846153846)","(2.8, 4.5, 3.1421052631578945)","(10.0, 28.0, 17.6875)","(3.0, 4.1, 3.26875)","(51.0, 230.0, 138.0)","(16.0, 46.0, 26.666666666666664)","(10.0, 22.0, 15.0)"
