,Freddy Mac,Vested Interest,Shalily,Son Of Bielski,Red Stiletto,Langworthy,Five Ounce,Ruby Edition,Barossa Kiss,Keck,Sarwatte
10-01-2023 14:26:46.954547,"(4.8, 5.6, 5.556)","(3.6, 3.85, 3.8)","(6.0, 8.2, 8.214545454545453)","(7.5, 8.6, 8.544578313253012)","(11.0, 13.0, 12.543478260869565)","(15.0, 22.0, 21.25)","(5.5, 7.0, 7.033962264150944)","(61.0, 100.0, 90.9090909090909)","(71.0, 130.0, 131.29032258064515)","(31.0, 42.0, 42.92307692307692)","(101.0, 99999, 7716.75)"
10-01-2023 14:26:48.501656,"(4.6, 5.6, 5.551111111111111)","(3.5, 3.8, 3.7817596566523606)","(6.5, 8.4, 8.06027397260274)","(7.5, 8.6, 8.43661971830986)","(10.0, 13.0, 12.6)","(15.0, 22.0, 21.314285714285713)","(5.5, 7.2, 7.0)","(61.0, 100.0, 91.81818181818181)","(71.0, 150.0, 136.0)","(31.0, 44.0, 43.84615384615385)","(101.0, 99999, 7716.75)"
10-01-2023 14:26:50.048126,"(4.6, 5.6, 5.559633027522936)","(3.5, 3.8, 3.729925650557621)","(6.5, 8.2, 8.06027397260274)","(7.5, 8.6, 8.336046511627908)","(10.0, 13.0, 12.6)","(15.0, 22.0, 21.35483870967742)","(5.5, 7.2, 7.031428571428571)","(61.0, 100.0, 92.5)","(71.0, 140.0, 134.11764705882354)","(31.0, 44.0, 43.88235294117647)","(101.0, 99999, 7716.75)"
10-01-2023 14:26:51.658536,"(4.6, 5.5, 5.475652173913043)","(3.5, 3.75, 3.7316949152542374)","(6.5, 8.2, 8.07710843373494)","(7.5, 8.4, 8.34696132596685)","(10.0, 13.0, 12.533333333333333)","(15.0, 22.0, 21.35483870967742)","(5.5, 7.2, 7.080952380952381)","(61.0, 100.0, 91.0)","(71.0, 140.0, 134.44444444444446)","(31.0, 44.0, 43.411764705882355)","(101.0, 99999, 7716.75)"
10-01-2023 14:26:53.187272,"(4.6, 5.5, 5.475652173913043)","(3.5, 3.75, 3.7316949152542374)","(6.5, 8.2, 8.110344827586207)","(7.5, 8.4, 8.341463414634147)","(10.0, 13.0, 12.56701030927835)","(15.0, 22.0, 21.2)","(5.5, 7.2, 7.03469387755102)","(61.0, 100.0, 91.0)","(71.0, 140.0, 134.44444444444446)","(31.0, 46.0, 43.411764705882355)","(101.0, 99999, 7716.75)"
10-01-2023 14:26:54.646020,"(4.6, 5.6, 5.544230769230769)","(3.5, 3.75, 3.7)","(6.5, 8.2, 8.2)","(7.5, 8.4, 8.339759036144578)","(10.0, 13.0, 12.376712328767123)","(15.0, 22.0, 21.451612903225808)","(5.5, 7.2, 6.967605633802817)","(61.0, 100.0, 91.0)","(71.0, 140.0, 134.54545454545453)","(31.0, 46.0, 42.77777777777778)","(101.0, 99999, 8477.5)"
10-01-2023 14:26:56.136580,"(4.6, 5.7, 5.644604316546762)","(3.5, 3.7, 3.6919871794871795)","(6.5, 8.4, 8.23235294117647)","(7.5, 8.4, 8.352631578947369)","(10.0, 12.5, 12.450819672131148)","(15.0, 22.0, 21.263157894736842)","(5.5, 7.0, 6.978195488721805)","(61.0, 100.0, 91.0)","(71.0, 140.0, 126.66666666666667)","(31.0, 44.0, 42.93333333333333)","(101.0, 99999, 8477.5)"
10-01-2023 14:26:57.644872,"(4.6, 5.7, 5.644604316546762)","(3.5, 3.7, 3.6919871794871795)","(6.5, 8.4, 8.154929577464788)","(7.5, 8.4, 8.357142857142858)","(10.0, 12.5, 12.652173913043478)","(15.0, 22.0, 21.227272727272727)","(5.5, 7.0, 6.978195488721805)","(61.0, 100.0, 92.96296296296296)","(71.0, 140.0, 126.66666666666667)","(31.0, 44.0, 43.13333333333333)","(101.0, 99999, 6956.0)"
10-01-2023 14:26:59.168050,"(4.6, 5.7, 5.644604316546762)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.2, 8.177419354838708)","(7.5, 8.4, 8.357142857142858)","(10.0, 13.0, 12.627272727272727)","(15.0, 22.0, 21.291666666666668)","(5.5, 7.0, 6.880519480519481)","(61.0, 100.0, 92.96296296296296)","(71.0, 140.0, 126.66666666666667)","(31.0, 44.0, 43.13333333333333)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:00.641000,"(4.6, 5.7, 5.653892215568862)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.2, 8.209999999999999)","(7.5, 8.4, 8.368152866242038)","(10.0, 13.0, 12.59)","(15.0, 22.0, 21.291666666666668)","(5.5, 7.0, 6.7811158798283255)","(61.0, 100.0, 95.0)","(71.0, 140.0, 129.0909090909091)","(31.0, 44.0, 43.21212121212121)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:02.124251,"(4.6, 5.7, 5.653892215568862)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.4, 8.196428571428571)","(7.5, 8.4, 8.363467492260062)","(10.0, 13.0, 12.60576923076923)","(15.0, 22.0, 21.413793103448278)","(5.5, 6.8, 6.817687074829932)","(61.0, 100.0, 95.15151515151516)","(71.0, 140.0, 134.0)","(31.0, 44.0, 43.29032258064516)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:03.663250,"(4.6, 5.7, 5.653892215568862)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.4, 8.194690265486726)","(7.5, 8.6, 8.363467492260062)","(10.0, 13.0, 12.540816326530612)","(15.0, 22.0, 21.236363636363635)","(5.5, 7.0, 6.817687074829932)","(61.0, 100.0, 96.09756097560975)","(71.0, 140.0, 134.0)","(31.0, 44.0, 43.29032258064516)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:05.182451,"(4.6, 5.7, 5.655555555555556)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.4, 8.194690265486726)","(7.5, 8.6, 8.363467492260062)","(10.0, 13.0, 12.55)","(15.0, 22.0, 21.125)","(5.5, 7.0, 6.861946902654867)","(61.0, 100.0, 96.09756097560975)","(71.0, 140.0, 134.0)","(31.0, 44.0, 43.29032258064516)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:06.654369,"(4.6, 5.7, 5.655555555555556)","(3.5, 3.75, 3.7080952380952383)","(6.5, 8.4, 8.194690265486726)","(7.5, 8.6, 8.358227848101265)","(10.0, 13.0, 12.5)","(15.0, 22.0, 21.125)","(5.5, 7.0, 6.861946902654867)","(61.0, 100.0, 96.59574468085107)","(71.0, 140.0, 135.0)","(31.0, 44.0, 42.8)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:08.084690,"(4.6, 5.7, 5.653846153846154)","(3.3, 3.75, 3.7080952380952383)","(6.5, 8.4, 8.165034965034966)","(7.5, 8.6, 8.366978193146418)","(11.0, 13.0, 12.5)","(16.0, 22.0, 20.72972972972973)","(5.5, 7.0, 6.764312267657992)","(61.0, 100.0, 96.59574468085107)","(81.0, 140.0, 135.71428571428572)","(31.0, 44.0, 42.8421052631579)","(101.0, 1000.0, 940.0)"
10-01-2023 14:27:09.639285,"(4.6, 5.8, 5.6927835051546385)","(3.3, 3.75, 3.7078199052132703)","(6.5, 8.4, 8.145679012345678)","(7.5, 8.6, 8.43370786516854)","(11.0, 13.0, 12.52127659574468)","(16.0, 21.0, 20.771428571428572)","(5.5, 6.8, 6.71023102310231)","(61.0, 100.0, 94.42857142857143)","(81.0, 140.0, 135.71428571428572)","(31.0, 44.0, 42.8421052631579)","(101.0, 1000.0, 970.0)"
10-01-2023 14:27:11.548754,"(4.6, 5.9, 5.823008849557522)","(3.3, 3.75, 3.7539927404718694)","(6.5, 8.2, 8.145679012345678)","(7.5, 8.6, 8.167073170731706)","(11.0, 13.0, 12.46875)","(16.0, 21.0, 20.771428571428572)","(6.0, 6.8, 6.694573643410853)","(61.0, 95.0, 94.42857142857143)","(81.0, 140.0, 135.71428571428572)","(31.0, 44.0, 42.8421052631579)","(101.0, 1000.0, 920.0)"
10-01-2023 14:27:13.127822,"(4.6, 5.9, 5.823008849557522)","(3.3, 3.8, 3.7539927404718694)","(6.5, 8.2, 8.173529411764704)","(7.5, 8.2, 8.073148148148148)","(11.0, 12.5, 12.394736842105264)","(16.0, 21.0, 20.771428571428572)","(6.0, 6.8, 6.694573643410853)","(61.0, 95.0, 96.45833333333333)","(81.0, 140.0, 135.71428571428572)","(31.0, 44.0, 42.8421052631579)","(101.0, 1000.0, 766.6666666666666)"
10-01-2023 14:27:14.771990,"(4.6, 5.9, 5.877922077922078)","(3.3, 3.8, 3.7526168224299066)","(6.5, 8.2, 8.232)","(7.5, 8.2, 8.054320987654322)","(11.0, 12.5, 12.326086956521738)","(16.0, 21.0, 21.148936170212767)","(5.5, 6.8, 6.700729927007299)","(61.0, 100.0, 95.27777777777777)","(81.0, 140.0, 136.0)","(31.0, 44.0, 41.61643835616438)","(101.0, 840.0, 795.0)"
10-01-2023 14:27:16.363942,"(4.6, 5.9, 5.829268292682927)","(3.3, 3.8, 3.7526168224299066)","(6.5, 8.4, 8.231683168316831)","(7.5, 8.2, 8.05)","(11.0, 12.5, 12.522222222222222)","(16.0, 22.0, 21.125)","(5.5, 6.8, 6.700729927007299)","(61.0, 100.0, 93.44444444444444)","(81.0, 140.0, 136.0)","(31.0, 42.0, 42.57142857142857)","(101.0, 840.0, 751.4285714285714)"
10-01-2023 14:27:17.875045,"(4.8, 5.9, 5.811042944785276)","(3.4, 3.8, 3.7527932960893855)","(6.5, 8.4, 8.233333333333333)","(7.0, 8.2, 8.066917293233082)","(10.0, 13.0, 12.442307692307692)","(16.0, 22.0, 21.125)","(5.5, 6.8, 6.701449275362319)","(61.0, 95.0, 93.44444444444444)","(81.0, 140.0, 135.33333333333334)","(31.0, 46.0, 42.57142857142857)","(101.0, 850.0, 751.4285714285714)"
10-01-2023 14:27:19.432511,"(4.8, 5.9, 5.818539325842696)","(3.4, 3.8, 3.690725806451613)","(6.5, 8.4, 8.237777777777778)","(7.0, 8.2, 8.068702290076336)","(10.0, 13.0, 12.477477477477478)","(16.0, 22.0, 21.066666666666666)","(5.5, 6.8, 6.795169082125604)","(61.0, 95.0, 93.37209302325581)","(81.0, 140.0, 134.8148148148148)","(31.0, 44.0, 42.44444444444444)","(101.0, 850.0, 768.5714285714286)"
10-01-2023 14:27:20.932684,"(4.8, 5.9, 5.761244019138756)","(3.4, 3.7, 3.6997422680412373)","(6.5, 8.4, 8.237777777777778)","(7.0, 8.2, 8.068702290076336)","(10.0, 13.0, 12.477477477477478)","(16.0, 22.0, 21.066666666666666)","(5.5, 6.8, 6.83519313304721)","(61.0, 95.0, 93.15789473684211)","(81.0, 140.0, 134.8148148148148)","(31.0, 44.0, 43.24324324324324)","(101.0, 850.0, 768.5714285714286)"
10-01-2023 14:27:22.453326,"(4.8, 5.9, 5.840659340659341)","(3.4, 3.7, 3.6919786096256684)","(6.5, 8.4, 8.255445544554455)","(7.0, 8.2, 8.039252336448598)","(10.0, 13.0, 12.56060606060606)","(16.0, 22.0, 21.066666666666666)","(5.5, 7.0, 6.82085308056872)","(61.0, 95.0, 93.15789473684211)","(81.0, 140.0, 134.8148148148148)","(31.0, 44.0, 43.18840579710145)","(101.0, 850.0, 768.5714285714286)"
10-01-2023 14:27:23.913009,"(4.8, 5.8, 5.765765765765766)","(3.3, 3.7, 3.698159509202454)","(6.5, 8.4, 8.27079646017699)","(7.0, 8.2, 8.048275862068966)","(10.0, 13.0, 12.63888888888889)","(16.0, 22.0, 21.16)","(5.5, 7.0, 6.842682926829268)","(61.0, 95.0, 93.24324324324324)","(81.0, 140.0, 134.8148148148148)","(31.0, 44.0, 42.25)","(101.0, 850.0, 760.0)"
10-01-2023 14:27:25.314027,"(4.8, 5.9, 5.785882352941177)","(3.3, 3.7, 3.7035836177474404)","(6.5, 8.4, 8.27079646017699)","(7.0, 8.2, 8.071219512195121)","(10.0, 13.0, 12.63888888888889)","(16.0, 22.0, 21.16)","(5.5, 7.0, 6.840462427745664)","(61.0, 95.0, 93.24324324324324)","(81.0, 140.0, 134.8148148148148)","(31.0, 44.0, 43.4375)","(101.0, 840.0, 766.25)"
10-01-2023 14:27:26.771008,"(4.8, 5.8, 5.782022471910112)","(3.3, 3.75, 3.7035836177474404)","(6.5, 8.4, 8.27079646017699)","(7.0, 8.2, 8.071219512195121)","(10.0, 13.0, 12.617647058823529)","(16.0, 22.0, 21.16)","(6.0, 7.0, 6.840462427745664)","(61.0, 95.0, 93.24324324324324)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 43.4)","(101.0, 830.0, 766.25)"
10-01-2023 14:27:28.249065,"(4.8, 5.8, 5.786666666666666)","(3.3, 3.75, 3.7035836177474404)","(6.5, 8.4, 8.27079646017699)","(7.0, 8.2, 8.071219512195121)","(10.0, 13.0, 12.617647058823529)","(16.0, 22.0, 21.16)","(6.0, 7.0, 6.840462427745664)","(61.0, 95.0, 94.44444444444444)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 43.4)","(101.0, 860.0, 785.0)"
10-01-2023 14:27:29.656134,"(4.8, 5.8, 5.788135593220339)","(3.3, 3.75, 3.70253164556962)","(6.5, 8.4, 8.262264150943397)","(7.0, 8.2, 8.065024630541872)","(10.0, 13.0, 12.598765432098766)","(16.0, 22.0, 21.275862068965516)","(6.0, 7.0, 6.778039215686274)","(61.0, 95.0, 94.44444444444444)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 42.71604938271605)","(101.0, 860.0, 778.75)"
10-01-2023 14:27:31.080027,"(4.8, 5.8, 5.788135593220339)","(3.3, 3.75, 3.70253164556962)","(6.5, 8.4, 8.258407079646018)","(7.0, 8.2, 8.065024630541872)","(10.0, 13.0, 12.576923076923077)","(16.0, 22.0, 20.88888888888889)","(6.0, 6.8, 6.751612903225806)","(61.0, 95.0, 94.42307692307692)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 42.63157894736842)","(101.0, 850.0, 778.75)"
10-01-2023 14:27:32.543599,"(4.8, 5.9, 5.821243523316062)","(3.3, 3.75, 3.699324324324324)","(6.5, 8.4, 8.258407079646018)","(7.0, 8.2, 8.065024630541872)","(10.0, 13.0, 12.576923076923077)","(16.0, 21.0, 20.88888888888889)","(6.0, 6.8, 6.748717948717949)","(61.0, 95.0, 94.4)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 42.63157894736842)","(101.0, 850.0, 778.75)"
10-01-2023 14:27:33.973047,"(4.8, 5.9, 5.826213592233009)","(3.3, 3.75, 3.7165)","(6.5, 8.4, 8.258407079646018)","(7.0, 8.2, 8.065024630541872)","(10.0, 13.0, 12.53191489361702)","(16.0, 21.0, 20.88888888888889)","(6.0, 6.8, 6.750943396226415)","(61.0, 95.0, 94.58333333333333)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 42.54545454545455)","(101.0, 850.0, 778.75)"
10-01-2023 14:27:35.405978,"(4.8, 5.9, 5.826213592233009)","(3.3, 3.75, 3.7165)","(6.5, 8.4, 8.258407079646018)","(7.0, 8.2, 8.065024630541872)","(10.0, 13.0, 12.529411764705882)","(16.0, 21.0, 20.88888888888889)","(6.0, 6.8, 6.750943396226415)","(61.0, 95.0, 94.58333333333333)","(81.0, 140.0, 132.12121212121212)","(31.0, 44.0, 42.61333333333333)","(101.0, 850.0, 778.75)"
10-01-2023 14:27:36.827153,"(4.8, 5.9, 5.826213592233009)","(3.3, 3.75, 3.7165)","(6.5, 8.4, 8.258407079646018)","(7.0, 8.2, 8.068041237113402)","(10.0, 13.0, 12.52)","(16.0, 21.0, 20.88888888888889)","(6.0, 6.8, 6.750943396226415)","(61.0, 95.0, 94.58333333333333)","(81.0, 140.0, 132.77777777777777)","(31.0, 44.0, 42.61333333333333)","(101.0, 850.0, 778.75)"
10-01-2023 14:27:38.329110,"(4.8, 5.9, 5.810714285714286)","(3.3, 3.75, 3.7165)","(6.5, 8.4, 8.304761904761904)","(7.0, 8.2, 8.219689119170983)","(10.0, 13.0, 12.410071942446043)","(16.0, 21.0, 20.75)","(5.5, 6.8, 6.867567567567567)","(61.0, 95.0, 98.0)","(81.0, 140.0, 133.7037037037037)","(31.0, 44.0, 44.8235294117647)","(101.0, 850.0, 795.7142857142858)"
10-01-2023 14:27:39.809836,"(4.8, 6.0, 5.947863247863248)","(3.3, 3.65, 3.5779310344827584)","(6.5, 8.6, 8.469565217391304)","(7.0, 8.4, 8.232323232323232)","(10.0, 13.0, 12.491379310344827)","(16.0, 21.0, 20.5)","(5.5, 7.0, 6.890829694323144)","(61.0, 100.0, 98.38709677419355)","(81.0, 150.0, 135.80645161290323)","(31.0, 46.0, 44.8235294117647)","(101.0, 850.0, 795.7142857142858)"
10-01-2023 14:27:41.231735,"(4.8, 6.0, 5.949166666666667)","(3.3, 3.6, 3.5779310344827584)","(6.5, 8.6, 8.46896551724138)","(7.0, 8.4, 8.232323232323232)","(10.0, 13.0, 12.504424778761061)","(16.0, 21.0, 20.5)","(5.5, 7.0, 6.890829694323144)","(61.0, 100.0, 98.125)","(81.0, 150.0, 142.90322580645162)","(31.0, 46.0, 44.4)","(101.0, 850.0, 795.7142857142858)"
10-01-2023 14:27:42.694462,"(4.8, 6.0, 5.954128440366973)","(3.3, 3.6, 3.576771653543307)","(6.5, 8.6, 8.46896551724138)","(7.0, 8.4, 8.246376811594203)","(10.0, 13.0, 12.508928571428571)","(16.0, 21.0, 20.470588235294116)","(5.5, 7.0, 6.890829694323144)","(61.0, 100.0, 98.06451612903226)","(81.0, 150.0, 142.90322580645162)","(31.0, 46.0, 44.297872340425535)","(101.0, 850.0, 795.7142857142858)"
10-01-2023 14:27:44.136824,"(4.8, 6.0, 5.944444444444445)","(3.3, 3.6, 3.576771653543307)","(6.5, 8.6, 8.46896551724138)","(7.0, 8.4, 8.246376811594203)","(10.0, 13.0, 12.491379310344827)","(16.0, 21.0, 20.470588235294116)","(5.5, 7.0, 6.90936329588015)","(61.0, 100.0, 98.06451612903226)","(81.0, 150.0, 144.28571428571428)","(31.0, 46.0, 43.833333333333336)","(101.0, 850.0, 795.7142857142858)"
