,Bronze Lady,Lucky Lockett,Hallelujah Baby,Get My Point,Shes Fancy Like,A Rousing Babe,Hot Link,Raucous Tizzy,Standforgrit,Mo Town Gal
07-01-2023 09:28:52.726559,"(14.0, 26.0, 17.666666666666668)","(8.0, 12.5, 10.3125)","(13.0, 26.0, 17.9)","(3.1, 5.5, 4.966666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.8, 4.75)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 22.0, 18.666666666666668)","(7.0, 12.5, 11.26)"
07-01-2023 09:28:54.013668,"(14.0, 26.0, 17.666666666666668)","(8.0, 12.5, 10.75)","(13.0, 17.5, 13.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.6, 4.75)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 22.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:28:55.211212,"(14.0, 26.0, 17.666666666666668)","(8.0, 12.5, 10.75)","(13.0, 17.0, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.6, 4.65)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:28:56.421817,"(14.0, 26.0, 17.666666666666668)","(8.0, 12.5, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.65)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:28:57.676181,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.638461538461538)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:28:59.014430,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.638461538461538)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:00.306413,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.638461538461538)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:01.664257,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:03.002150,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:04.408925,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:05.684474,"(14.0, 26.0, 17.666666666666668)","(8.0, 70.0, 39.5)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.4, 4.114285714285714)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:06.941995,"(14.0, 26.0, 17.666666666666668)","(8.0, 21.0, 15.0)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.14375)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:08.155228,"(14.0, 26.0, 17.666666666666668)","(8.0, 21.0, 15.0)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.638461538461538)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:09.459875,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 13.714285714285715)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.7555555555555555)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:10.852621,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 13.714285714285715)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.7555555555555555)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:12.228618,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.28)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:13.548142,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.28)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:14.858328,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.28)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:16.177042,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.3)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:17.515529,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.5, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 130.33333333333331)","(18.0, 24.0, 18.75)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:18.910530,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:20.160263,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:21.499531,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:22.823524,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:24.172303,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.466666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:25.538233,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.2)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:26.836563,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.2)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:28.116318,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.4, 4.4)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:29.363433,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.2, 4.875)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:30.681845,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.2, 4.875)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:32.021303,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.2, 4.353846153846154)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:33.433058,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.3)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:34.774813,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:36.033123,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:37.287170,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:38.551119,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 11.26)"
07-01-2023 09:29:39.866356,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 9.865)"
07-01-2023 09:29:41.231516,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.5, 10.96)"
07-01-2023 09:29:42.607374,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.0, 10.96)"
07-01-2023 09:29:43.963207,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.111111111111111)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.0, 10.96)"
07-01-2023 09:29:45.303530,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.066666666666666)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.0, 10.96)"
07-01-2023 09:29:46.689303,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.066666666666666)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.0, 10.96)"
07-01-2023 09:29:48.033935,"(14.0, 26.0, 17.666666666666668)","(8.0, 20.0, 11.75)","(13.0, 16.5, 14.5)","(3.1, 5.0, 4.066666666666666)","(20.0, 210.0, 115.5)","(3.0, 5.2, 4.55)","(12.0, 140.0, 118.58333333333334)","(19.0, 190.0, 155.6)","(18.0, 24.0, 22.0)","(7.0, 12.0, 10.96)"
