,Sirius Thinking,Garside To Excel,Blinks Princess,Leonidas,Mighty Kristy,Crab,Sublime Dallas,Tanyas Babe
07-12-2022 13:29:20.667230,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:22.007599,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:23.232632,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:24.571303,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:25.916312,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:27.209254,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:28.573749,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:29.783736,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:31.186439,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:32.414224,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:33.626176,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:34.834558,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.8223809523809524)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 42.22222222222222)"
07-12-2022 13:29:36.312055,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 2.0933333333333333)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:37.575626,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.64, 2.0933333333333333)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:38.814561,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.64, 2.0933333333333333)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:39.968354,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.64, 2.1276923076923078)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:41.186956,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.62, 2.1276923076923078)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:42.517499,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.62, 2.1276923076923078)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:44.104497,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 420.0, 115.71428571428572)","(1.6, 2.62, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:45.363255,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:46.594123,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:48.094297,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:49.530182,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:50.888285,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:52.328833,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:53.589202,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:55.010265,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:56.208209,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:57.510810,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:58.705126,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:00.081986,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:01.484836,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:02.776794,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:04.077098,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:05.517113,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3771428571428572)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:06.801835,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.6, 2.3485714285714288)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:08.065965,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.56, 2.3485714285714288)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:09.344399,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.56, 2.3485714285714288)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:10.634476,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.56, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:11.778741,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:12.974392,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:14.463582,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:15.902631,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:17.333535,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:18.649508,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:19.947023,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:21.292938,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 114.28571428571428)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:22.498467,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 410.0, 173.33333333333331)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:24.073835,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:25.490934,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:26.826476,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:28.187123,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:29.508426,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:30.766703,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:32.066748,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:33.296885,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:34.420306,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:35.562681,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 111.42857142857143)","(1.6, 2.52, 2.32)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:30:36.673913,"(8.0, 22.0, 14.88888888888889)","(2.2, 2.74, 2.437777777777778)","(61.0, 390.0, 146.25)","(1.6, 2.52, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:37.796344,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:38.895396,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:40.026717,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:41.148646,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:42.417462,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:43.792257,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:44.967337,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:46.174244,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:47.326358,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:48.465079,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:49.563295,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:50.689838,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:51.783159,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
07-12-2022 13:30:53.024917,"(8.0, 22.0, 14.5)","(2.2, 2.74, 2.5945454545454547)","(61.0, 390.0, 146.25)","(1.6, 1.92, 1.833157894736842)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 28.333333333333332)","(19.0, 70.0, 30.833333333333332)"
