,Torque To The Max,The Crom,Risky Buziness,Furiosa,Perfect Feeling,Fly Cheval,La Pistola,Eagles Response,Mister Woodport,Bee Gees Best
10-01-2023 14:30:49.575225,"(10.0, 12.5, 11.525)","(21.0, 36.0, 32.0)","(10.0, 11.5, 11.357142857142858)","(11.0, 14.0, 13.59090909090909)","(19.0, 32.0, 28.666666666666668)","(13.0, 20.0, 19.4)","(51.0, 130.0, 113.33333333333334)","(11.0, 17.5, 15.666666666666666)","(3.7, 4.4, 4.234188034188034)","(2.35, 3.1, 3.05)"
10-01-2023 14:30:50.992687,"(10.0, 12.5, 11.525)","(21.0, 36.0, 31.76923076923077)","(10.0, 11.5, 11.045454545454545)","(11.0, 14.0, 13.5)","(19.0, 32.0, 30.0)","(13.0, 20.0, 19.4)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.5, 15.666666666666666)","(3.7, 4.4, 4.234188034188034)","(2.35, 3.1, 3.05)"
10-01-2023 14:30:52.475640,"(10.0, 12.5, 11.525)","(21.0, 38.0, 33.0)","(10.0, 11.5, 10.85)","(11.0, 14.0, 13.357142857142858)","(19.0, 34.0, 29.2)","(13.0, 20.0, 20.625)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.5, 15.88888888888889)","(3.7, 4.4, 4.234188034188034)","(2.35, 3.1, 3.05)"
10-01-2023 14:30:53.986470,"(10.0, 12.5, 11.375)","(21.0, 36.0, 31.76923076923077)","(10.0, 11.5, 10.911764705882353)","(11.0, 14.0, 13.5)","(19.0, 34.0, 29.2)","(13.0, 21.0, 20.625)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 15.88888888888889)","(3.7, 4.4, 4.234188034188034)","(2.35, 3.1, 2.9602105263157896)"
10-01-2023 14:30:55.586744,"(10.0, 12.5, 11.352941176470589)","(21.0, 38.0, 31.76923076923077)","(10.0, 11.5, 10.911764705882353)","(11.0, 14.0, 13.833333333333334)","(19.0, 34.0, 29.2)","(13.0, 21.0, 19.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 15.88888888888889)","(3.7, 4.4, 4.240983606557378)","(2.35, 3.0, 2.9602105263157896)"
10-01-2023 14:30:56.837375,"(10.0, 12.5, 11.352941176470589)","(21.0, 38.0, 31.76923076923077)","(10.0, 11.5, 10.911764705882353)","(11.0, 14.5, 13.333333333333334)","(19.0, 34.0, 29.5)","(13.0, 21.0, 19.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 15.88888888888889)","(3.7, 4.4, 4.240983606557378)","(2.35, 3.0, 2.9273076923076924)"
10-01-2023 14:30:58.010707,"(10.0, 12.5, 11.352941176470589)","(21.0, 38.0, 31.76923076923077)","(10.0, 11.5, 10.911764705882353)","(11.0, 14.5, 13.333333333333334)","(19.0, 34.0, 29.5)","(13.0, 21.0, 19.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 15.88888888888889)","(3.7, 4.4, 4.240983606557378)","(2.35, 3.0, 2.9273076923076924)"
10-01-2023 14:30:59.321355,"(10.0, 12.5, 11.5)","(21.0, 38.0, 31.76923076923077)","(10.0, 11.5, 10.85)","(11.0, 14.5, 13.333333333333334)","(19.0, 34.0, 32.15384615384615)","(13.0, 21.0, 19.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 15.88888888888889)","(3.7, 4.4, 4.240983606557378)","(2.35, 3.0, 2.9273076923076924)"
10-01-2023 14:31:00.571128,"(10.0, 12.5, 11.5)","(21.0, 38.0, 31.76923076923077)","(10.0, 11.5, 10.958333333333334)","(11.0, 14.5, 13.333333333333334)","(19.0, 34.0, 31.8)","(13.0, 21.0, 20.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 16.166666666666668)","(3.7, 4.4, 4.269444444444445)","(2.35, 3.0, 2.9273076923076924)"
10-01-2023 14:31:01.802410,"(10.0, 12.5, 11.5)","(21.0, 36.0, 33.666666666666664)","(10.0, 11.5, 10.75)","(11.0, 14.5, 13.333333333333334)","(19.0, 36.0, 32.09090909090909)","(13.0, 21.0, 20.75)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 16.342105263157894)","(3.7, 4.4, 4.312962962962962)","(2.35, 3.0, 2.918461538461538)"
10-01-2023 14:31:02.968054,"(10.0, 12.5, 11.5)","(21.0, 36.0, 34.285714285714285)","(10.0, 11.0, 10.5)","(11.0, 14.5, 13.566666666666666)","(19.0, 34.0, 29.2)","(13.0, 21.0, 20.77777777777778)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.5, 16.342105263157894)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9436363636363634)"
10-01-2023 14:31:04.330696,"(10.0, 12.5, 11.868421052631579)","(21.0, 36.0, 34.8)","(10.0, 10.5, 10.837837837837839)","(11.0, 14.5, 13.545454545454545)","(19.0, 34.0, 31.333333333333332)","(13.0, 21.0, 20.77777777777778)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.5, 16.8)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9436363636363634)"
10-01-2023 14:31:05.703455,"(10.0, 12.5, 11.868421052631579)","(21.0, 36.0, 33.6)","(10.0, 11.0, 10.837837837837839)","(11.0, 14.5, 13.882352941176471)","(19.0, 34.0, 31.333333333333332)","(13.0, 21.0, 20.77777777777778)","(51.0, 120.0, 113.33333333333334)","(11.0, 17.0, 16.8)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9436363636363634)"
10-01-2023 14:31:07.062317,"(10.0, 12.5, 12.038461538461538)","(21.0, 36.0, 33.6)","(10.0, 11.0, 10.775)","(11.0, 14.5, 13.692307692307692)","(20.0, 36.0, 31.333333333333332)","(13.0, 21.0, 20.77777777777778)","(51.0, 120.0, 139.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9436363636363634)"
10-01-2023 14:31:08.492634,"(10.0, 12.5, 12.038461538461538)","(21.0, 36.0, 33.6)","(10.0, 11.0, 10.563636363636364)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 34.25)","(13.0, 21.0, 24.142857142857142)","(51.0, 160.0, 141.42857142857144)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9436363636363634)"
10-01-2023 14:31:09.783073,"(10.0, 12.5, 12.038461538461538)","(21.0, 36.0, 33.6)","(10.0, 11.0, 10.386363636363637)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 33.75)","(13.0, 26.0, 21.53846153846154)","(51.0, 160.0, 141.42857142857144)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.940851063829787)"
10-01-2023 14:31:11.084077,"(10.0, 12.5, 12.038461538461538)","(21.0, 36.0, 33.6)","(9.0, 11.0, 10.0625)","(11.0, 14.5, 13.676470588235293)","(20.0, 36.0, 34.36363636363636)","(14.0, 25.0, 21.666666666666668)","(51.0, 160.0, 141.42857142857144)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9254545454545453)"
10-01-2023 14:31:12.307282,"(10.0, 12.5, 11.870967741935484)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.0625)","(11.0, 14.5, 13.676470588235293)","(20.0, 36.0, 34.36363636363636)","(14.0, 25.0, 21.666666666666668)","(51.0, 160.0, 141.42857142857144)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9254545454545453)"
10-01-2023 14:31:13.557890,"(10.0, 12.5, 11.870967741935484)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.047058823529412)","(11.0, 14.5, 13.676470588235293)","(20.0, 36.0, 34.36363636363636)","(14.0, 25.0, 21.666666666666668)","(51.0, 160.0, 141.42857142857144)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.9254545454545453)"
10-01-2023 14:31:14.817657,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.328888888888889)","(11.0, 14.5, 13.676470588235293)","(20.0, 36.0, 34.285714285714285)","(14.0, 25.0, 22.857142857142858)","(51.0, 160.0, 143.75)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.909411764705882)"
10-01-2023 14:31:16.028229,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.28)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 34.285714285714285)","(14.0, 25.0, 22.6)","(51.0, 160.0, 143.75)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.8909677419354836)"
10-01-2023 14:31:17.349543,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.28)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 35.55555555555556)","(14.0, 25.0, 23.0)","(51.0, 160.0, 120.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.8909677419354836)"
10-01-2023 14:31:18.577937,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.6)","(9.0, 10.5, 10.28)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 35.333333333333336)","(14.0, 24.0, 22.142857142857142)","(51.0, 160.0, 120.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.98, 2.913333333333333)"
10-01-2023 14:31:19.900870,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 34.6)","(9.0, 9.8, 9.765)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 35.0)","(14.0, 25.0, 22.142857142857142)","(51.0, 160.0, 120.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:21.250030,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.765)","(11.0, 14.5, 13.545454545454545)","(20.0, 36.0, 35.0)","(14.0, 25.0, 23.333333333333332)","(51.0, 160.0, 107.5)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:22.408973,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.765)","(11.0, 14.5, 13.545454545454545)","(21.0, 36.0, 35.0)","(14.0, 25.0, 22.5)","(51.0, 160.0, 107.5)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:23.678395,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 13.545454545454545)","(21.0, 36.0, 35.0)","(14.0, 25.0, 22.5)","(51.0, 160.0, 116.66666666666667)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:24.920777,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 13.545454545454545)","(21.0, 36.0, 35.0)","(14.0, 25.0, 22.5)","(51.0, 150.0, 116.66666666666667)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:26.100621,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 13.916666666666666)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.333333333333332)","(51.0, 140.0, 113.33333333333333)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:27.289366,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 13.98076923076923)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.333333333333332)","(51.0, 140.0, 113.33333333333333)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:28.473421,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.0)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 13.98076923076923)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.333333333333332)","(51.0, 140.0, 113.33333333333333)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:29.689461,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.666666666666664)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 14.159090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 24.18181818181818)","(51.0, 140.0, 113.33333333333333)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.904444444444444)"
10-01-2023 14:31:30.854736,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.666666666666664)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 14.159090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.714285714285715)","(51.0, 140.0, 123.33333333333333)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.9247058823529413)"
10-01-2023 14:31:32.068991,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.666666666666664)","(9.0, 9.8, 9.706666666666667)","(11.0, 14.5, 14.159090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.714285714285715)","(51.0, 170.0, 135.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.316071428571428)","(2.35, 2.96, 2.9247058823529413)"
10-01-2023 14:31:33.433299,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.666666666666664)","(9.0, 9.8, 9.683333333333334)","(11.0, 14.5, 14.159090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.714285714285715)","(51.0, 170.0, 135.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.9247058823529413)"
10-01-2023 14:31:34.845262,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 33.666666666666664)","(9.0, 9.8, 9.683333333333334)","(11.0, 14.5, 14.159090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 24.294117647058822)","(51.0, 170.0, 135.0)","(11.0, 17.0, 16.833333333333332)","(3.7, 4.4, 4.312962962962962)","(2.35, 2.96, 2.9247058823529413)"
10-01-2023 14:31:36.079718,"(10.0, 12.5, 11.6875)","(21.0, 36.0, 31.8)","(9.0, 9.8, 9.822222222222223)","(11.0, 14.5, 14.909090909090908)","(21.0, 36.0, 35.666666666666664)","(14.0, 25.0, 23.5)","(51.0, 170.0, 155.0)","(11.0, 17.0, 16.833333333333332)","(3.8, 4.4, 4.192391304347826)","(2.35, 2.96, 2.948)"
10-01-2023 14:31:37.536934,"(10.0, 12.5, 11.735294117647058)","(21.0, 36.0, 31.8)","(9.0, 10.0, 9.84)","(11.0, 16.5, 14.666666666666666)","(21.0, 36.0, 35.77777777777778)","(14.0, 25.0, 23.5)","(51.0, 170.0, 135.0)","(11.0, 17.0, 16.5)","(3.8, 4.2, 4.192631578947369)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:38.828095,"(10.0, 12.5, 11.735294117647058)","(21.0, 36.0, 31.8)","(8.0, 10.0, 9.84)","(11.0, 16.5, 14.666666666666666)","(21.0, 36.0, 35.8)","(16.0, 25.0, 23.333333333333332)","(61.0, 170.0, 135.0)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.19247311827957)","(2.4, 2.96, 2.9466666666666668)"
10-01-2023 14:31:40.075787,"(10.0, 12.5, 11.833333333333334)","(21.0, 36.0, 31.8)","(8.0, 10.0, 9.7)","(11.0, 16.5, 14.666666666666666)","(21.0, 36.0, 35.8)","(16.0, 24.0, 24.0)","(61.0, 170.0, 135.0)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.19247311827957)","(2.4, 2.96, 2.9466666666666668)"
10-01-2023 14:31:41.393610,"(10.0, 12.5, 11.833333333333334)","(21.0, 36.0, 31.8)","(8.0, 10.0, 9.7)","(11.0, 16.5, 14.666666666666666)","(21.0, 36.0, 35.8)","(15.0, 25.0, 24.0)","(61.0, 170.0, 135.0)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.198850574712643)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:42.798010,"(10.0, 12.5, 11.833333333333334)","(21.0, 36.0, 31.8)","(8.0, 10.0, 9.771428571428572)","(11.0, 16.5, 14.735294117647058)","(21.0, 36.0, 35.8)","(15.0, 25.0, 24.0)","(61.0, 170.0, 120.0)","(12.0, 17.0, 16.5)","(3.8, 4.3, 4.196470588235294)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:44.117920,"(10.0, 12.0, 11.875)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.771428571428572)","(11.0, 16.5, 14.735294117647058)","(21.0, 36.0, 35.8)","(15.0, 25.0, 24.0)","(61.0, 160.0, 111.42857142857143)","(12.0, 17.0, 16.5)","(3.8, 4.3, 4.201123595505618)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:45.495370,"(10.0, 12.0, 11.9375)","(21.0, 36.0, 30.866666666666667)","(8.0, 9.8, 9.78888888888889)","(11.0, 16.5, 14.735294117647058)","(21.0, 36.0, 35.8)","(15.0, 25.0, 24.0)","(61.0, 180.0, 123.33333333333333)","(12.0, 17.0, 16.5)","(3.8, 4.3, 4.201123595505618)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:46.805367,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 30.866666666666667)","(8.0, 9.8, 9.790000000000001)","(11.0, 16.5, 15.428571428571429)","(21.0, 36.0, 35.875)","(15.0, 25.0, 24.0)","(61.0, 170.0, 123.33333333333333)","(12.0, 17.0, 16.5)","(3.8, 4.3, 4.2032967032967035)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:48.017871,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 30.866666666666667)","(8.0, 9.8, 9.790000000000001)","(11.0, 16.5, 15.0)","(21.0, 36.0, 35.84615384615385)","(15.0, 25.0, 24.0)","(61.0, 170.0, 123.33333333333333)","(12.0, 17.0, 16.5)","(3.8, 4.3, 4.091596638655462)","(2.35, 2.96, 2.9466666666666668)"
10-01-2023 14:31:49.259436,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 30.866666666666667)","(8.0, 9.8, 9.790000000000001)","(11.0, 16.5, 15.055555555555555)","(21.0, 36.0, 35.875)","(15.0, 25.0, 24.0)","(61.0, 170.0, 140.0)","(12.0, 17.0, 16.5)","(3.8, 4.1, 4.071337579617834)","(2.35, 2.96, 2.954285714285714)"
10-01-2023 14:31:50.460877,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 30.866666666666667)","(8.0, 9.8, 9.790697674418606)","(11.0, 16.5, 15.369565217391305)","(21.0, 36.0, 35.875)","(15.0, 25.0, 24.0)","(61.0, 180.0, 140.0)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.05774647887324)","(2.35, 2.96, 2.948235294117647)"
10-01-2023 14:31:51.740873,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.790697674418606)","(11.0, 16.5, 15.369565217391305)","(21.0, 36.0, 35.84615384615385)","(15.0, 25.0, 24.0)","(61.0, 180.0, 171.42857142857144)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.061428571428571)","(2.35, 2.96, 2.948235294117647)"
10-01-2023 14:31:52.954595,"(10.0, 12.0, 11.966666666666667)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.790697674418606)","(11.0, 16.5, 14.8)","(21.0, 36.0, 37.88235294117647)","(15.0, 25.0, 24.0)","(61.0, 200.0, 191.8181818181818)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.0728813559322035)","(2.35, 2.96, 2.948235294117647)"
10-01-2023 14:31:54.228003,"(10.0, 12.0, 11.95)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.773333333333333)","(11.0, 15.0, 13.705882352941176)","(21.0, 40.0, 37.88235294117647)","(15.0, 25.0, 24.0)","(61.0, 210.0, 221.42857142857144)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.097727272727273)","(2.35, 2.96, 2.948235294117647)"
10-01-2023 14:31:55.538704,"(10.0, 12.0, 11.95)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.766666666666667)","(11.0, 16.0, 15.068965517241379)","(21.0, 40.0, 38.0)","(15.0, 25.0, 24.0)","(61.0, 230.0, 221.42857142857144)","(12.0, 17.0, 16.5)","(3.8, 4.2, 4.10952380952381)","(2.35, 2.96, 2.954285714285714)"
10-01-2023 14:31:56.851071,"(10.0, 12.0, 11.96875)","(21.0, 36.0, 31.8)","(8.0, 9.8, 9.388785046728973)","(11.0, 16.0, 14.75)","(21.0, 40.0, 39.0)","(15.0, 25.0, 25.18181818181818)","(61.0, 230.0, 221.42857142857144)","(12.0, 17.0, 16.625)","(3.8, 4.2, 4.073333333333333)","(2.35, 2.96, 2.923157894736842)"
