,Stoker Ace,Mister Hart,Onlysbest,Quick Step Nz,Magicol Ideal Nz,Arts Peregrine,Gabbys Sportstar,October Racketeer,Watchful Lady,Mighty George Nz
06-01-2023 15:33:17.691702,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:18.997782,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:20.341139,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:21.846813,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:23.231032,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:24.616773,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:25.881948,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:27.168458,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:28.476553,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:29.723694,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:30.924682,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:32.142196,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:33.415561,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:34.750660,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:35.976144,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:37.254315,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:38.524760,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:39.843323,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:41.130169,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:42.470399,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:43.751094,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:45.336223,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:46.988355,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:48.907394,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:50.871533,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:52.480433,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:54.219173,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:55.880562,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:57.413950,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:58.831463,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:00.355994,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:01.625620,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:02.848120,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:04.183711,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:05.561172,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:07.096777,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:08.563036,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:10.141835,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:11.661200,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:13.314993,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:14.726047,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:16.293390,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:17.584476,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:18.915249,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:20.339335,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:21.490932,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:22.961945,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:24.513115,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:26.089454,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:27.887665,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:29.688496,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:31.199236,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:32.523875,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:33.909912,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:35.181180,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:36.524879,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:37.940310,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:39.281984,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:40.612171,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:42.219473,"(2.6, 3.25, 2.774)","(31.0, 80.0, 70.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:43.584187,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:44.825760,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:45.977678,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:47.173625,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:34:48.447996,"(2.6, 3.25, 2.774)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
