,Fast Liar,Kingsbrae Bear,Clover Athena,Integrity Angel,Liar For Hire,Backcreek Bingo,Fernando Diva
12-01-2023 13:17:08.680726,"(6.0, 9.6, 8.9)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 49.0)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.8, 2.6975)"
12-01-2023 13:17:10.117555,"(6.0, 9.6, 8.9)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.8, 2.9433333333333334)"
12-01-2023 13:17:11.358387,"(6.0, 9.6, 8.9)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.575)","(5.0, 8.2, 6.4)","(2.4, 3.75, 2.9433333333333334)"
12-01-2023 13:17:12.628591,"(6.0, 9.6, 8.9)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.575)","(5.0, 8.2, 6.4)","(2.4, 3.75, 2.9433333333333334)"
12-01-2023 13:17:13.792402,"(6.0, 9.6, 8.9)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.2, 6.6)","(2.4, 3.75, 2.69125)"
12-01-2023 13:17:14.938745,"(6.0, 9.6, 8.55)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 7.8, 6.6)","(2.4, 3.75, 2.69125)"
12-01-2023 13:17:16.015215,"(6.0, 9.6, 8.55)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 7.8, 6.6)","(2.4, 3.75, 2.69125)"
12-01-2023 13:17:17.098263,"(6.0, 8.0, 7.911111111111111)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 7.8, 6.5600000000000005)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:18.263202,"(6.0, 9.6, 8.55)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.5600000000000005)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:19.375988,"(6.0, 9.6, 8.55)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:20.327930,"(6.0, 9.6, 8.55)","(9.0, 16.5, 12.954545454545455)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:21.468919,"(6.0, 9.4, 7.96)","(9.0, 16.5, 13.961538461538462)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:22.624199,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 13.961538461538462)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:23.749157,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 13.961538461538462)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:24.929716,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 13.5)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:26.036761,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 13.5)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:27.082943,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 13.5)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:28.349178,"(6.0, 9.4, 7.8999999999999995)","(9.0, 17.0, 16.25)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:29.542345,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 14.722222222222221)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:30.632707,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 14.722222222222221)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.054166666666667)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:31.747966,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 14.722222222222221)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.2, 4.140909090909091)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:32.788322,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 14.722222222222221)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 5.0, 4.25)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:33.928429,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 12.375)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:35.102881,"(6.0, 9.4, 8.581818181818182)","(9.0, 16.5, 10.928571428571429)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 8.0, 6.328571428571429)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:36.243393,"(6.0, 9.4, 8.7)","(9.0, 16.5, 10.928571428571429)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 8.0, 6.907142857142857)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:17:37.358100,"(6.0, 9.4, 8.7)","(9.0, 16.5, 10.928571428571429)","(21.0, 95.0, 55.333333333333336)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.8, 7.0)","(2.4, 3.75, 2.83)"
12-01-2023 13:17:38.491836,"(6.0, 9.4, 8.7)","(9.0, 16.5, 11.625)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2)","(2.4, 3.7, 2.83)"
12-01-2023 13:17:39.576503,"(6.0, 9.4, 8.7)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2)","(2.4, 3.7, 2.83)"
12-01-2023 13:17:40.590067,"(6.0, 9.4, 8.7)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 6.766666666666667)","(2.4, 3.7, 3.354285714285714)"
12-01-2023 13:17:41.763757,"(6.0, 9.4, 8.7)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 6.9)","(2.4, 3.5, 3.354285714285714)"
12-01-2023 13:17:42.771168,"(6.0, 9.2, 8.338461538461537)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.166666666666667)","(5.0, 7.4, 6.9)","(2.4, 3.5, 2.8617391304347826)"
12-01-2023 13:17:43.767563,"(6.0, 9.2, 7.45)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 6.9)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:44.860383,"(6.0, 9.2, 7.4222222222222225)","(9.0, 17.0, 16.25)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 6.9)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:46.167875,"(6.0, 9.2, 7.4222222222222225)","(9.0, 17.0, 16.166666666666668)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.21)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:47.428850,"(6.0, 9.2, 7.4222222222222225)","(9.0, 17.0, 16.166666666666668)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.23)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:48.541430,"(6.0, 9.2, 7.4222222222222225)","(9.0, 17.0, 13.333333333333334)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.23)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:49.739477,"(6.0, 9.2, 8.033333333333333)","(9.0, 16.0, 12.571428571428571)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.23)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:50.956697,"(6.0, 9.0, 7.95)","(9.0, 16.0, 12.571428571428571)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.23)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:52.173910,"(6.0, 9.0, 7.95)","(9.0, 16.0, 12.571428571428571)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.194444444444445)","(5.0, 7.4, 7.23)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:53.374325,"(6.0, 9.0, 7.95)","(9.0, 16.0, 14.363636363636363)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.3125)","(5.0, 7.4, 7.26923076923077)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:54.512755,"(6.0, 9.0, 7.95)","(9.0, 16.0, 14.363636363636363)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.333333333333333)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:55.495118,"(6.0, 9.0, 7.95)","(9.0, 16.0, 14.875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.333333333333333)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:56.532246,"(6.0, 9.0, 7.833333333333333)","(9.0, 16.0, 14.875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.333333333333333)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:57.529301,"(6.0, 9.0, 8.0)","(9.0, 16.5, 14.944444444444445)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.5, 4.333333333333333)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:58.582725,"(6.0, 9.0, 8.0)","(9.0, 16.5, 14.944444444444445)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.383333333333333)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:17:59.646637,"(6.0, 9.0, 8.0)","(9.0, 16.5, 14.944444444444445)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.8617391304347826)"
12-01-2023 13:18:00.734111,"(6.0, 9.0, 8.0)","(9.0, 16.0, 13.642857142857142)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:01.809001,"(6.0, 9.0, 8.0)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:02.835872,"(6.0, 9.0, 8.0)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 36.375)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.541666666666666)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:03.960331,"(6.0, 9.0, 8.066666666666666)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:05.106512,"(6.0, 9.0, 8.066666666666666)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:06.161401,"(6.0, 9.0, 8.066666666666666)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:07.239390,"(6.0, 9.0, 8.066666666666666)","(9.0, 16.0, 14.6875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 14.625)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.2785714285714285)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:08.325262,"(6.0, 9.0, 8.066666666666666)","(9.0, 15.5, 13.75)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.6, 4.47)","(5.0, 7.4, 6.6)","(2.4, 2.94, 2.865)"
12-01-2023 13:18:09.470552,"(6.0, 9.0, 8.066666666666666)","(9.0, 16.5, 13.833333333333332)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.6, 4.47)","(5.0, 7.4, 7.25)","(2.4, 2.94, 2.7466666666666666)"
12-01-2023 13:18:10.548326,"(6.0, 9.0, 8.3)","(9.0, 16.5, 13.833333333333332)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.6, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:11.521131,"(6.0, 9.0, 8.3)","(9.0, 16.5, 13.833333333333332)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:12.558806,"(6.0, 9.0, 8.3)","(9.0, 16.5, 13.833333333333332)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:13.514614,"(6.0, 9.2, 8.966666666666667)","(9.0, 16.5, 13.833333333333332)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:14.564121,"(6.0, 9.2, 8.966666666666667)","(9.0, 16.5, 14.653846153846153)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:15.715744,"(6.0, 9.2, 8.966666666666667)","(9.0, 15.5, 14.75)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.17)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:16.925502,"(6.0, 9.2, 8.966666666666667)","(9.0, 15.5, 14.75)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.288235294117647)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7466666666666666)"
12-01-2023 13:18:17.930189,"(6.0, 9.2, 8.899999999999999)","(9.0, 15.5, 14.75)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.288235294117647)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7224)"
12-01-2023 13:18:18.986891,"(6.0, 9.2, 8.899999999999999)","(9.0, 15.5, 14.75)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7224)"
12-01-2023 13:18:20.126999,"(6.0, 9.2, 8.899999999999999)","(9.0, 15.5, 12.875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.8657142857142857)"
12-01-2023 13:18:21.234970,"(6.0, 9.2, 8.899999999999999)","(9.0, 15.5, 12.875)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.9, 2.7224)"
12-01-2023 13:18:22.336657,"(6.0, 9.2, 8.899999999999999)","(9.0, 15.5, 14.0)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.7224)"
12-01-2023 13:18:23.452894,"(6.0, 9.2, 8.899999999999999)","(9.0, 16.5, 12.970588235294118)","(21.0, 95.0, 52.36363636363636)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.654)"
12-01-2023 13:18:24.627003,"(6.0, 9.2, 8.933333333333334)","(9.0, 16.5, 12.69047619047619)","(21.0, 95.0, 54.8)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.6350000000000002)"
12-01-2023 13:18:25.714449,"(6.0, 9.2, 8.933333333333334)","(9.0, 16.5, 12.69047619047619)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.6350000000000002)"
12-01-2023 13:18:26.665992,"(6.0, 9.2, 8.215384615384615)","(9.0, 16.0, 13.545454545454545)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.67)"
12-01-2023 13:18:27.718966,"(6.0, 9.2, 8.215384615384615)","(9.0, 15.5, 14.0)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.67)"
12-01-2023 13:18:28.859329,"(6.0, 9.2, 8.215384615384615)","(9.0, 15.5, 14.1875)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.6342857142857143)"
12-01-2023 13:18:29.866727,"(6.0, 9.2, 8.215384615384615)","(9.0, 15.5, 13.944444444444445)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.64)"
12-01-2023 13:18:30.921484,"(6.0, 9.2, 7.8999999999999995)","(9.0, 15.5, 13.944444444444445)","(21.0, 95.0, 81.6)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.64)"
12-01-2023 13:18:32.010002,"(6.0, 9.0, 8.2)","(9.0, 15.5, 14.1875)","(21.0, 95.0, 78.75)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.2)","(2.4, 2.92, 2.64)"
12-01-2023 13:18:32.972732,"(6.0, 9.0, 8.2)","(9.0, 15.5, 14.1875)","(21.0, 95.0, 78.75)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.2)","(2.4, 2.92, 2.64)"
12-01-2023 13:18:34.036195,"(6.0, 9.0, 8.2)","(9.0, 15.5, 14.1875)","(21.0, 95.0, 78.75)","(10.0, 18.0, 15.833333333333332)","(4.0, 4.5, 4.310526315789474)","(5.0, 7.4, 7.050000000000001)","(2.4, 2.92, 2.64)"
