,Not Today,Turbo Worm,Wonder Woolly,Japanese Black,Stay Humble,Kitty Keen
12-01-2023 15:27:31.913631,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:32.989290,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:34.010995,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:35.093583,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:36.132564,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:37.070825,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 4.074226804123711)"
12-01-2023 15:27:38.173432,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.740909090909091)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 4.1, 3.77)"
12-01-2023 15:27:39.447802,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.7349999999999999)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 4.0, 3.6866666666666665)"
12-01-2023 15:27:40.634828,"(10.0, 27.0, 17.3125)","(1.7, 1.96, 1.7349999999999999)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.9, 3.6033333333333335)"
12-01-2023 15:27:41.643547,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.8, 3.6033333333333335)"
12-01-2023 15:27:42.972206,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.8, 3.6033333333333335)"
12-01-2023 15:27:44.118223,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.8, 3.5200000000000005)"
12-01-2023 15:27:45.436649,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:46.417744,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:47.450639,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:48.588741,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:49.610934,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:50.692254,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:51.826656,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:52.821286,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:53.822208,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:54.920541,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.5200000000000005)"
12-01-2023 15:27:55.993485,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.7, 3.26375)"
12-01-2023 15:27:56.969092,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:27:58.051464,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:27:59.186649,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:00.258330,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:01.216369,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:02.236819,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:03.344020,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:04.346835,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:05.276279,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:06.369468,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:07.474309,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.26375)"
12-01-2023 15:28:08.430422,"(10.0, 27.0, 17.3125)","(1.7, 1.95, 1.7333333333333334)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.369090909090909)"
12-01-2023 15:28:09.428654,"(10.0, 27.0, 17.3125)","(1.7, 1.94, 1.7354545454545454)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.65, 3.2733333333333334)"
12-01-2023 15:28:10.432560,"(10.0, 27.0, 17.3125)","(1.7, 1.94, 1.7354545454545454)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.6, 3.1708333333333334)"
12-01-2023 15:28:11.515836,"(10.0, 27.0, 17.3125)","(1.7, 1.93, 1.7118181818181817)","(18.0, 70.0, 38.4375)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 27.875)","(2.6, 3.55, 3.1708333333333334)"
12-01-2023 15:28:12.577352,"(10.0, 27.0, 17.3125)","(1.7, 1.93, 1.77)","(18.0, 70.0, 32.125)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 24.25)","(2.6, 3.55, 2.8000000000000003)"
12-01-2023 15:28:13.635404,"(10.0, 26.0, 15.125)","(1.7, 1.93, 1.77)","(18.0, 70.0, 32.125)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 31.5)","(2.6, 3.5, 3.0444444444444443)"
12-01-2023 15:28:14.738148,"(10.0, 26.0, 15.961538461538462)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 31.5)","(2.6, 3.5, 3.0444444444444443)"
12-01-2023 15:28:15.817902,"(10.0, 26.0, 17.84375)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 31.5)","(2.6, 3.5, 3.0444444444444443)"
12-01-2023 15:28:16.874580,"(10.0, 26.0, 17.84375)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 31.5)","(2.6, 3.5, 3.0444444444444443)"
12-01-2023 15:28:17.930800,"(10.0, 26.0, 17.84375)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 32.0, 29.8125)","(15.0, 46.0, 31.5)","(2.6, 3.5, 3.0444444444444443)"
12-01-2023 15:28:19.005977,"(10.0, 26.0, 17.84375)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 32.0, 31.22222222222222)","(15.0, 46.0, 31.5)","(2.6, 3.5, 2.8986666666666667)"
12-01-2023 15:28:19.971543,"(10.0, 26.0, 17.84375)","(1.7, 1.93, 1.77)","(18.0, 70.0, 35.03846153846154)","(13.0, 36.0, 31.22222222222222)","(15.0, 46.0, 31.5)","(2.6, 3.5, 2.988)"
12-01-2023 15:28:20.932909,"(10.0, 27.0, 18.38888888888889)","(1.7, 1.93, 1.8)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 2.755714285714286)"
12-01-2023 15:28:21.990573,"(10.0, 27.0, 18.38888888888889)","(1.7, 1.93, 1.8)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 2.755714285714286)"
12-01-2023 15:28:23.038992,"(10.0, 27.0, 18.38888888888889)","(1.7, 1.93, 1.8)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 2.964)"
12-01-2023 15:28:23.998325,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:24.941640,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:26.001878,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:27.068108,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:28.092828,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:29.076662,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:30.008609,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:31.019587,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:31.991032,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:32.923919,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 30.1)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:33.933162,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:34.885329,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:35.904129,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:37.033133,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:38.127832,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:39.216934,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:40.266771,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.7999999999999998)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 3.0761538461538462)"
12-01-2023 15:28:41.243392,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.45, 2.7666666666666666)"
12-01-2023 15:28:42.313276,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.4, 2.8)"
12-01-2023 15:28:43.387650,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.4, 2.8633333333333333)"
12-01-2023 15:28:44.439683,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.35, 2.8633333333333333)"
12-01-2023 15:28:45.342958,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.35, 2.8633333333333333)"
12-01-2023 15:28:46.353063,"(10.0, 28.0, 24.7)","(1.7, 1.93, 1.8277777777777777)","(18.0, 70.0, 35.03846153846154)","(13.0, 34.0, 22.3)","(15.0, 46.0, 31.5)","(2.6, 3.35, 2.8633333333333333)"
