,The Cunning Fox,Deficit,Akihiro,Military Gambler,Ashgrove,Kiplings Journey,Mr Dudwey,Head Of State,Bulloo,Mishani Spartan,Tyresa,Gracie Blue,Circling
07-01-2023 17:00:16.116094,"(3.9, 4.5, 4.4279761904761905)","(6.5, 8.8, 8.644961240310078)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.821428571428573)","(5.0, 5.8, 5.787)","(41.0, 44.0, 43.925925925925924)","(71.0, 160.0, 145.0)","(8.0, 9.4, 9.38974358974359)","(21.0, 30.0, 28.454545454545453)","(17.0, 26.0, 25.52)","(7.0, 9.0, 8.894285714285715)","(91.0, 170.0, 140.0)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:17.825733,"(3.9, 4.5, 4.437948717948718)","(6.5, 8.8, 8.647328244274808)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.787378640776699)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.39047619047619)","(21.0, 30.0, 28.857142857142858)","(17.0, 26.0, 25.285714285714285)","(7.0, 9.0, 8.897222222222222)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:19.321567,"(3.9, 4.5, 4.437948717948718)","(6.5, 8.8, 8.647328244274808)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.787378640776699)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.39047619047619)","(21.0, 30.0, 28.954545454545453)","(17.0, 26.0, 24.65)","(7.0, 9.0, 8.897222222222222)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:20.879711,"(3.9, 4.5, 4.437948717948718)","(6.5, 8.8, 8.647328244274808)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.779365079365079)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.39047619047619)","(21.0, 30.0, 28.954545454545453)","(17.0, 26.0, 24.65)","(7.0, 9.0, 8.897222222222222)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:22.429792,"(3.9, 4.5, 4.437948717948718)","(6.5, 8.8, 8.647328244274808)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.779365079365079)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.39047619047619)","(21.0, 30.0, 29.322580645161292)","(17.0, 26.0, 24.65)","(7.0, 9.0, 8.897222222222222)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:23.880308,"(3.9, 4.5, 4.439195979899497)","(6.5, 8.8, 8.648484848484848)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.7796875)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.38974358974359)","(21.0, 30.0, 29.384615384615383)","(17.0, 26.0, 24.833333333333332)","(7.0, 9.0, 8.915909090909091)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.666666666666668)"
07-01-2023 17:00:25.265781,"(3.9, 4.5, 4.439195979899497)","(6.5, 8.8, 8.648484848484848)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.892857142857142)","(5.0, 5.8, 5.7796875)","(41.0, 44.0, 43.833333333333336)","(71.0, 160.0, 140.5)","(8.0, 9.4, 9.394444444444444)","(21.0, 30.0, 29.384615384615383)","(17.0, 25.0, 24.833333333333332)","(7.0, 9.0, 8.915909090909091)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 30.8)"
07-01-2023 17:00:26.659831,"(3.9, 4.5, 4.470491803278689)","(6.5, 8.8, 8.648484848484848)","(8.5, 11.0, 10.586666666666666)","(20.0, 23.0, 22.9)","(5.0, 5.8, 5.781428571428571)","(41.0, 44.0, 43.84615384615385)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.4, 9.394594594594595)","(21.0, 30.0, 29.428571428571427)","(17.0, 25.0, 24.57142857142857)","(7.0, 9.0, 9.171929824561403)","(91.0, 170.0, 135.33333333333334)","(31.0, 34.0, 32.0)"
07-01-2023 17:00:28.087480,"(3.9, 4.5, 4.472519083969466)","(6.5, 8.8, 8.651851851851852)","(8.5, 11.0, 10.617283950617283)","(20.0, 23.0, 22.9)","(5.0, 5.8, 5.7)","(41.0, 44.0, 43.84615384615385)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.4, 9.39493670886076)","(21.0, 30.0, 29.19672131147541)","(17.0, 25.0, 24.5)","(7.0, 9.2, 9.066666666666666)","(91.0, 170.0, 137.5)","(31.0, 34.0, 30.363636363636363)"
07-01-2023 17:00:29.489490,"(3.9, 4.5, 4.483673469387755)","(6.5, 8.8, 8.653846153846153)","(8.5, 11.0, 10.60126582278481)","(20.0, 23.0, 22.964285714285715)","(5.0, 5.7, 5.602610966057441)","(41.0, 44.0, 45.42857142857143)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.4, 9.542857142857143)","(21.0, 30.0, 29.203389830508474)","(17.0, 25.0, 23.53846153846154)","(7.0, 9.2, 9.126086956521739)","(91.0, 170.0, 135.71428571428572)","(31.0, 34.0, 30.875)"
07-01-2023 17:00:30.858379,"(3.9, 4.5, 4.491139240506329)","(6.5, 8.8, 8.658823529411764)","(8.5, 11.0, 10.602564102564102)","(20.0, 23.0, 23.285714285714285)","(5.0, 5.7, 5.6027367268746575)","(41.0, 46.0, 45.42857142857143)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.6, 9.53103448275862)","(21.0, 30.0, 29.203389830508474)","(17.0, 26.0, 24.11764705882353)","(7.0, 9.4, 9.133333333333335)","(91.0, 170.0, 138.0)","(31.0, 34.0, 30.875)"
07-01-2023 17:00:32.289757,"(3.9, 4.5, 4.471052631578948)","(6.5, 8.8, 8.658823529411764)","(8.5, 11.0, 10.602564102564102)","(20.0, 25.0, 23.285714285714285)","(5.0, 5.7, 5.6027367268746575)","(41.0, 46.0, 45.42857142857143)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.6, 9.614814814814814)","(21.0, 30.0, 29.203389830508474)","(17.0, 26.0, 24.736842105263158)","(7.0, 9.4, 9.133333333333335)","(91.0, 170.0, 138.0)","(31.0, 34.0, 30.875)"
07-01-2023 17:00:33.711902,"(3.9, 4.5, 4.471052631578948)","(6.5, 8.8, 8.697435897435897)","(8.5, 11.0, 10.626666666666667)","(20.0, 25.0, 23.94736842105263)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.46666666666667)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.8, 9.608849557522124)","(21.0, 30.0, 29.276923076923076)","(17.0, 26.0, 23.333333333333332)","(7.0, 9.4, 9.027906976744186)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.058823529411764)"
07-01-2023 17:00:35.153612,"(3.9, 4.5, 4.469411764705883)","(6.5, 8.8, 8.697435897435897)","(8.5, 11.0, 10.626666666666667)","(20.0, 25.0, 23.78787878787879)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.46666666666667)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.8, 9.608849557522124)","(21.0, 30.0, 29.276923076923076)","(17.0, 26.0, 23.23076923076923)","(7.0, 9.4, 9.044444444444444)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.058823529411764)"
07-01-2023 17:00:36.730237,"(3.9, 4.5, 4.469411764705883)","(6.5, 8.8, 8.697435897435897)","(8.5, 11.0, 10.626666666666667)","(20.0, 25.0, 23.7027027027027)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.46666666666667)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.8, 9.604524886877828)","(21.0, 30.0, 29.276923076923076)","(17.0, 26.0, 23.428571428571427)","(7.0, 9.4, 9.044444444444444)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.058823529411764)"
07-01-2023 17:00:38.261872,"(3.9, 4.5, 4.469411764705883)","(6.5, 8.8, 8.68235294117647)","(8.5, 11.0, 10.626666666666667)","(20.0, 25.0, 23.78787878787879)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.46666666666667)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.8, 9.604524886877828)","(21.0, 30.0, 29.216666666666665)","(17.0, 26.0, 23.23076923076923)","(7.0, 9.4, 9.044444444444444)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.058823529411764)"
07-01-2023 17:00:39.798317,"(3.9, 4.5, 4.416417910447762)","(6.5, 8.8, 8.68235294117647)","(8.5, 11.0, 10.582608695652175)","(20.0, 25.0, 23.78787878787879)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.46666666666667)","(71.0, 160.0, 138.75)","(8.0, 9.8, 9.334883720930232)","(21.0, 30.0, 29.216666666666665)","(17.0, 26.0, 23.23076923076923)","(7.0, 9.4, 9.013953488372094)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.058823529411764)"
07-01-2023 17:00:41.283329,"(3.9, 4.5, 4.427777777777778)","(6.5, 8.8, 8.68235294117647)","(8.5, 11.0, 10.58974358974359)","(20.0, 25.0, 23.78787878787879)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.38461538461539)","(71.0, 140.0, 135.71428571428572)","(8.0, 9.4, 9.332258064516129)","(21.0, 30.0, 29.216666666666665)","(17.0, 26.0, 23.6)","(7.0, 9.2, 8.985714285714286)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.22222222222222)"
07-01-2023 17:00:42.801263,"(3.9, 4.5, 4.427777777777778)","(6.5, 8.8, 8.68235294117647)","(8.5, 11.0, 10.58974358974359)","(20.0, 25.0, 23.78787878787879)","(5.0, 5.7, 5.602883075280299)","(41.0, 46.0, 45.38461538461539)","(71.0, 160.0, 135.71428571428572)","(8.0, 9.4, 9.332258064516129)","(21.0, 30.0, 29.216666666666665)","(17.0, 26.0, 23.6)","(7.0, 9.0, 8.985714285714286)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.22222222222222)"
07-01-2023 17:00:44.326794,"(3.9, 4.5, 4.427777777777778)","(6.5, 8.8, 8.68235294117647)","(8.5, 11.0, 10.596638655462185)","(20.0, 25.0, 23.823529411764707)","(5.0, 5.7, 5.603090037293553)","(41.0, 46.0, 45.42857142857143)","(71.0, 160.0, 135.71428571428572)","(8.0, 9.4, 9.33)","(21.0, 30.0, 29.229508196721312)","(17.0, 26.0, 23.75)","(7.0, 9.0, 8.986440677966101)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.36842105263158)"
07-01-2023 17:00:45.999950,"(3.9, 4.5, 4.485185185185185)","(6.5, 8.8, 8.687323943661973)","(8.5, 11.0, 10.616)","(20.0, 25.0, 23.823529411764707)","(5.0, 5.7, 5.603090037293553)","(41.0, 46.0, 45.42857142857143)","(71.0, 160.0, 135.71428571428572)","(8.0, 9.4, 9.31764705882353)","(21.0, 30.0, 29.229508196721312)","(17.0, 26.0, 23.75)","(7.0, 9.0, 8.978947368421053)","(91.0, 170.0, 138.0)","(31.0, 34.0, 31.36842105263158)"
07-01-2023 17:00:47.989403,"(3.8, 4.5, 4.408823529411765)","(6.5, 8.8, 8.702777777777778)","(8.5, 11.0, 10.28076923076923)","(20.0, 25.0, 23.944444444444443)","(5.0, 5.7, 5.603611258629845)","(31.0, 46.0, 45.69230769230769)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.4, 9.451162790697675)","(21.0, 30.0, 29.229508196721312)","(17.0, 26.0, 24.2)","(7.0, 9.0, 8.808037825059102)","(91.0, 170.0, 138.0)","(31.0, 34.0, 32.529411764705884)"
07-01-2023 17:00:49.656626,"(3.9, 4.6, 4.412437810945274)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.290441176470589)","(20.0, 25.0, 24.0)","(5.0, 5.7, 5.604171066525871)","(31.0, 46.0, 45.75)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.6, 9.456)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 24.714285714285715)","(7.5, 9.0, 8.805741626794259)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:51.205093,"(3.9, 4.6, 4.412437810945274)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.290441176470589)","(20.0, 25.0, 24.0)","(5.0, 5.7, 5.604171066525871)","(31.0, 46.0, 45.75)","(71.0, 160.0, 141.42857142857142)","(8.0, 9.6, 9.559183673469388)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 25.11764705882353)","(7.5, 9.0, 8.805741626794259)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:52.698745,"(3.9, 4.6, 4.408823529411765)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.290441176470589)","(20.0, 25.0, 24.0)","(5.0, 5.7, 5.604171066525871)","(31.0, 46.0, 45.75)","(71.0, 160.0, 142.30769230769232)","(8.0, 9.6, 9.573333333333332)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 25.11764705882353)","(7.5, 9.0, 8.805741626794259)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:54.077647,"(3.9, 4.6, 4.408142493638677)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.290441176470589)","(20.0, 25.0, 24.0)","(5.0, 5.7, 5.60406976744186)","(31.0, 46.0, 45.75)","(71.0, 150.0, 142.30769230769232)","(8.0, 9.6, 9.52)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 25.11764705882353)","(7.5, 9.0, 8.8052757793765)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:55.535685,"(3.9, 4.6, 4.408044806517312)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.290441176470589)","(20.0, 25.0, 24.0)","(5.0, 5.7, 5.60406976744186)","(31.0, 46.0, 45.75)","(71.0, 150.0, 142.30769230769232)","(8.0, 9.6, 9.482758620689655)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 24.363636363636363)","(7.5, 9.0, 8.8052757793765)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:57.075755,"(3.9, 4.6, 4.408532249873033)","(7.0, 8.8, 8.711392405063291)","(8.5, 10.5, 10.278169014084508)","(20.0, 25.0, 23.944444444444443)","(5.0, 5.7, 5.60406976744186)","(31.0, 46.0, 45.75)","(71.0, 150.0, 142.30769230769232)","(8.0, 9.6, 9.482758620689655)","(21.0, 30.0, 29.32857142857143)","(17.0, 26.0, 24.77777777777778)","(7.5, 9.0, 8.8052757793765)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:58.556841,"(3.9, 4.6, 4.408532249873033)","(7.0, 8.8, 8.740170940170941)","(8.5, 10.5, 10.278169014084508)","(20.0, 25.0, 23.944444444444443)","(5.0, 5.7, 5.60406976744186)","(31.0, 46.0, 45.75)","(71.0, 150.0, 142.30769230769232)","(8.0, 9.6, 9.482758620689655)","(21.0, 30.0, 29.32857142857143)","(17.0, 25.0, 24.77777777777778)","(7.5, 9.0, 8.803389830508475)","(91.0, 170.0, 140.0)","(31.0, 34.0, 32.80952380952381)"
07-01-2023 17:00:59.924863,"(3.9, 4.6, 4.408532249873033)","(7.0, 8.8, 8.740170940170941)","(8.5, 10.5, 10.287162162162161)","(20.0, 25.0, 24.025641025641026)","(5.0, 5.7, 5.604574132492114)","(31.0, 46.0, 45.77777777777778)","(71.0, 150.0, 142.85714285714286)","(8.0, 9.6, 9.505555555555556)","(21.0, 30.0, 29.34722222222222)","(17.0, 25.0, 24.833333333333332)","(7.5, 9.0, 8.80475059382423)","(91.0, 170.0, 140.0)","(31.0, 34.0, 35.875)"
07-01-2023 17:01:01.346918,"(3.9, 4.6, 4.408210846426762)","(7.0, 8.8, 8.743548387096775)","(8.5, 10.5, 10.287162162162161)","(20.0, 25.0, 24.025641025641026)","(5.0, 5.7, 5.604574132492114)","(31.0, 46.0, 45.77777777777778)","(71.0, 150.0, 142.85714285714286)","(8.0, 9.6, 9.505555555555556)","(21.0, 30.0, 29.34722222222222)","(17.0, 25.0, 24.833333333333332)","(7.5, 9.0, 8.80475059382423)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.875)"
07-01-2023 17:01:02.947648,"(3.9, 4.6, 4.501816294758692)","(7.0, 8.8, 8.741176470588236)","(8.5, 10.5, 10.291390728476822)","(20.0, 25.0, 24.025641025641026)","(5.0, 5.7, 5.604574132492114)","(31.0, 46.0, 45.77777777777778)","(71.0, 150.0, 142.0)","(8.0, 9.6, 9.497435897435897)","(21.0, 30.0, 29.34722222222222)","(17.0, 25.0, 24.75)","(7.5, 9.0, 8.775384615384617)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.875)"
07-01-2023 17:01:04.488760,"(3.9, 4.6, 4.501673040152964)","(7.0, 8.8, 8.741176470588236)","(8.5, 10.5, 10.550420168067227)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.604574132492114)","(31.0, 46.0, 47.130434782608695)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.6, 9.631007751937984)","(21.0, 30.0, 29.223214285714285)","(17.0, 25.0, 24.75)","(7.5, 8.8, 8.742028985507247)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.85840707964602)"
07-01-2023 17:01:05.977638,"(3.9, 4.6, 4.501673040152964)","(7.0, 8.8, 8.741176470588236)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60406976744186)","(31.0, 48.0, 47.78947368421053)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.616949152542373)","(21.0, 30.0, 29.223214285714285)","(17.0, 25.0, 24.333333333333332)","(7.5, 8.8, 8.638383838383838)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.84761904761905)"
07-01-2023 17:01:07.350708,"(3.9, 4.6, 4.500819672131148)","(7.0, 8.8, 8.654723127035831)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60406976744186)","(31.0, 48.0, 47.78947368421053)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.616949152542373)","(21.0, 30.0, 29.223214285714285)","(17.0, 25.0, 24.333333333333332)","(7.5, 8.8, 8.638383838383838)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.84761904761905)"
07-01-2023 17:01:08.761278,"(3.9, 4.6, 4.500819672131148)","(7.0, 9.0, 8.713183279742765)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60406976744186)","(31.0, 48.0, 47.78947368421053)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 25.0, 24.333333333333332)","(7.5, 8.8, 8.638383838383838)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.84761904761905)"
07-01-2023 17:01:10.212580,"(3.9, 4.5, 4.436148648648649)","(7.0, 9.0, 8.72887537993921)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60367803837953)","(31.0, 48.0, 47.78947368421053)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 25.0, 23.666666666666668)","(7.5, 8.8, 8.641584158415842)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.84761904761905)"
07-01-2023 17:01:11.620070,"(3.9, 4.5, 4.436148648648649)","(7.0, 9.0, 8.72887537993921)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60367803837953)","(31.0, 48.0, 47.833333333333336)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 24.0, 23.428571428571427)","(7.5, 8.8, 8.641584158415842)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.86538461538461)"
07-01-2023 17:01:13.032834,"(3.9, 4.5, 4.436148648648649)","(7.0, 9.0, 8.72887537993921)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60367803837953)","(31.0, 48.0, 47.833333333333336)","(71.0, 150.0, 145.45454545454547)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 24.0, 23.428571428571427)","(7.5, 8.8, 8.67123287671233)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.87155963302752)"
07-01-2023 17:01:14.457677,"(3.9, 4.5, 4.436148648648649)","(7.0, 9.0, 8.72887537993921)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.727272727272727)","(5.0, 5.7, 5.60367803837953)","(31.0, 48.0, 47.833333333333336)","(71.0, 150.0, 156.92307692307693)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 24.0, 23.636363636363637)","(7.5, 8.8, 8.67123287671233)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.87155963302752)"
07-01-2023 17:01:15.827737,"(3.9, 4.5, 4.436148648648649)","(7.0, 9.0, 8.709236947791164)","(8.5, 11.0, 10.555045871559633)","(20.0, 25.0, 23.923076923076923)","(5.0, 5.7, 5.60367803837953)","(31.0, 48.0, 47.833333333333336)","(71.0, 160.0, 157.10526315789474)","(8.0, 9.8, 9.618181818181817)","(21.0, 30.0, 29.223214285714285)","(17.0, 24.0, 23.636363636363637)","(7.5, 8.8, 8.67123287671233)","(91.0, 170.0, 140.0)","(31.0, 36.0, 35.87155963302752)"
