,Aston Harrison,Exclusively Mine,Low Planes,Way Up North,Jupiter Town,Flying Bella,Birdbrook
09-01-2023 11:55:20.653606,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:21.627459,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:22.710343,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:23.758788,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:24.897172,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:25.952924,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 58.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:27.079580,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 58.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:28.104371,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 58.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:29.177841,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:30.196028,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:31.306895,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:32.399816,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:33.521398,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:34.681682,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:35.689968,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:36.700330,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:37.732947,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:38.685458,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:39.684314,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:40.708015,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:41.700628,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:42.622129,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:43.664834,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:44.605500,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:45.613297,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:46.658480,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:47.704510,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 46.875)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:48.764979,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 46.875)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:49.827119,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 46.875)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:50.854777,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:51.863954,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:52.804364,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:53.777161,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:54.742799,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:55.751086,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:56.779245,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:57.805655,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:58.886264,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:59.884216,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:00.838565,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 55.0, 35.75)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:01.799605,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:02.789488,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:03.761704,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:04.830248,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:05.857496,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:06.874765,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:07.915685,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:08.942075,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 54.583333333333336)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:09.940842,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:10.886455,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:11.820346,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:12.809194,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:13.837088,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:14.862619,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:15.913560,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:16.958557,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:17.980577,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:19.019211,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:19.973526,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:20.935093,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:21.873655,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:22.870576,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:23.860354,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:24.919245,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:25.990779,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:27.019001,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:28.007414,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:29.013619,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:29.935481,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:30.879128,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:31.828159,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:56:32.858565,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.0625)","(19.0, 50.0, 33.25)","(3.6, 5.8, 4.140322580645162)","(17.0, 70.0, 48.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
