,Entry Time,Donnie B,Red Hot Toddy,Icing,Hillbilly Rock,Mr Chance Romance
12-01-2023 12:01:07.241640,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:08.205830,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:09.100720,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:09.975672,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:11.025900,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:12.020172,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:13.030551,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:14.117785,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:15.122929,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:16.085671,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:17.046079,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:18.060256,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:19.107458,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:20.108416,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:20.999418,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:22.141625,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:23.169798,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:24.204221,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:25.339384,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:26.385046,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:27.316532,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:28.279228,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:29.342612,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:30.366975,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:31.296515,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:32.233002,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:33.188552,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:34.216247,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:35.206433,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:36.243405,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:37.126141,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:38.141959,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:39.133259,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:40.126321,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:41.101862,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:42.016120,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:43.029023,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:44.046399,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:44.986105,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:46.024715,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:46.943556,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:47.842191,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:49.008490,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:50.063878,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:51.217143,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:52.179387,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:53.178864,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:54.188960,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:55.319527,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:56.386133,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:57.368879,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:58.507980,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:59.594748,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:00.625489,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:01.604293,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:02.748053,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:03.687465,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:04.616022,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:05.686444,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:06.610544,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:07.647052,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:08.774405,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:09.825322,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:10.799220,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:11.749153,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:13.071358,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:14.061279,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:14.955762,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:16.052618,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:16.953972,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:17.890288,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:18.840564,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:19.850341,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:20.760507,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:21.708518,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:22.700326,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:23.630456,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:24.675004,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:25.720210,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:26.674143,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:27.550359,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:28.532229,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:29.658231,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:30.765307,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:31.707887,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:32.549858,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:33.434031,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:34.403213,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:35.354609,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:36.202600,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:37.041637,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:37.939780,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:38.840095,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:40.038744,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:40.989805,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:41.940675,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:42.914719,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:43.822147,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:44.776684,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.434468085106383)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:02:45.767036,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 3.4, 2.9714285714285715)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
