,Hearts And Minds,Kazio,Demando,Coastal Town,Rich Memories,Playing It Safe,Laureus,Longtimedreaming,Mahrez,Golwen
08-12-2022 14:18:58.584223,"(8.0, 14.5, 13.25)","(8.5, 8.0, 7.852173913043478)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 36.0, 33.666666666666664)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.03157894736842)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:59.957719,"(8.0, 14.5, 14.166666666666666)","(8.5, 8.0, 7.852173913043478)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 36.0, 33.64705882352941)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.03157894736842)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:01.243054,"(8.0, 14.5, 14.166666666666666)","(8.5, 8.2, 8.037142857142857)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 36.0, 32.333333333333336)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.03157894736842)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:02.627674,"(8.0, 14.5, 13.0)","(8.5, 8.2, 8.037142857142857)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 34.0, 32.333333333333336)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.03157894736842)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:03.972182,"(8.0, 14.5, 13.0)","(8.5, 8.2, 8.037142857142857)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 34.0, 31.941176470588236)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.03157894736842)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:05.319655,"(8.0, 14.5, 13.666666666666666)","(8.5, 8.2, 8.01774193548387)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 34.0, 31.789473684210527)","(8.0, 11.0, 10.067567567567568)","(6.5, 8.2, 7.841509433962264)","(16.0, 22.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:06.677492,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.026446280991735)","(4.0, 5.2, 5.114285714285714)","(7.0, 8.8, 8.466666666666667)","(21.0, 34.0, 31.789473684210527)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.841509433962264)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:07.950788,"(8.0, 14.5, 14.1)","(8.5, 8.2, 8.028571428571428)","(4.0, 5.2, 5.238888888888889)","(7.0, 8.8, 8.466666666666667)","(21.0, 34.0, 31.428571428571427)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.841509433962264)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:09.252292,"(8.0, 14.5, 13.666666666666666)","(8.5, 8.2, 8.028571428571428)","(4.0, 5.6, 5.4125)","(7.0, 8.8, 8.466666666666667)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.804878048780488)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:10.555385,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.028571428571428)","(4.0, 5.5, 5.35)","(7.0, 8.8, 8.466666666666667)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.804878048780488)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:11.850059,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.028571428571428)","(4.0, 5.5, 5.38)","(7.0, 8.8, 8.466666666666667)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.792207792207792)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:13.238979,"(8.0, 14.5, 13.0)","(8.5, 8.2, 8.028571428571428)","(4.0, 5.5, 5.38)","(7.0, 8.8, 8.466666666666667)","(21.0, 32.0, 29.714285714285715)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.792207792207792)","(16.0, 21.0, 20.045454545454547)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:14.624762,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.010989010989011)","(4.0, 5.5, 5.38)","(7.0, 8.8, 8.466666666666667)","(21.0, 30.0, 34.666666666666664)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.105263157894736)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:15.938540,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.38)","(7.0, 8.8, 8.466666666666667)","(21.0, 38.0, 34.625)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:17.132088,"(8.0, 14.5, 14.083333333333334)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.173684210526315)","(7.0, 8.8, 8.466666666666667)","(21.0, 38.0, 34.625)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:18.370277,"(8.0, 14.5, 13.5)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.173684210526315)","(7.0, 8.8, 8.466666666666667)","(21.0, 38.0, 34.666666666666664)","(8.0, 10.5, 10.067567567567568)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:19.552507,"(8.0, 14.5, 13.5)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.173684210526315)","(7.0, 8.8, 8.466666666666667)","(21.0, 38.0, 34.666666666666664)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:20.728663,"(8.0, 14.5, 13.5)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.182051282051281)","(7.0, 8.8, 8.448)","(21.0, 36.0, 33.333333333333336)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:21.950830,"(8.0, 14.5, 13.5)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.182051282051281)","(7.0, 8.8, 8.26206896551724)","(21.0, 36.0, 33.375)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:23.124963,"(8.0, 14.5, 14.272727272727273)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.182051282051281)","(7.0, 8.8, 8.26206896551724)","(21.0, 36.0, 33.375)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.8545454545454545)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:24.306697,"(8.0, 14.5, 14.272727272727273)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.173684210526315)","(7.0, 8.8, 8.26206896551724)","(21.0, 36.0, 33.375)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.860869565217391)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:25.502156,"(8.0, 14.5, 14.272727272727273)","(8.5, 8.2, 8.081379310344827)","(4.0, 5.5, 5.173684210526315)","(7.0, 8.8, 8.453333333333333)","(21.0, 36.0, 31.428571428571427)","(8.0, 10.5, 10.05813953488372)","(6.5, 8.0, 7.860869565217391)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:26.805239,"(8.0, 16.0, 12.625)","(8.5, 8.6, 8.466666666666667)","(4.0, 5.5, 5.35)","(7.0, 8.8, 8.34)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.055555555555555)","(6.5, 8.0, 7.860869565217391)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:28.091254,"(8.0, 15.0, 12.9)","(8.5, 8.6, 8.392)","(4.0, 5.4, 5.300000000000001)","(7.0, 8.4, 8.34)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.055555555555555)","(6.5, 8.0, 7.860869565217391)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.268571428571429)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:29.327164,"(8.0, 15.0, 14.307692307692308)","(8.5, 8.6, 8.553846153846154)","(4.0, 5.4, 5.300000000000001)","(7.0, 8.4, 8.34)","(21.0, 32.0, 31.428571428571427)","(8.0, 10.5, 10.055555555555555)","(6.5, 8.0, 7.860869565217391)","(16.0, 21.0, 20.153846153846153)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:30.536604,"(8.0, 15.0, 14.608695652173914)","(8.5, 8.6, 8.688)","(4.0, 5.4, 5.33)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 31.0)","(8.0, 10.5, 10.051020408163266)","(6.5, 8.0, 7.881481481481481)","(16.0, 21.0, 20.263157894736842)","(4.0, 5.4, 5.276190476190476)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:31.755609,"(8.0, 15.0, 13.333333333333334)","(8.5, 9.0, 8.792)","(4.0, 5.4, 5.33)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 34.142857142857146)","(8.0, 10.5, 10.051020408163266)","(6.5, 8.0, 7.452348993288591)","(16.0, 21.0, 20.3125)","(4.0, 5.3, 5.290566037735849)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:32.984659,"(8.0, 15.0, 13.333333333333334)","(8.5, 9.2, 9.06)","(4.0, 5.4, 5.322222222222223)","(7.0, 8.4, 8.1)","(21.0, 38.0, 34.142857142857146)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.6, 7.303030303030304)","(16.0, 21.0, 20.3125)","(4.0, 5.3, 5.267132867132867)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:34.242268,"(8.0, 15.0, 13.333333333333334)","(8.5, 9.8, 9.600000000000001)","(4.0, 5.4, 5.322222222222223)","(7.0, 8.4, 8.1)","(21.0, 38.0, 35.0)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.167567567567568)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:35.494123,"(8.0, 15.0, 13.5)","(8.5, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 38.0, 35.0)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.2, 7.317948717948719)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:36.770664,"(8.0, 15.0, 13.5)","(8.5, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 38.0, 34.857142857142854)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.13)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:37.976652,"(8.0, 15.0, 13.5)","(8.5, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 36.0, 33.81818181818182)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.2, 7.13)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:39.206013,"(8.0, 15.0, 13.5)","(8.0, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 36.0, 33.81818181818182)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.2, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:40.438500,"(8.0, 15.0, 13.5)","(8.0, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 36.0, 33.9)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:41.597788,"(8.0, 15.0, 13.5)","(8.0, 9.8, 9.436363636363637)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 36.0, 33.9)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:42.755577,"(8.0, 15.0, 13.5)","(8.0, 9.8, 9.600000000000001)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 36.0, 31.5)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:43.942839,"(8.0, 15.0, 13.5)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 34.0, 30.666666666666668)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:45.068672,"(8.0, 15.0, 13.5)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 34.0, 30.666666666666668)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:46.261424,"(8.0, 15.0, 13.5)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 34.0, 32.0)","(8.0, 10.5, 10.051020408163266)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.3125)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:47.433313,"(8.0, 15.0, 13.5)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 34.0, 30.923076923076923)","(8.0, 10.5, 10.125)","(6.5, 7.4, 7.247619047619048)","(16.0, 21.0, 20.857142857142858)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:48.615066,"(8.0, 15.0, 13.8)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.1)","(21.0, 34.0, 31.142857142857142)","(8.0, 10.5, 10.125)","(6.5, 7.4, 7.247619047619048)","(16.0, 22.0, 20.857142857142858)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:49.938836,"(8.0, 14.5, 12.166666666666666)","(8.0, 9.4, 9.36)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 31.4)","(8.0, 10.5, 10.125)","(6.5, 7.4, 7.325)","(16.0, 22.0, 22.22222222222222)","(4.0, 5.4, 5.267132867132867)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:51.209467,"(8.0, 14.0, 13.34375)","(8.0, 9.2, 9.144827586206896)","(4.0, 5.4, 5.285714285714286)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 31.4)","(8.0, 10.5, 10.125)","(6.5, 7.4, 7.325)","(16.0, 24.0, 22.22222222222222)","(4.0, 5.4, 5.264429530201342)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:52.486692,"(8.0, 14.0, 12.0)","(8.0, 9.4, 9.178947368421053)","(4.0, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 31.4)","(8.0, 10.5, 10.147058823529411)","(6.5, 7.4, 7.325)","(16.0, 24.0, 22.22222222222222)","(4.0, 5.4, 5.266206896551725)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:53.803886,"(8.0, 14.0, 12.4)","(8.0, 8.8, 8.471794871794872)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 31.4)","(8.0, 10.5, 10.147058823529411)","(6.5, 7.4, 7.336842105263158)","(17.0, 24.0, 22.22222222222222)","(4.2, 5.4, 5.268571428571429)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:55.116528,"(8.0, 14.0, 12.4)","(8.0, 8.8, 8.471794871794872)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 32.0, 36.2)","(8.0, 10.5, 10.147058823529411)","(6.5, 7.4, 7.336842105263158)","(17.0, 24.0, 22.31578947368421)","(4.2, 5.4, 5.268571428571429)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:56.480889,"(8.0, 14.0, 12.666666666666666)","(8.0, 8.8, 8.471794871794872)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 38.0, 34.666666666666664)","(8.0, 10.5, 10.147058823529411)","(6.5, 7.4, 7.325)","(17.0, 24.0, 21.6)","(4.2, 5.4, 5.268571428571429)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:57.770830,"(8.0, 13.5, 13.0)","(8.0, 8.8, 8.471794871794872)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 38.0, 35.333333333333336)","(8.0, 10.5, 10.147058823529411)","(6.5, 7.4, 7.325)","(17.0, 24.0, 21.857142857142858)","(4.2, 5.4, 5.268571428571429)","(101.0, 310.0, 278.0)"
08-12-2022 14:19:59.122630,"(8.0, 13.5, 12.666666666666666)","(8.0, 8.8, 8.575000000000001)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 38.0, 35.333333333333336)","(8.0, 10.5, 10.101449275362318)","(6.5, 7.4, 7.325)","(17.0, 24.0, 22.0)","(4.2, 5.4, 5.241379310344827)","(101.0, 310.0, 278.0)"
08-12-2022 14:20:00.492440,"(8.0, 13.5, 12.666666666666666)","(8.0, 8.4, 8.28)","(4.2, 5.4, 5.32)","(7.0, 8.4, 8.177777777777777)","(21.0, 38.0, 35.333333333333336)","(8.0, 11.0, 10.090909090909092)","(6.5, 7.4, 7.325)","(17.0, 24.0, 22.0)","(4.2, 5.4, 5.24)","(101.0, 310.0, 278.0)"
08-12-2022 14:20:01.825837,"(8.0, 13.5, 12.666666666666666)","(8.0, 8.4, 8.28)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.33939393939394)","(21.0, 38.0, 34.857142857142854)","(8.0, 11.0, 10.090909090909092)","(6.5, 7.4, 7.336842105263158)","(17.0, 24.0, 22.555555555555557)","(4.2, 5.4, 5.251162790697674)","(101.0, 310.0, 278.0)"
08-12-2022 14:20:03.136278,"(8.0, 13.5, 12.857142857142858)","(8.0, 8.4, 8.254545454545454)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.33939393939394)","(21.0, 36.0, 34.857142857142854)","(8.0, 11.0, 10.090909090909092)","(6.5, 7.4, 7.347826086956522)","(17.0, 23.0, 22.555555555555557)","(4.2, 5.4, 5.250769230769231)","(101.0, 310.0, 278.0)"
08-12-2022 14:20:04.407838,"(8.0, 13.0, 12.727272727272727)","(8.0, 8.4, 8.254545454545454)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.33939393939394)","(21.0, 36.0, 34.857142857142854)","(8.0, 11.0, 10.090909090909092)","(6.5, 7.4, 7.347826086956522)","(17.0, 23.0, 22.555555555555557)","(4.2, 5.4, 5.25)","(101.0, 310.0, 278.0)"
08-12-2022 14:20:05.694473,"(8.0, 13.0, 12.727272727272727)","(8.0, 8.4, 8.254545454545454)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.33939393939394)","(21.0, 36.0, 34.857142857142854)","(8.0, 11.0, 10.090909090909092)","(6.5, 7.4, 7.347826086956522)","(17.0, 23.0, 22.555555555555557)","(4.2, 5.4, 5.257777777777778)","(101.0, 310.0, 298.3333333333333)"
08-12-2022 14:20:06.997215,"(8.0, 13.0, 12.727272727272727)","(8.0, 8.4, 8.254545454545454)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.233333333333334)","(21.0, 36.0, 33.42857142857143)","(8.0, 11.0, 10.135802469135802)","(6.5, 7.4, 7.336842105263158)","(17.0, 23.0, 21.75)","(4.2, 5.4, 5.262857142857143)","(101.0, 310.0, 283.3333333333333)"
08-12-2022 14:20:08.379971,"(8.0, 13.0, 12.727272727272727)","(8.0, 8.4, 8.276923076923076)","(4.2, 5.4, 5.292307692307692)","(7.0, 8.4, 8.233333333333334)","(21.0, 34.0, 33.6)","(8.0, 11.0, 10.135802469135802)","(6.5, 7.4, 7.347826086956522)","(17.0, 22.0, 21.75)","(4.2, 5.4, 5.262857142857143)","(101.0, 300.0, 283.3333333333333)"
