,Class Of Twenty,Rosdue Swagman,Roulette,Miners Light,Sweet Babe,Diaz Herrera,Rocking The Ares,Worthy Explosion
09-01-2023 13:07:11.642838,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:12.830394,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:14.090110,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:15.368493,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:16.717441,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:17.940577,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:19.176508,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:20.447926,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:21.669013,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:22.859772,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:23.993676,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:25.186201,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:26.344521,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:27.546286,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:28.767840,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:30.000411,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:31.249663,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:32.425869,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:33.616625,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:34.744865,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:35.927117,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:37.128800,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:38.328255,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:39.557448,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:40.837151,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6114285714285714)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:42.051791,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:43.231284,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:44.466478,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:45.713000,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:46.928055,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:48.082222,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:49.242682,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.4257758620689653)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:50.391050,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.97, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:51.594056,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:52.787989,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:53.983727,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:55.169246,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:56.384076,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:57.561348,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:58.798737,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:00.008948,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:01.181035,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:02.475839,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:03.679766,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:04.872175,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:06.023081,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:07.057792,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:08.089038,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:09.192554,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:10.383204,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:11.497693,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:12.567794,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:13.798436,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:14.986513,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:16.185116,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:17.409901,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:18.592802,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:19.831461,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:21.070817,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:22.357556,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:23.580264,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:24.802491,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:25.925225,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:27.102077,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:28.307335,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:29.586505,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:08:30.914121,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5419999999999998)","(31.0, 320.0, 178.0)","(26.0, 90.0, 49.375)"
