,Goldstar Rita,Sefton Heights,Ava Effort,Deep Value,Tiggerlong Panda,Goldstar Linda,Adobe Kid,Goldstar Spencer
12-01-2023 14:34:51.624861,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:52.940420,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:54.273616,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:55.481845,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:56.854492,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:58.022560,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:59.185493,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:00.371579,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:01.559419,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:02.594888,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.6788235294117646)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:03.706924,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.6788235294117646)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:04.924430,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.45, 2.8491666666666666)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:05.960973,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.45, 2.8491666666666666)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:07.113101,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.4, 2.8866666666666667)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:08.342307,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.4, 2.8866666666666667)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:09.603845,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.4, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:10.788120,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:11.976353,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:13.167201,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:14.311484,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:15.394920,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:16.557793,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:17.694159,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:18.831170,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:19.970314,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:21.184107,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:22.437404,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 21.931818181818183)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:23.578169,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:24.739114,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:25.944881,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:27.126802,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:28.261418,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:35:29.486099,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:30.708293,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:31.904367,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:33.011460,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:34.233887,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:35.519510,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:36.612912,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:37.657106,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:38.753446,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:39.981535,"(3.3, 9.8, 5.6000000000000005)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:41.256472,"(3.3, 9.8, 5.6000000000000005)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 12.8)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:42.533564,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.5, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:43.892737,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:45.041802,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 54.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:46.273910,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 54.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:47.470489,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 54.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:48.695688,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 33.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:50.058763,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:51.384759,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:52.808016,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 12.986666666666666)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:54.208949,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:55.451232,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:56.727655,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:57.851587,"(3.3, 9.8, 6.138461538461539)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:35:59.023988,"(3.3, 9.8, 7.848000000000001)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:00.168094,"(3.3, 9.8, 7.848000000000001)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:01.319287,"(3.3, 9.8, 7.848000000000001)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:02.566891,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:03.801233,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 33.125)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:05.167294,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:06.475159,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:07.825487,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.3, 2.772)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 13.26)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:08.948007,"(3.3, 9.8, 8.321212121212122)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 20.22916666666667)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:10.201477,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:11.515027,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:12.757901,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:13.862682,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:14.956269,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:16.068187,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
12-01-2023 14:36:17.216848,"(3.3, 9.6, 8.616666666666667)","(2.5, 3.15, 2.7007692307692306)","(6.0, 24.0, 16.5)","(6.0, 13.0, 12.345454545454544)","(18.0, 140.0, 100.78125)","(15.0, 36.0, 32.64285714285714)","(7.0, 14.0, 12.2)","(21.0, 180.0, 99.5)"
