,Wise Counsel,Do It Right,Ocean Aura,Expelliarmus,Magic Whistle,Lets Erupt,Megami,Ran A Red Light,Belafonte Boy,Marlini,Nick Of Time,The White Witch,Vitai Lampada
14-12-2022 19:30:05.570639,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.46153846153846)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.12)","(5.5, 7.4, 7.192592592592593)","(2.5, 2.7, 2.606666666666667)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:07.169968,"(4.0, 5.3, 5.170588235294117)","(12.0, 19.5, 18.46153846153846)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.172413793103448)","(5.5, 7.4, 7.192592592592593)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:08.677969,"(4.0, 5.3, 5.170588235294117)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.172413793103448)","(5.5, 7.4, 7.192592592592593)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:10.229757,"(4.0, 5.3, 5.170588235294117)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.172413793103448)","(5.5, 7.4, 6.828571428571429)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:11.812719,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.636363636363637)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:13.386306,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 9.799999999999999)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:14.896616,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 9.799999999999999)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:16.523061,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 9.799999999999999)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:18.170972,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:19.739188,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:21.283445,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:22.820350,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:24.296288,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 17.8125)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:25.879527,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.9)","(2.5, 2.7, 2.628)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:27.465782,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.942857142857143)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:28.939374,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(18.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.942857142857143)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:30.449935,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(18.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.942857142857143)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:32.015126,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(18.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.942857142857143)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:33.535360,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(18.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.43157894736842)","(5.5, 7.4, 6.942857142857143)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 60.0)","(31.0, 50.0, 47.45454545454545)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:35.158076,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.9375)","(18.0, 27.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.4, 6.857142857142857)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 47.5)","(31.0, 50.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:36.565216,"(4.0, 5.3, 5.218518518518518)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 70.0, 47.5)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:37.937677,"(4.0, 5.3, 5.218518518518518)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 70.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:39.296617,"(4.0, 5.3, 5.218518518518518)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.9818181818181815)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:40.714079,"(4.0, 5.2, 5.001190476190477)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:42.129205,"(4.0, 5.2, 5.046153846153846)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:43.716345,"(4.0, 5.1, 4.918181818181819)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:45.381691,"(4.0, 5.1, 4.918181818181819)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 42.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:47.055632,"(4.0, 5.1, 4.946153846153846)","(12.0, 19.5, 18.9375)","(18.0, 25.0, 22.4)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 46.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:48.602061,"(4.0, 5.1, 5.04)","(12.0, 19.5, 18.0)","(18.0, 24.0, 23.0)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:50.030904,"(4.0, 5.1, 5.04)","(12.0, 19.5, 18.0)","(18.0, 24.0, 23.0)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 7.04)","(2.5, 2.7, 2.64)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:51.455478,"(4.0, 5.1, 5.066037735849056)","(12.0, 19.5, 18.576923076923077)","(18.0, 24.0, 23.0)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.9818181818181815)","(2.5, 2.7, 2.6964356435643566)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:52.948928,"(4.0, 5.1, 5.066037735849056)","(12.0, 19.5, 18.94736842105263)","(18.0, 23.0, 22.55)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.6964356435643566)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:54.433456,"(4.0, 5.1, 5.066037735849056)","(12.0, 19.5, 18.94736842105263)","(18.0, 23.0, 22.55)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.6964356435643566)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:55.804362,"(4.0, 5.1, 4.8999999999999995)","(12.0, 19.5, 18.94736842105263)","(18.0, 23.0, 22.55)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.6964356435643566)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:57.240974,"(4.0, 5.1, 4.889473684210526)","(12.0, 19.5, 18.94736842105263)","(18.0, 23.0, 22.55)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.0, 10.485714285714286)","(5.5, 7.2, 6.857142857142857)","(2.5, 2.7, 2.6964356435643566)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 65.0, 60.0)","(31.0, 44.0, 43.2)","(101.0, 310.0, 225.0)"
