,Henty,California Longbow,Champions League,Rura Penthe,Blazing Rebel,Concentric,Cable Dancer,Bishop Rock
08-01-2023 14:05:21.528718,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:22.551146,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:23.555648,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:24.545148,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.714285714285715)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:25.673085,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:26.895638,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:28.088179,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:29.170864,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:30.212308,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2628037383177566)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:31.286885,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
