,Champagne Sunday,Chikira Lass,My Zoi,Beadman,Boston Strong Boy,Share Power
12-01-2023 12:56:48.985250,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:50.132490,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:51.209014,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:52.189158,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:53.152392,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:54.160465,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:55.254677,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:56.236569,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:57.259374,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:58.298921,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.6695238095238096)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:59.302114,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.5742857142857143)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:00.403458,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.658095238095238)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:01.391040,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.658095238095238)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:02.330082,"(6.5, 10.5, 9.323529411764707)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.566666666666667)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:03.437820,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.566666666666667)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:04.474017,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.5690909090909093)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:05.532311,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.5690909090909093)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:06.645162,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.5690909090909093)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:07.634586,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.72, 2.5151724137931035)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:08.678148,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.72, 2.5151724137931035)","(7.0, 9.8, 9.234782608695653)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:09.708468,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.72, 2.5151724137931035)","(7.0, 9.8, 9.115789473684211)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:10.576388,"(6.5, 10.5, 8.5)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.72, 2.5151724137931035)","(7.0, 9.8, 9.115789473684211)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:11.679105,"(6.5, 10.5, 8.5)","(2.9, 4.1, 3.992857142857143)","(2.35, 2.72, 2.5628571428571427)","(7.0, 9.8, 9.115789473684211)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:12.769535,"(6.5, 10.5, 8.5)","(2.9, 4.1, 3.992857142857143)","(2.35, 2.72, 2.5628571428571427)","(7.0, 9.8, 9.115789473684211)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:13.742123,"(6.5, 10.5, 8.5)","(2.9, 4.1, 3.992857142857143)","(2.35, 2.78, 2.5233333333333334)","(7.0, 9.8, 9.035294117647059)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:14.787638,"(6.5, 10.5, 8.681818181818182)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.78, 2.5933333333333333)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:15.802424,"(6.5, 10.5, 8.681818181818182)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.658888888888889)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:16.791443,"(6.5, 10.5, 8.681818181818182)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.658888888888889)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:17.850351,"(6.5, 10.5, 8.681818181818182)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.5776470588235294)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:18.854731,"(6.5, 10.5, 8.633333333333333)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.588)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:19.897743,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:20.916958,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:22.035787,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:23.098201,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:23.978170,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:25.050446,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.5892307692307694)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:26.002823,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.591764705882353)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:26.977232,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.591764705882353)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:28.057867,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.591764705882353)","(7.0, 9.8, 8.3)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:29.096080,"(6.5, 10.5, 8.540000000000001)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.62, 2.707027027027027)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:30.189348,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.707027027027027)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:31.199833,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.707027027027027)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:32.181975,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.707027027027027)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:33.176831,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.707027027027027)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:34.190706,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.76, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:35.289825,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:36.318748,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:37.289021,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:38.430786,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:39.381720,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.0)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:40.289456,"(6.5, 10.5, 8.441176470588236)","(2.9, 4.1, 3.9499999999999997)","(2.35, 2.74, 2.621818181818182)","(7.0, 9.8, 9.32)","(6.0, 7.4, 7.133333333333334)","(31.0, 55.0, 42.4)"
12-01-2023 12:57:41.288115,"(6.5, 10.5, 8.46875)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 7.4, 7.175)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:42.304655,"(6.5, 10.5, 8.46875)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6535802469135805)","(7.0, 9.8, 9.32)","(6.0, 7.4, 7.175)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:43.416065,"(6.5, 10.5, 8.46875)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.7303448275862072)","(7.0, 9.8, 9.338461538461539)","(6.0, 7.4, 7.175)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:44.468313,"(6.5, 10.5, 8.588235294117647)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.58, 2.575862068965517)","(7.0, 9.8, 9.338461538461539)","(6.0, 7.4, 7.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:45.431289,"(6.5, 10.5, 9.25)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 7.8, 7.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:46.533991,"(6.5, 10.5, 9.25)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 7.8, 9.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:47.665842,"(6.5, 10.5, 9.25)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 9.6, 9.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:48.616765,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 9.6, 9.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:49.583167,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.04)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:50.585916,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 9.6, 9.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:51.602085,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.515862068965517)","(7.0, 9.8, 9.32)","(6.0, 9.6, 9.133333333333333)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:52.641556,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.62135593220339)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.04)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:53.603479,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.04)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:54.629043,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.2)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:55.588056,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 7.1499999999999995)","(31.0, 55.0, 43.333333333333336)"
12-01-2023 12:57:56.644591,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 7.1499999999999995)","(31.0, 55.0, 41.111111111111114)"
12-01-2023 12:57:57.675833,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:57:58.636953,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:57:59.688584,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:00.664141,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:01.698970,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.607924528301887)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:02.836092,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6490909090909094)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:03.870107,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6490909090909094)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:04.900005,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6490909090909094)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.083333333333334)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:05.898387,"(6.5, 10.5, 9.12)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6490909090909094)","(7.0, 9.8, 9.32)","(6.0, 9.6, 8.083333333333334)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:06.865799,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.6490909090909094)","(7.0, 9.8, 9.32)","(6.0, 9.6, 7.1499999999999995)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:07.998688,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 9.32)","(6.0, 9.6, 7.32)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:09.047690,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:10.081397,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:11.177976,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:12.221522,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 9.32)","(6.0, 9.4, 8.36)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:13.319135,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.4, 7.684210526315789)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:14.269689,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 7.684210526315789)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:15.256299,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:16.287896,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5772093023255813)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:17.286566,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5971428571428574)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:18.425717,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5971428571428574)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:19.446568,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5971428571428574)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:20.396762,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5971428571428574)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
12-01-2023 12:58:21.482252,"(6.5, 9.4, 8.542857142857143)","(2.9, 4.1, 3.9666666666666663)","(2.35, 2.74, 2.5971428571428574)","(7.0, 9.8, 8.948387096774194)","(6.0, 9.6, 8.092307692307692)","(31.0, 50.0, 41.111111111111114)"
