,African Angel,I Came To Dance,Organized Chaos,Well See,Peach Be With Q,Queen Wiggy,Sharp Catch
15-12-2022 11:11:26.102253,"(2.8, 3.25, 2.9254545454545458)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 12.25)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:27.204434,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.675)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:28.256468,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.675)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:29.293139,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:30.350233,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:31.494318,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:32.638385,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:33.608048,"(2.8, 3.25, 3.107083333333333)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 18.25)"
15-12-2022 11:11:34.634723,"(2.8, 3.25, 2.7862500000000003)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.893333333333334)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:35.674667,"(2.8, 3.25, 2.7862500000000003)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 13.6)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:36.713678,"(2.8, 3.25, 2.7862500000000003)","(5.5, 5.0, 4.3999999999999995)","(5.0, 13.0, 8.95)","(8.0, 16.5, 13.6)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:37.694088,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.45)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:38.747019,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.45)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:39.737549,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.45)","(5.0, 13.0, 8.95)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:40.785011,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.45)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 25.0, 18.25)"
15-12-2022 11:11:41.891383,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.45)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.4)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 16.92857142857143)"
15-12-2022 11:11:42.932549,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.199999999999999)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.4)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 16.92857142857143)"
15-12-2022 11:11:43.944417,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.199999999999999)","(5.0, 13.0, 10.771428571428572)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.4)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 16.92857142857143)"
15-12-2022 11:11:44.961383,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.199999999999999)","(5.0, 15.0, 11.914285714285715)","(8.0, 16.5, 14.475)","(9.0, 14.0, 12.2)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 16.92857142857143)"
15-12-2022 11:11:46.033310,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.199999999999999)","(5.0, 15.0, 8.833333333333332)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.2)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 16.92857142857143)"
15-12-2022 11:11:47.155592,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.199999999999999)","(5.0, 15.0, 8.833333333333332)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.2)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 18.642857142857142)"
15-12-2022 11:11:48.207445,"(2.8, 3.25, 2.7862500000000003)","(5.5, 4.7, 4.6)","(5.0, 13.0, 8.371428571428572)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.2)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:49.203789,"(2.8, 3.25, 2.826)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 8.371428571428572)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.2)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:50.318306,"(2.8, 3.25, 2.826)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 9.76)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:51.382208,"(2.8, 3.3, 2.8360000000000003)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 9.879999999999999)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:52.380220,"(2.8, 3.25, 2.8525)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 9.879999999999999)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:53.436560,"(2.8, 3.25, 2.8525)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 9.879999999999999)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 24.0, 18.642857142857142)"
