,Whiskey Roll,Betty Quokka,Janet Rose,Springvale Chip,Little Franky,Ninetymile Bull
14-12-2022 11:54:40.095539,"(2.45, 2.74, 2.7319148936170214)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.978349514563107)","(4.6, 5.6, 5.55)","(18.0, 32.0, 29.272727272727273)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:41.078161,"(2.45, 2.74, 2.7333333333333334)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.9762)","(4.6, 5.7, 5.621052631578947)","(18.0, 32.0, 28.363636363636363)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:41.996847,"(2.45, 2.72, 2.71)","(14.0, 21.0, 19.814814814814813)","(2.6, 3.0, 2.98)","(4.6, 5.7, 5.692156862745098)","(18.0, 32.0, 29.894736842105264)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:43.001215,"(2.45, 2.74, 2.72974358974359)","(14.0, 21.0, 19.742857142857144)","(2.6, 3.0, 2.9436363636363634)","(4.6, 5.9, 5.82)","(18.0, 32.0, 30.666666666666668)","(20.0, 27.0, 26.1875)"
14-12-2022 11:54:44.034046,"(2.45, 2.74, 2.72974358974359)","(14.0, 21.0, 19.742857142857144)","(2.6, 2.98, 2.9313513513513514)","(4.6, 5.9, 5.86)","(18.0, 32.0, 30.57142857142857)","(20.0, 29.0, 26.214285714285715)"
14-12-2022 11:54:45.018012,"(2.45, 2.74, 2.721818181818182)","(14.0, 20.0, 19.785714285714285)","(2.6, 2.94, 2.92)","(4.6, 6.0, 5.881481481481481)","(18.0, 32.0, 29.894736842105264)","(20.0, 29.0, 27.142857142857142)"
14-12-2022 11:54:45.912285,"(2.45, 2.72, 2.7170526315789476)","(14.0, 21.0, 19.72222222222222)","(2.6, 2.98, 2.9371428571428573)","(4.6, 5.9, 5.86875)","(18.0, 32.0, 29.894736842105264)","(20.0, 29.0, 27.11111111111111)"
14-12-2022 11:54:46.782641,"(2.45, 2.72, 2.7170786516853935)","(14.0, 21.0, 19.72222222222222)","(2.6, 2.98, 2.9514285714285715)","(4.6, 5.9, 5.86875)","(18.0, 30.0, 29.5)","(20.0, 28.0, 27.333333333333332)"
14-12-2022 11:54:47.692942,"(2.45, 2.72, 2.7161702127659577)","(14.0, 20.0, 19.8125)","(2.6, 2.98, 2.9541176470588235)","(4.6, 5.9, 5.86875)","(18.0, 30.0, 28.5)","(20.0, 28.0, 27.333333333333332)"
14-12-2022 11:54:48.604013,"(2.45, 2.72, 2.7143307086614175)","(14.0, 20.0, 19.785714285714285)","(2.6, 2.98, 2.9541176470588235)","(4.6, 5.9, 5.873333333333334)","(18.0, 30.0, 28.25)","(20.0, 28.0, 27.333333333333332)"
14-12-2022 11:54:49.623573,"(2.45, 2.72, 2.7107563025210086)","(14.0, 20.0, 19.545454545454547)","(2.6, 3.05, 2.9746511627906975)","(4.6, 5.8, 5.725)","(18.0, 30.0, 28.25)","(20.0, 30.0, 29.933333333333334)"
14-12-2022 11:54:50.592754,"(2.45, 2.72, 2.7109401709401713)","(14.0, 20.0, 19.5)","(2.6, 3.05, 2.9842857142857144)","(4.6, 5.8, 5.75813953488372)","(18.0, 30.0, 28.25)","(20.0, 29.0, 28.0)"
14-12-2022 11:54:51.496546,"(2.45, 2.72, 2.7143915343915346)","(14.0, 20.0, 19.75)","(2.6, 3.05, 2.9842857142857144)","(4.6, 5.8, 5.75813953488372)","(18.0, 30.0, 28.4)","(20.0, 29.0, 28.0)"
14-12-2022 11:54:52.411088,"(2.45, 2.72, 2.716727272727273)","(14.0, 20.0, 19.75)","(2.5, 3.05, 2.9916666666666667)","(4.6, 5.8, 5.709756097560976)","(18.0, 30.0, 28.4)","(20.0, 29.0, 28.0)"
14-12-2022 11:54:53.378949,"(2.45, 2.74, 2.7222222222222223)","(14.0, 20.0, 19.6)","(2.5, 3.05, 2.9884615384615385)","(4.6, 5.8, 5.708510638297873)","(18.0, 30.0, 28.25)","(20.0, 29.0, 28.0)"
14-12-2022 11:54:54.297173,"(2.45, 2.74, 2.7331034482758625)","(14.0, 20.0, 19.428571428571427)","(2.5, 3.05, 2.9839772727272726)","(4.6, 5.8, 5.738571428571428)","(18.0, 30.0, 28.25)","(20.0, 29.0, 27.363636363636363)"
14-12-2022 11:54:55.267240,"(2.45, 2.76, 2.7343589743589742)","(14.0, 20.0, 19.46153846153846)","(2.5, 3.05, 2.9839772727272726)","(4.6, 5.8, 5.743949044585987)","(18.0, 29.0, 28.125)","(20.0, 29.0, 27.11111111111111)"
14-12-2022 11:54:56.249705,"(2.45, 2.76, 2.7324770642201837)","(14.0, 20.0, 19.46153846153846)","(2.5, 3.05, 2.9874468085106383)","(4.6, 5.8, 5.709090909090909)","(18.0, 29.0, 28.548387096774192)","(20.0, 29.0, 26.875)"
14-12-2022 11:54:57.168208,"(2.45, 2.78, 2.77048951048951)","(14.0, 20.0, 19.025)","(2.5, 3.05, 2.997906976744186)","(4.6, 5.7, 5.695454545454545)","(18.0, 29.0, 28.2)","(20.0, 29.0, 26.875)"
14-12-2022 11:54:58.077078,"(2.45, 2.76, 2.7506493506493506)","(14.0, 20.0, 18.862068965517242)","(2.5, 3.05, 3.01144578313253)","(4.6, 5.8, 5.7214285714285715)","(18.0, 27.0, 26.333333333333332)","(20.0, 29.0, 26.51219512195122)"
14-12-2022 11:54:58.930223,"(2.45, 2.78, 2.761)","(14.0, 20.0, 19.045454545454547)","(2.5, 3.0, 2.984)","(4.6, 5.8, 5.737777777777778)","(18.0, 27.0, 24.51219512195122)","(20.0, 29.0, 26.243243243243242)"
14-12-2022 11:54:59.783361,"(2.45, 2.78, 2.763859649122807)","(14.0, 20.0, 19.0625)","(2.5, 3.05, 3.003625)","(4.6, 5.8, 5.747222222222222)","(18.0, 27.0, 26.25)","(20.0, 29.0, 26.243243243243242)"
14-12-2022 11:55:00.762930,"(2.45, 2.78, 2.758604651162791)","(14.0, 19.5, 19.25)","(2.5, 3.05, 2.9901612903225807)","(4.6, 5.9, 5.811111111111111)","(18.0, 27.0, 25.5)","(20.0, 29.0, 26.085714285714285)"
14-12-2022 11:55:01.720351,"(2.45, 2.78, 2.752093023255814)","(14.0, 19.5, 18.72222222222222)","(2.5, 3.05, 2.986307692307692)","(4.6, 5.9, 5.811111111111112)","(18.0, 26.0, 25.714285714285715)","(20.0, 29.0, 26.243243243243242)"
14-12-2022 11:55:02.767020,"(2.45, 2.76, 2.7583333333333333)","(14.0, 19.5, 18.653846153846153)","(2.5, 3.05, 2.996153846153846)","(4.6, 6.0, 5.83030303030303)","(18.0, 26.0, 25.714285714285715)","(20.0, 29.0, 26.571428571428573)"
14-12-2022 11:55:03.722472,"(2.45, 2.76, 2.7575)","(14.0, 19.5, 18.7)","(2.5, 3.05, 2.9975)","(4.6, 5.9, 5.892817679558012)","(19.0, 26.0, 25.333333333333332)","(20.0, 29.0, 26.243243243243242)"
14-12-2022 11:55:04.627586,"(2.45, 2.78, 2.745)","(14.0, 19.5, 18.7)","(2.5, 3.05, 2.9982608695652173)","(4.6, 5.9, 5.892817679558012)","(19.0, 26.0, 25.333333333333332)","(20.0, 29.0, 26.243243243243242)"
14-12-2022 11:55:05.575136,"(2.45, 2.76, 2.7422222222222223)","(14.0, 19.5, 18.51923076923077)","(2.5, 3.05, 2.986666666666667)","(4.6, 6.2, 6.012307692307692)","(19.0, 25.0, 24.77777777777778)","(20.0, 29.0, 26.50769230769231)"
14-12-2022 11:55:06.569672,"(2.45, 2.76, 2.738536585365854)","(14.0, 19.5, 18.677419354838708)","(2.5, 3.0, 2.9859999999999998)","(4.6, 6.2, 6.013333333333334)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.157894736842106)"
14-12-2022 11:55:07.547566,"(2.45, 2.76, 2.755384615384615)","(14.0, 19.5, 18.61764705882353)","(2.5, 3.0, 2.9604255319148938)","(4.6, 6.2, 5.9653846153846155)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.157894736842106)"
14-12-2022 11:55:08.611621,"(2.45, 2.78, 2.7545)","(14.0, 19.5, 18.677419354838708)","(2.5, 2.98, 2.944)","(4.6, 6.2, 5.994285714285715)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.387096774193548)"
14-12-2022 11:55:09.782798,"(2.45, 2.78, 2.774285714285714)","(14.0, 19.5, 18.677419354838708)","(2.5, 2.98, 2.9569318181818183)","(4.6, 6.2, 5.996428571428572)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.34426229508197)"
14-12-2022 11:55:10.685301,"(2.45, 2.78, 2.7737931034482757)","(14.0, 19.5, 18.677419354838708)","(2.5, 2.96, 2.9569318181818183)","(4.6, 6.2, 5.996428571428572)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.34426229508197)"
14-12-2022 11:55:11.615664,"(2.45, 2.78, 2.746153846153846)","(14.0, 19.5, 19.27777777777778)","(2.5, 2.96, 2.955301204819277)","(4.6, 6.2, 6.037142857142857)","(19.0, 25.0, 24.8)","(20.0, 29.0, 26.50769230769231)"
14-12-2022 11:55:12.565455,"(2.45, 2.78, 2.737142857142857)","(14.0, 19.5, 19.27777777777778)","(2.5, 2.96, 2.9552727272727273)","(4.6, 6.2, 6.05)","(19.0, 25.0, 23.94736842105263)","(20.0, 29.0, 26.34426229508197)"
14-12-2022 11:55:13.609879,"(2.45, 2.78, 2.767272727272727)","(14.0, 19.5, 18.884615384615383)","(2.5, 2.94, 2.9365853658536585)","(4.8, 6.4, 6.3020000000000005)","(18.0, 25.0, 23.434782608695652)","(20.0, 29.0, 27.08)"
14-12-2022 11:55:14.552573,"(2.45, 2.82, 2.812)","(14.0, 19.5, 18.928571428571427)","(2.5, 2.88, 2.8666666666666667)","(4.8, 6.4, 6.1421052631578945)","(18.0, 25.0, 23.434782608695652)","(20.0, 29.0, 27.08)"
14-12-2022 11:55:15.479491,"(2.45, 2.82, 2.8099999999999996)","(14.0, 19.5, 18.928571428571427)","(2.5, 2.88, 2.8433333333333333)","(4.8, 6.4, 6.184615384615385)","(18.0, 24.0, 23.466666666666665)","(20.0, 29.0, 27.08)"
14-12-2022 11:55:16.401824,"(2.45, 2.86, 2.8312)","(14.0, 20.0, 19.157894736842106)","(2.5, 2.84, 2.817297297297297)","(4.8, 6.4, 6.184615384615385)","(19.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.08)"
14-12-2022 11:55:17.306914,"(2.45, 2.86, 2.8312)","(14.0, 20.0, 19.62)","(2.5, 2.88, 2.842941176470588)","(4.8, 6.4, 6.184615384615385)","(19.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.08)"
14-12-2022 11:55:18.340359,"(2.45, 2.86, 2.83)","(14.0, 20.0, 19.62)","(2.5, 2.88, 2.842941176470588)","(4.8, 6.4, 6.17872340425532)","(19.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.11764705882353)"
14-12-2022 11:55:19.389882,"(2.45, 2.86, 2.8266666666666667)","(15.0, 20.0, 19.62)","(2.5, 2.86, 2.837142857142857)","(4.8, 6.4, 6.207407407407407)","(18.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.11764705882353)"
14-12-2022 11:55:20.356548,"(2.45, 2.86, 2.827857142857143)","(15.0, 20.0, 19.525)","(2.5, 2.86, 2.832413793103448)","(4.8, 6.4, 6.205882352941177)","(18.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.11764705882353)"
14-12-2022 11:55:21.329754,"(2.45, 2.86, 2.8415384615384616)","(15.0, 20.0, 19.525)","(2.5, 2.84, 2.8232558139534882)","(4.8, 6.4, 6.206451612903226)","(18.0, 24.0, 23.294117647058822)","(20.0, 29.0, 27.11764705882353)"
14-12-2022 11:55:22.248598,"(2.45, 2.86, 2.8415384615384616)","(15.0, 19.5, 19.166666666666668)","(2.5, 2.84, 2.8195555555555556)","(4.8, 6.4, 6.384615384615385)","(18.0, 24.0, 23.294117647058822)","(20.0, 27.0, 26.875)"
14-12-2022 11:55:23.155192,"(2.45, 2.86, 2.836315789473684)","(15.0, 19.0, 18.428571428571427)","(2.5, 2.84, 2.8390123456790124)","(4.8, 6.6, 6.387610619469027)","(18.0, 24.0, 22.733333333333334)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:24.178217,"(2.45, 2.86, 2.836315789473684)","(15.0, 17.0, 16.785714285714285)","(2.5, 2.88, 2.86375)","(4.8, 6.6, 6.392)","(18.0, 24.0, 22.733333333333334)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:25.137734,"(2.45, 2.86, 2.836315789473684)","(15.0, 18.0, 17.77777777777778)","(2.5, 2.84, 2.8293023255813954)","(4.8, 6.6, 6.363265306122449)","(18.0, 24.0, 22.733333333333334)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:26.118606,"(2.45, 2.86, 2.836315789473684)","(15.0, 18.0, 17.636363636363637)","(2.5, 2.82, 2.8114666666666666)","(4.8, 6.6, 6.389473684210526)","(18.0, 24.0, 23.055555555555557)","(20.0, 27.0, 26.264705882352942)"
14-12-2022 11:55:27.028349,"(2.45, 2.86, 2.836315789473684)","(15.0, 18.0, 17.466666666666665)","(2.5, 2.84, 2.836875)","(4.8, 6.6, 6.402816901408451)","(18.0, 24.0, 23.055555555555557)","(20.0, 29.0, 26.28125)"
14-12-2022 11:55:27.972086,"(2.45, 2.84, 2.8269767441860463)","(15.0, 18.0, 17.930555555555557)","(2.5, 2.84, 2.8003448275862066)","(4.8, 6.6, 6.419047619047619)","(18.0, 24.0, 23.0625)","(20.0, 29.0, 26.28125)"
14-12-2022 11:55:28.933680,"(2.45, 2.8, 2.7874999999999996)","(15.0, 19.0, 18.75)","(2.5, 2.82, 2.788)","(4.8, 6.6, 6.4035714285714285)","(18.0, 25.0, 23.833333333333332)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:29.932188,"(2.45, 2.82, 2.8045161290322578)","(15.0, 19.0, 18.625)","(2.5, 2.8, 2.79)","(4.8, 6.6, 6.4035714285714285)","(18.0, 25.0, 23.833333333333332)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:30.833471,"(2.45, 2.82, 2.807142857142857)","(15.0, 18.0, 17.323741007194243)","(2.5, 2.82, 2.7909090909090906)","(4.8, 6.6, 6.4035714285714285)","(18.0, 25.0, 23.833333333333332)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:31.738506,"(2.45, 2.82, 2.8097142857142856)","(15.0, 18.0, 17.314102564102566)","(2.5, 2.82, 2.7877064220183483)","(4.8, 6.6, 6.4035714285714285)","(18.0, 25.0, 24.0)","(20.0, 27.0, 26.75)"
14-12-2022 11:55:32.682910,"(2.45, 2.82, 2.8097142857142856)","(15.0, 18.0, 17.29605263157895)","(2.5, 2.82, 2.8047761194029848)","(4.8, 6.6, 6.468852459016394)","(18.0, 25.0, 24.0)","(20.0, 27.0, 26.2)"
14-12-2022 11:55:33.660228,"(2.45, 2.84, 2.828888888888889)","(15.0, 18.0, 17.292207792207794)","(2.5, 2.8, 2.787720930232558)","(4.8, 6.6, 6.473684210526316)","(18.0, 25.0, 23.833333333333332)","(20.0, 29.0, 27.4)"
14-12-2022 11:55:34.513615,"(2.45, 2.84, 2.833548387096774)","(15.0, 18.0, 17.48095238095238)","(2.5, 2.8, 2.7806730769230765)","(4.8, 6.6, 6.461538461538462)","(18.0, 25.0, 23.714285714285715)","(20.0, 28.0, 27.11111111111111)"
14-12-2022 11:55:35.470836,"(2.45, 2.84, 2.838723404255319)","(15.0, 18.0, 17.490384615384617)","(2.5, 2.78, 2.772)","(5.0, 6.6, 6.470967741935484)","(18.0, 23.0, 22.789473684210527)","(20.0, 28.0, 26.833333333333332)"
14-12-2022 11:55:36.422027,"(2.45, 2.86, 2.846)","(15.0, 18.0, 17.50925925925926)","(2.5, 2.78, 2.7693877551020405)","(5.0, 6.6, 6.457142857142857)","(18.0, 25.0, 23.90909090909091)","(20.0, 28.0, 26.833333333333332)"
14-12-2022 11:55:37.516981,"(2.45, 2.86, 2.846)","(15.0, 18.0, 17.50925925925926)","(2.5, 2.8, 2.7697354497354496)","(5.0, 6.6, 6.462162162162162)","(18.0, 25.0, 24.379310344827587)","(20.0, 28.0, 26.681818181818183)"
14-12-2022 11:55:38.523933,"(2.45, 2.9, 2.828275862068965)","(15.0, 18.0, 17.467336683417084)","(2.5, 2.84, 2.8046153846153845)","(5.0, 6.8, 9845.264615384616)","(18.0, 25.0, 9998.5)","(20.0, 29.0, 9998.5)"
14-12-2022 11:55:39.484081,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:40.357771,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:41.282804,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:42.290541,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:43.197883,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:44.149084,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:45.104419,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:45.999560,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:47.021543,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:47.960659,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
14-12-2022 11:55:48.784332,"(2.45, 99998, 9998.5)","(15.0, 99998, 9998.5)","(2.5, 99998, 9998.5)","(5.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(20.0, 99998, 9998.5)"
