,Fighting Boxer,Zoha Bale,Arbys Lucy,Ten Dollar Slaps,Earthworm Jim,Gucci Girl,Nana Judy,Poppys Pride
07-12-2022 20:02:34.778890,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:36.020684,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:37.299341,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:38.493444,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:39.741811,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:41.000880,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 401.1111111111111)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:42.157461,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 401.1111111111111)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:43.304468,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 401.1111111111111)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:44.479460,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 401.1111111111111)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:45.699772,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:46.986812,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 463.3333333333333)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:48.206901,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 463.3333333333333)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:49.495659,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 463.3333333333333)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:50.777482,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 463.3333333333333)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:52.076716,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:53.408226,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:54.592074,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:55.697284,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:56.832236,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:58.057330,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:02:59.414581,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:00.734946,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:02.017928,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:03.291534,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:04.550931,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:05.776159,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:06.982058,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:08.208283,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:09.490833,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:10.850776,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:12.024219,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:13.223758,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:14.391123,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:15.660918,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:17.193764,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:18.711372,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:19.969498,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:21.386539,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:22.757590,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:24.080406,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:25.504838,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:26.751525,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:27.960304,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:29.181513,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:30.436048,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:31.844417,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:33.251526,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:34.499000,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:36.313807,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:37.657104,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:39.237393,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:40.520316,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:41.752904,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:43.158891,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:44.639409,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:45.871944,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.3057142857142856)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:47.183602,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.7066666666666666)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:48.568580,"(16.0, 50.0, 24.545454545454547)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 11.28)","(2.6, 4.3, 3.7066666666666666)","(15.0, 40.0, 23.125)","(91.0, 650.0, 587.7777777777778)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:49.917372,"(16.0, 50.0, 28.125)","(1.75, 2.5, 2.223076923076923)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.1533333333333333)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:03:51.176751,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 2.223076923076923)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.1533333333333333)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:03:52.408851,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 2.223076923076923)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.1533333333333333)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 16.75)"
07-12-2022 20:03:53.641031,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 2.223076923076923)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 16.75)"
07-12-2022 20:03:54.822891,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:55.984440,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:57.167726,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:58.389921,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:03:59.555340,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:04:00.782033,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.0636363636363635)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:04:01.965210,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.049090909090909)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:04:03.159762,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.049090909090909)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
07-12-2022 20:04:04.391748,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9538461538461538)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.049090909090909)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 17.88888888888889)"
