,Opawa Kyle,Opawa Warrior,Zipping Chassis,Nighthawk Jet,Diamond Alex,Iced Mocha,Know Grizzles,Diamond Neena
08-12-2022 13:19:37.172846,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:38.498360,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:39.791816,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:41.164610,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:42.489388,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:43.921435,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:45.285648,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:46.638241,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:48.268845,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:49.706394,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:51.061846,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:52.406944,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:53.705783,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:54.978577,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:56.288377,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:57.631126,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:58.945131,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:00.305598,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:01.689102,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:03.092143,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:04.415494,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:05.687240,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:07.034939,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:08.364273,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:09.676924,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:10.930400,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:12.214914,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:13.584597,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:14.908841,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:16.286210,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:17.771294,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:19.197046,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:20.510448,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 19.8)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:21.855366,"(6.5, 12.5, 10.46)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:23.212053,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:24.550850,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:25.892752,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:27.211717,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:28.565974,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:29.900196,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:31.372800,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:32.665848,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:33.963581,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:35.390444,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:36.878382,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:38.193611,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:39.518596,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:40.846754,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:42.161590,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:43.506033,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:44.882083,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:46.234815,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 33.111111111111114)","(10.0, 21.0, 18.833333333333332)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:47.582575,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:48.919438,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:50.268700,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:51.644476,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:52.988431,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:54.316322,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:55.717943,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:57.071168,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:58.347147,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:20:59.633554,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:21:00.943693,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:21:02.185742,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 30.8)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:21:03.540022,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 31.75)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:21:04.943932,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 31.75)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:21:06.249471,"(6.5, 12.5, 10.672727272727272)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 36.0, 31.75)","(10.0, 21.0, 17.285714285714285)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
