,Klimt Ride,Cherrys Cross,Sloe Gin Biz,Smoozer,Plunk,Sparkling Shire,Shea D Capture,Red Devolution,Cryptic Code
05-01-2023 12:46:20.345453,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:21.750950,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 6.95)","(7.0, 14.0, 12.25)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:23.188026,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.9242105263157896)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.8, 5.016666666666667)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:24.662254,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.9242105263157896)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.016666666666667)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:26.157054,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 7.9125)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:27.891491,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 7.9125)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:29.498634,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 7.9125)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:31.102206,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:32.554500,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:34.029548,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:35.415019,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:36.854069,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:38.234027,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:39.626015,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:41.144028,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:42.565499,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:44.420199,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:46.171585,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:47.745008,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:49.356818,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:50.725815,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:52.210189,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:53.535426,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:55.052754,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:56.525024,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:57.946462,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:59.401595,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:00.945086,"(19.0, 85.0, 31.0)","(12.0, 230.0, 157.0)","(6.0, 19.5, 16.575)","(7.0, 13.0, 10.875)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 20.0)","(5.5, 9.6, 5.183333333333334)","(7.0, 14.5, 11.642857142857142)","(11.0, 34.0, 19.9)"
05-01-2023 12:47:02.545158,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 10.875)","(2.3, 3.0, 2.939047619047619)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:04.037925,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 10.875)","(2.3, 3.0, 2.939047619047619)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:05.554575,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.951304347826087)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:07.069715,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:08.747304,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:10.266743,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:11.765865,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:13.517990,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:15.260638,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:16.968992,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:18.557090,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.266666666666667)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:19.991452,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 6.475)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:21.370114,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.9495999999999998)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 8.028571428571428)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:22.737370,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.9495999999999998)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.640000000000001)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:24.116780,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.9495999999999998)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.5, 12.277777777777779)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:25.675936,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.5, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:27.188834,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:28.751232,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:30.576835,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:32.165561,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:33.685391,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:35.051976,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:36.453148,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:37.874894,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:39.277682,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:40.694253,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:42.032542,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:43.429048,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:44.835314,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:46.283417,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:47.702890,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:49.011297,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:50.349469,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:51.637497,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:52.822578,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:54.096983,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:55.355605,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
05-01-2023 12:47:56.694169,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.2)","(7.0, 13.0, 11.454545454545455)","(2.3, 3.0, 2.953333333333333)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.4, 5.56)","(7.0, 14.0, 11.666666666666666)","(11.0, 34.0, 16.75)"
