,Toms The One,Ravioli,Senorita Bonita,Sketchy Comrade,Greek Inquisitor,Lenny Boy,Mazy Girl,Perpetual
15-12-2022 13:58:48.216039,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:49.225283,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:50.260937,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:51.284698,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:52.332501,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:53.612042,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 164.0)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:54.735169,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:55.828338,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:56.942626,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:57.975494,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:59.156401,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:00.345688,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:01.580908,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:02.742206,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:03.854869,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:04.981063,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:06.065606,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:07.050532,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:08.036061,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:09.098818,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:10.305314,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:11.478396,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:12.616518,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.6, 5.1)","(3.9, 7.6, 5.41)","(10.0, 24.0, 15.9)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.2)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:13.665508,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.4399999999999995)","(10.0, 24.0, 15.9)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.2)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:14.745608,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.4399999999999995)","(10.0, 24.0, 14.25)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:15.860831,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.4399999999999995)","(10.0, 24.0, 14.25)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:16.964027,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.4399999999999995)","(10.0, 24.0, 14.25)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.257142857142856)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:17.992206,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.5600000000000005)","(10.0, 24.0, 14.25)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.257142857142856)","(6.5, 13.0, 10.666666666666666)"
15-12-2022 13:59:19.078298,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.5600000000000005)","(10.0, 24.0, 18.42857142857143)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.257142857142856)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:20.171342,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.5600000000000005)","(10.0, 24.0, 20.1)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.7)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:21.303807,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 4.9)","(10.0, 24.0, 17.75)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.085714285714285)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:22.349313,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 4.9)","(10.0, 24.0, 17.75)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.085714285714285)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:23.407488,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 4.9)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.45)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:24.454623,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.176923076923076)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.55)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:25.584954,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.55)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:26.779135,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.5)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:27.988144,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.4, 5.94)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.84)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:29.152829,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.2, 4.863636363636363)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:30.255706,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.0, 5.62)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.114285714285714)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:31.253083,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.572727272727272)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.5)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:32.347197,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 5.107692307692307)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.84)","(6.5, 12.5, 11.0)"
15-12-2022 13:59:33.516903,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:34.745698,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:35.895569,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:36.986524,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.085714285714285)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:38.011972,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.45)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:39.187317,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.5)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:40.576748,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:41.832848,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.333333333333332)","(6.5, 13.0, 11.0)"
15-12-2022 13:59:42.914634,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.0, 5.62)","(3.9, 7.6, 4.975)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.600000000000001)","(6.5, 13.0, 10.666666666666666)"
15-12-2022 13:59:44.000756,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 4.572727272727272)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.600000000000001)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:45.086266,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.600000000000001)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:46.287168,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 13.17142857142857)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:47.426229,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:48.559713,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.92)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:49.807998,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.7)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:50.959762,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:52.072135,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 16.8)","(41.0, 280.0, 158.0)","(41.0, 380.0, 103.45454545454545)","(7.5, 14.0, 12.6)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:53.210801,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.05)","(10.0, 24.0, 20.0)","(41.0, 280.0, 107.76470588235294)","(41.0, 380.0, 154.66666666666669)","(7.5, 14.0, 11.0)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:54.287208,"(2.7, 3.35, 2.984545454545455)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.4, 4.6)","(10.0, 22.0, 18.666666666666668)","(41.0, 280.0, 107.76470588235294)","(41.0, 380.0, 154.66666666666669)","(7.5, 14.0, 12.92)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:55.362614,"(2.7, 3.35, 3.065)","(3.8, 6.6, 6.1)","(3.9, 7.2, 5.1)","(10.0, 22.0, 18.666666666666668)","(41.0, 280.0, 107.76470588235294)","(41.0, 380.0, 154.66666666666669)","(7.5, 14.0, 12.92)","(6.5, 12.5, 10.666666666666666)"
15-12-2022 13:59:56.453820,"(2.7, 3.35, 3.065)","(3.8, 6.6, 6.1)","(3.9, 7.2, 5.1)","(10.0, 22.0, 18.666666666666668)","(41.0, 280.0, 107.76470588235294)","(41.0, 380.0, 154.66666666666669)","(7.5, 14.0, 12.7)","(6.5, 12.5, 10.666666666666666)"
