,Frosty Girl,Purple Flirt,Chidobe,Cracking Force,Winlock Lloyd,Authority,Starlight Blaze,Rubys Me Mum
04-01-2023 15:37:41.773828,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:43.226032,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:44.621161,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:45.862132,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:47.143905,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:48.413607,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:49.619804,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.318181818181818)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:50.798935,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.81578947368421)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:52.039042,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.81578947368421)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:53.303893,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.81578947368421)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:54.505265,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:55.713498,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:56.949181,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:58.078582,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:59.258683,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:00.457259,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:01.637542,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:02.911282,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:04.190592,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:05.409175,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:06.712570,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:08.119372,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:09.316446,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:10.568754,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:11.827649,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:13.052344,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:14.218485,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:15.377657,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:16.543123,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:17.613098,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:18.732057,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.600000000000001)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:19.974564,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:21.191284,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:22.373420,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:23.588605,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:24.786698,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:25.954517,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:27.019544,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:28.209267,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:29.300531,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.39090909090909)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:30.388292,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:31.494450,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:32.601634,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:33.714392,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:34.764650,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:35.829610,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:36.837968,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:37.874173,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:38.955704,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:40.080696,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:41.116453,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:42.199926,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:43.247394,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:44.269356,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:45.462790,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:46.575098,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:47.613632,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:48.761874,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:49.915170,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:50.928865,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:51.914962,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:52.966576,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:53.970020,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:55.084493,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:56.204629,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:38:57.272307,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 11.592307692307692)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
