,Serene Warrior,Perkeo,Mikeys Jewel,Switchrattlenroll,Wicked T,Car Lady,Holmdel Park,Folk Hero,Teacher Drama
12-01-2023 11:27:56.552080,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.1354545454545453)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:57.686931,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.1354545454545453)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:59.013751,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.15)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:00.210120,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.15)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:01.404693,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:02.538750,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:03.649567,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:04.704679,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:05.793253,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:06.882803,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:08.065214,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.2357142857142858)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:09.214634,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.2142857142857144)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:10.519414,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.202857142857143)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:11.784610,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.809090909090909)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.202857142857143)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:13.052400,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 5.015384615384615)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 7.91)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.202857142857143)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:14.304578,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.523076923076923)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.202857142857143)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:15.422945,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.202857142857143)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:16.482517,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.5, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:17.629714,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:18.755381,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:19.910747,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:21.139757,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:22.303812,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:23.393904,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:24.614180,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 3.4450000000000003)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:26.306117,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.0, 9.2)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.6, 2.513333333333333)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:28:27.849965,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.8)","(26.0, 230.0, 199.78571428571428)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 10.0, 8.085714285714285)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.98, 2.626315789473684)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:29.137946,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.8, 8.0)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.98, 2.578181818181818)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:30.584514,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.6, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.783529411764706)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:32.065102,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.6766666666666667)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:33.394970,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.717142857142857)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:34.633051,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.717142857142857)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:35.960839,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 131.125)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.6933333333333334)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:37.121964,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.6933333333333334)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:38.259418,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.7822222222222224)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:39.525177,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.7725)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:40.760975,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.71)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:41.998099,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.7600000000000002)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:43.400119,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.832727272727273)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:44.671515,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.8666666666666667)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:45.940678,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 157.66666666666666)","(2.9, 2.96, 2.8666666666666667)","(17.0, 150.0, 127.16666666666666)"
12-01-2023 11:28:47.192642,"(3.8, 7.0, 6.1875)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 170.0, 130.0)","(6.5, 9.8, 9.05)","(16.0, 230.0, 22.5)","(2.9, 2.96, 2.92)","(17.0, 150.0, 26.571428571428573)"
12-01-2023 11:28:48.414212,"(3.8, 7.0, 4.359375)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 9.8, 9.05)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.908)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:49.647308,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 17.5, 10.8125)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.88)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:50.883324,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 17.5, 14.45)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.88)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:52.149651,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 17.0, 14.45)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.88)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:53.424418,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 17.0, 11.385714285714286)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.88)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:54.671913,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 193.75)","(19.0, 150.0, 115.0)","(6.5, 17.5, 11.385714285714286)","(16.0, 32.0, 22.5)","(2.9, 2.96, 2.464514106583072)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:55.921482,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.25)","(31.0, 230.0, 175.75)","(19.0, 150.0, 115.0)","(6.5, 17.5, 11.385714285714286)","(16.0, 32.0, 27.25)","(2.9, 2.64, 2.5092307692307694)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:57.226778,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 5.9)","(26.0, 230.0, 177.375)","(31.0, 230.0, 175.75)","(19.0, 150.0, 145.0)","(6.5, 17.5, 14.45)","(16.0, 32.0, 27.25)","(2.9, 2.62, 2.86)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:58.426942,"(3.8, 6.6, 5.887499999999999)","(3.8, 7.2, 6.8)","(26.0, 230.0, 177.375)","(31.0, 230.0, 175.75)","(19.0, 190.0, 145.0)","(6.5, 17.0, 14.45)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.86)","(17.0, 32.0, 22.5)"
12-01-2023 11:28:59.610055,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 175.75)","(19.0, 190.0, 152.5)","(6.5, 17.0, 14.825)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.86)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:00.772593,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 17.5, 12.0)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.86)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:01.995958,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 17.0, 12.0)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.8)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:03.266773,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 17.0, 13.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.864)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:04.559331,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 16.5, 13.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.864)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:05.863026,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 16.5, 13.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.864)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:07.206781,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 8.214285714285715)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 16.5, 9.833333333333334)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.776)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:08.518088,"(3.8, 6.6, 5.887499999999999)","(3.8, 12.5, 14.0)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 15.5, 12.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.776)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:09.748665,"(3.8, 6.6, 5.887499999999999)","(3.8, 34.0, 14.0)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 15.0, 12.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.776)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:10.984835,"(3.8, 6.6, 5.887499999999999)","(3.8, 34.0, 14.0)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 15.0, 12.333333333333332)","(16.0, 32.0, 27.25)","(2.9, 2.96, 2.776)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:12.209428,"(3.8, 6.6, 5.887499999999999)","(3.8, 34.0, 27.09090909090909)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 169.0)","(6.5, 15.0, 12.333333333333332)","(17.0, 32.0, 27.25)","(2.9, 2.96, 2.776)","(17.0, 32.0, 22.5)"
12-01-2023 11:29:13.417437,"(3.8, 6.6, 5.887499999999999)","(3.8, 32.0, 20.92)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 200.0, 154.0)","(6.5, 15.0, 10.2)","(17.0, 32.0, 28.75)","(2.9, 2.96, 2.632)","(17.0, 32.0, 23.5)"
12-01-2023 11:29:14.617810,"(3.8, 6.6, 5.887499999999999)","(3.8, 9.0, 7.12)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 210.0, 154.0)","(6.5, 15.0, 10.2)","(17.0, 34.0, 28.75)","(2.9, 2.94, 2.632)","(17.0, 34.0, 23.5)"
12-01-2023 11:29:15.940997,"(3.8, 6.6, 5.887499999999999)","(3.8, 9.0, 7.12)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 210.0, 154.0)","(6.5, 15.0, 12.0)","(17.0, 34.0, 28.75)","(2.9, 2.94, 2.632)","(17.0, 34.0, 23.5)"
12-01-2023 11:29:17.181290,"(3.8, 6.6, 5.887499999999999)","(3.8, 9.0, 7.12)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 210.0, 154.0)","(6.5, 14.5, 12.0)","(17.0, 34.0, 28.75)","(2.9, 2.94, 2.632)","(17.0, 34.0, 23.5)"
12-01-2023 11:29:18.411524,"(3.8, 6.6, 5.887499999999999)","(3.8, 9.0, 7.12)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 210.0, 154.0)","(6.5, 14.5, 11.25)","(17.0, 34.0, 28.75)","(2.9, 2.94, 2.632)","(17.0, 34.0, 23.5)"
12-01-2023 11:29:19.567598,"(3.8, 6.6, 5.887499999999999)","(3.8, 9.0, 7.12)","(26.0, 230.0, 177.375)","(31.0, 230.0, 178.0)","(19.0, 210.0, 131.8)","(6.5, 15.5, 12.333333333333332)","(17.0, 34.0, 28.75)","(2.9, 2.94, 2.68)","(17.0, 34.0, 23.5)"
