,Splash Some Cash,Run For Glory,Heir Of Tavistock,Tubby Two Tracks,Grinzinger Allee,Midnight Brawler,Metro Legend,Annika,Obi,Star Espresso,Enbarr,Fox Dor
07-01-2023 16:10:42.607455,"(20.0, 26.0, 25.23076923076923)","(20.0, 28.0, 26.99310344827586)","(7.0, 8.2, 8.118446601941747)","(12.0, 15.0, 14.919354838709678)","(31.0, 55.0, 51.63636363636363)","(71.0, 110.0, 107.11538461538461)","(3.4, 3.95, 3.858088235294118)","(8.5, 10.5, 10.343385214007782)","(6.0, 6.4, 6.376722090261283)","(7.5, 9.0, 8.919702602230483)","(101.0, 340.0, 335.0)","(11.0, 13.0, 13.214673913043478)"
07-01-2023 16:10:44.131319,"(20.0, 26.0, 25.23076923076923)","(20.0, 28.0, 27.268817204301076)","(7.0, 8.2, 8.182771535580523)","(12.0, 15.0, 14.919354838709678)","(31.0, 55.0, 51.964285714285715)","(71.0, 110.0, 107.11538461538461)","(3.4, 3.9, 3.8498437500000002)","(8.5, 10.5, 10.350485436893203)","(6.0, 6.4, 6.3907473309608545)","(7.5, 9.0, 8.927272727272728)","(101.0, 340.0, 316.0)","(11.0, 13.5, 13.186666666666667)"
07-01-2023 16:10:45.627995,"(20.0, 26.0, 25.23076923076923)","(21.0, 28.0, 27.268817204301076)","(7.0, 8.2, 8.182771535580523)","(12.0, 15.0, 14.919354838709678)","(41.0, 55.0, 51.964285714285715)","(71.0, 110.0, 107.11538461538461)","(3.4, 3.85, 3.854507042253521)","(8.5, 10.5, 10.347524752475248)","(6.0, 6.4, 6.283399209486166)","(8.0, 9.0, 8.874587458745875)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.5, 13.24375)"
07-01-2023 16:10:47.121447,"(20.0, 26.0, 25.23076923076923)","(21.0, 28.0, 27.10828025477707)","(7.0, 8.2, 8.141002949852506)","(12.0, 15.0, 14.919354838709678)","(41.0, 55.0, 51.693548387096776)","(71.0, 110.0, 107.11538461538461)","(3.4, 3.9, 3.907615894039735)","(8.5, 10.5, 10.341889117043122)","(6.0, 6.4, 6.300810372771475)","(8.0, 9.0, 8.85974025974026)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.5, 13.317073170731707)"
07-01-2023 16:10:48.581612,"(20.0, 26.0, 25.23076923076923)","(21.0, 28.0, 26.870967741935484)","(7.0, 8.2, 8.11159420289855)","(12.0, 15.0, 14.93421052631579)","(41.0, 55.0, 51.574074074074076)","(71.0, 110.0, 107.95454545454545)","(3.4, 3.95, 3.9193593314763233)","(8.5, 10.5, 10.339583333333334)","(6.0, 6.4, 6.303781512605043)","(8.0, 9.0, 8.86789667896679)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.5, 13.299107142857142)"
07-01-2023 16:10:50.058981,"(20.0, 26.0, 25.21212121212121)","(21.0, 27.0, 26.88)","(7.0, 8.2, 8.115463917525773)","(12.0, 15.0, 14.94)","(41.0, 55.0, 51.46551724137931)","(71.0, 110.0, 107.3529411764706)","(3.4, 3.95, 3.9300865800865803)","(8.5, 10.5, 10.33366935483871)","(6.0, 6.4, 6.333241758241758)","(8.0, 9.0, 8.87479674796748)","(101.0, 340.0, 297.14285714285717)","(11.0, 13.5, 13.318548387096774)"
07-01-2023 16:10:51.542962,"(20.0, 26.0, 25.21212121212121)","(21.0, 27.0, 26.88888888888889)","(7.0, 8.2, 8.092413793103448)","(12.0, 15.0, 15.171875)","(41.0, 55.0, 51.796875)","(71.0, 110.0, 99.03846153846153)","(3.4, 3.95, 3.8232824427480914)","(8.5, 10.5, 10.335470085470085)","(6.0, 6.4, 6.2325)","(8.0, 9.0, 8.885140562248996)","(101.0, 340.0, 296.6666666666667)","(11.0, 13.5, 13.673295454545455)"
07-01-2023 16:10:53.089620,"(20.0, 26.0, 25.263157894736842)","(21.0, 27.0, 27.135483870967743)","(7.0, 8.2, 7.907801418439716)","(12.0, 15.5, 15.323943661971832)","(41.0, 55.0, 52.5)","(71.0, 100.0, 99.55555555555556)","(3.4, 3.85, 3.822337042925278)","(8.5, 10.5, 10.430025445292621)","(6.0, 6.4, 6.272868217054264)","(8.0, 9.0, 8.915882352941177)","(101.0, 330.0, 300.0)","(11.0, 14.0, 13.763948497854077)"
07-01-2023 16:10:54.670780,"(20.0, 26.0, 25.571428571428573)","(21.0, 28.0, 27.450819672131146)","(7.0, 8.0, 7.81437908496732)","(12.0, 15.5, 15.402439024390244)","(41.0, 55.0, 52.747252747252745)","(71.0, 100.0, 107.76595744680851)","(3.4, 3.85, 3.8218901453957996)","(8.5, 10.5, 10.863839285714286)","(6.0, 6.4, 6.280829015544041)","(8.0, 9.0, 8.926666666666668)","(101.0, 330.0, 294.2857142857143)","(11.0, 14.0, 13.881944444444445)"
07-01-2023 16:10:56.126583,"(20.0, 26.0, 25.571428571428573)","(21.0, 28.0, 27.450819672131146)","(7.0, 8.0, 7.81437908496732)","(12.0, 15.5, 15.402439024390244)","(41.0, 55.0, 52.747252747252745)","(71.0, 110.0, 107.76595744680851)","(3.4, 3.85, 3.8218901453957996)","(9.0, 11.0, 10.863839285714286)","(6.0, 6.4, 6.280829015544041)","(8.0, 9.0, 8.926666666666668)","(101.0, 320.0, 294.2857142857143)","(11.0, 14.0, 13.881944444444445)"
07-01-2023 16:10:57.648480,"(20.0, 26.0, 25.608695652173914)","(21.0, 28.0, 27.450819672131146)","(7.0, 7.8, 7.758029978586723)","(12.0, 15.0, 14.931034482758621)","(41.0, 55.0, 52.747252747252745)","(71.0, 110.0, 107.75)","(3.4, 3.85, 3.823533619456366)","(9.0, 11.0, 10.88262910798122)","(6.0, 6.4, 6.265466101694916)","(8.0, 9.0, 8.926478149100257)","(101.0, 320.0, 297.5)","(11.0, 14.0, 13.97715736040609)"
07-01-2023 16:10:59.092706,"(20.0, 26.0, 25.608695652173914)","(21.0, 28.0, 27.450819672131146)","(7.0, 7.8, 7.748484848484848)","(13.0, 15.0, 14.939130434782609)","(41.0, 55.0, 52.747252747252745)","(71.0, 110.0, 107.75)","(3.4, 3.85, 3.819444444444444)","(9.0, 11.0, 10.889867841409691)","(6.0, 6.4, 6.265180467091295)","(8.0, 9.0, 8.904498269896195)","(101.0, 310.0, 292.85714285714283)","(11.0, 14.0, 13.97715736040609)"
07-01-2023 16:11:00.591330,"(20.0, 26.0, 25.608695652173914)","(21.0, 28.0, 27.51094890510949)","(7.0, 7.8, 7.746759259259259)","(13.0, 15.5, 15.122641509433961)","(41.0, 55.0, 52.747252747252745)","(71.0, 110.0, 107.75)","(3.4, 3.85, 3.80814332247557)","(9.0, 11.0, 10.880710659898478)","(6.0, 6.4, 6.269598965071151)","(8.0, 9.0, 8.880442804428045)","(101.0, 310.0, 300.0)","(11.0, 14.0, 13.935567010309278)"
07-01-2023 16:11:02.146437,"(20.0, 26.0, 25.608695652173914)","(21.0, 28.0, 27.51094890510949)","(7.0, 7.8, 7.746759259259259)","(13.0, 15.5, 15.058823529411764)","(41.0, 55.0, 52.88659793814433)","(71.0, 110.0, 107.8048780487805)","(3.4, 3.85, 3.8093478260869564)","(9.0, 11.0, 10.883333333333333)","(6.0, 6.4, 6.270769230769231)","(8.0, 9.0, 8.888135593220339)","(101.0, 310.0, 275.0)","(11.0, 14.0, 13.878378378378379)"
07-01-2023 16:11:03.719277,"(20.0, 26.0, 25.166666666666668)","(21.0, 28.0, 26.885714285714286)","(7.0, 7.8, 7.68986301369863)","(13.0, 15.5, 15.295774647887324)","(41.0, 55.0, 53.2183908045977)","(71.0, 110.0, 108.04347826086956)","(3.4, 3.85, 3.8084444444444445)","(9.0, 11.0, 10.904564315352697)","(6.0, 6.4, 6.249299719887955)","(8.0, 9.0, 8.877777777777778)","(101.0, 300.0, 261.53846153846155)","(11.0, 14.0, 13.878378378378379)"
07-01-2023 16:11:05.183804,"(20.0, 26.0, 25.166666666666668)","(21.0, 27.0, 27.22972972972973)","(7.0, 7.8, 7.701895734597156)","(13.0, 15.5, 15.456)","(41.0, 55.0, 52.6605504587156)","(71.0, 110.0, 108.2)","(3.4, 3.85, 3.8186241610738256)","(9.0, 11.0, 10.932481751824817)","(6.0, 6.4, 6.12868068833652)","(8.0, 9.0, 8.893203883495145)","(101.0, 300.0, 270.8333333333333)","(11.0, 14.0, 13.934579439252337)"
07-01-2023 16:11:06.615202,"(20.0, 26.0, 25.758333333333333)","(21.0, 28.0, 27.59285714285714)","(7.0, 7.8, 7.738532110091743)","(13.0, 15.5, 15.770386266094421)","(41.0, 55.0, 53.197278911564624)","(71.0, 110.0, 107.6923076923077)","(3.4, 3.85, 3.8312374245472838)","(9.0, 11.0, 11.325675675675676)","(6.0, 6.2, 6.12390180878553)","(8.0, 9.0, 8.935420743639922)","(101.0, 300.0, 291.25)","(11.0, 14.0, 14.376923076923077)"
07-01-2023 16:11:08.166850,"(20.0, 26.0, 25.758333333333333)","(21.0, 28.0, 27.59285714285714)","(7.0, 7.8, 7.738532110091743)","(13.0, 16.0, 15.770386266094421)","(41.0, 55.0, 53.197278911564624)","(71.0, 110.0, 107.6923076923077)","(3.4, 3.85, 3.8312374245472838)","(9.0, 11.5, 11.325675675675676)","(6.0, 6.2, 6.12390180878553)","(8.0, 9.0, 8.935420743639922)","(101.0, 300.0, 291.25)","(11.0, 14.5, 14.376923076923077)"
07-01-2023 16:11:09.677896,"(20.0, 26.0, 25.858490566037737)","(21.0, 28.0, 27.57777777777778)","(7.0, 7.8, 7.703211009174312)","(13.0, 16.0, 15.884615384615385)","(41.0, 55.0, 53.098591549295776)","(71.0, 110.0, 103.125)","(3.4, 3.85, 3.8300436205016357)","(9.0, 11.5, 11.335195530726256)","(6.0, 6.2, 6.3696)","(8.0, 9.0, 8.946341463414635)","(101.0, 300.0, 275.0)","(11.0, 14.5, 14.453703703703704)"
07-01-2023 16:11:11.377432,"(20.0, 26.0, 25.839622641509433)","(21.0, 28.0, 27.625)","(7.0, 7.8, 7.71041257367387)","(13.0, 16.0, 15.418518518518518)","(41.0, 55.0, 52.97687861271676)","(71.0, 110.0, 98.54545454545455)","(3.4, 3.85, 3.831704410011919)","(9.0, 11.5, 11.334733893557424)","(6.0, 6.4, 6.283040935672515)","(8.0, 9.0, 8.933626373626375)","(101.0, 300.0, 283.3333333333333)","(11.0, 14.5, 14.357142857142858)"
07-01-2023 16:11:13.028578,"(20.0, 26.0, 25.839622641509433)","(21.0, 28.0, 27.625)","(7.0, 7.8, 7.71041257367387)","(13.0, 15.5, 15.418518518518518)","(41.0, 55.0, 52.97687861271676)","(71.0, 100.0, 98.54545454545455)","(3.4, 3.85, 3.831704410011919)","(9.0, 11.5, 11.334733893557424)","(6.0, 6.4, 6.283040935672515)","(8.0, 9.0, 8.933626373626375)","(101.0, 290.0, 283.3333333333333)","(11.0, 14.5, 14.357142857142858)"
07-01-2023 16:11:14.744030,"(20.0, 26.0, 25.97590361445783)","(21.0, 29.0, 28.21698113207547)","(7.0, 7.8, 7.7014336917562725)","(13.0, 15.5, 15.434615384615384)","(41.0, 55.0, 53.30246913580247)","(71.0, 100.0, 98.91304347826087)","(3.4, 3.8, 3.8030674846625767)","(9.0, 11.5, 11.39520202020202)","(6.0, 6.2, 6.166499162479062)","(8.0, 9.4, 9.257777777777777)","(101.0, 280.0, 257.5)","(11.0, 14.5, 14.402730375426621)"
07-01-2023 16:11:16.249702,"(20.0, 26.0, 24.861702127659573)","(21.0, 29.0, 28.385185185185186)","(7.0, 7.8, 7.6573493975903615)","(13.0, 15.5, 15.405555555555555)","(41.0, 55.0, 53.19078947368421)","(71.0, 100.0, 98.80952380952381)","(3.4, 3.85, 3.8203389830508474)","(9.0, 11.5, 11.426315789473684)","(6.0, 6.2, 6.1166562694946975)","(8.0, 9.4, 9.097749196141478)","(101.0, 270.0, 183.33333333333334)","(11.0, 14.5, 13.8925)"
07-01-2023 16:11:17.842080,"(20.0, 25.0, 24.861702127659573)","(21.0, 29.0, 28.385185185185186)","(7.0, 7.8, 7.6573493975903615)","(13.0, 15.5, 15.212962962962964)","(41.0, 55.0, 52.857142857142854)","(71.0, 100.0, 95.0)","(3.4, 3.85, 3.81797619047619)","(9.0, 11.5, 11.606643356643357)","(6.0, 6.2, 6.112787723785166)","(8.0, 9.2, 9.057768924302788)","(101.0, 270.0, 315.45454545454544)","(11.0, 14.0, 13.894607843137255)"
07-01-2023 16:11:19.270338,"(20.0, 24.0, 23.866666666666667)","(21.0, 29.0, 28.11842105263158)","(7.0, 7.6, 7.416901408450705)","(13.0, 15.5, 15.212962962962964)","(41.0, 55.0, 52.857142857142854)","(71.0, 100.0, 95.0)","(3.4, 3.85, 3.81797619047619)","(9.0, 12.0, 11.606643356643357)","(6.0, 6.2, 6.112787723785166)","(8.0, 9.2, 9.057768924302788)","(101.0, 330.0, 315.45454545454544)","(11.0, 14.0, 13.91139240506329)"
07-01-2023 16:11:20.868695,"(20.0, 24.0, 23.657894736842106)","(21.0, 29.0, 28.45967741935484)","(7.0, 7.6, 7.461351819757366)","(13.0, 15.5, 15.357142857142858)","(41.0, 55.0, 53.18421052631579)","(71.0, 95.0, 93.05555555555556)","(3.4, 3.85, 3.807471264367816)","(9.0, 12.0, 11.70997375328084)","(6.0, 6.2, 6.119760479041917)","(8.0, 9.2, 9.318343195266273)","(101.0, 340.0, 310.0)","(11.0, 14.0, 13.66891891891892)"
07-01-2023 16:11:22.704795,"(20.0, 24.0, 23.8)","(21.0, 29.0, 28.76086956521739)","(7.0, 7.6, 7.103304347826087)","(13.0, 15.5, 15.376984126984127)","(41.0, 55.0, 53.24873096446701)","(71.0, 95.0, 93.38235294117646)","(3.4, 3.85, 3.7855924596050268)","(9.0, 12.0, 11.764172335600907)","(6.0, 6.2, 6.042919389978214)","(8.0, 9.4, 9.586363636363636)","(101.0, 330.0, 245.0)","(11.0, 14.0, 13.627906976744185)"
07-01-2023 16:11:24.620869,"(20.0, 24.0, 24.825757575757574)","(21.0, 29.0, 29.607142857142858)","(7.0, 7.2, 7.075084175084175)","(13.0, 15.5, 15.584269662921349)","(41.0, 55.0, 53.607142857142854)","(71.0, 95.0, 97.89473684210526)","(3.4, 3.8, 3.8283350050150453)","(9.0, 12.0, 11.826666666666666)","(6.0, 6.0, 5.98153078202995)","(8.0, 9.8, 9.762)","(101.0, 320.0, 311.1111111111111)","(11.0, 14.0, 13.798342541436464)"
07-01-2023 16:11:26.328976,"(20.0, 25.0, 25.612903225806452)","(21.0, 30.0, 29.601190476190474)","(7.0, 7.2, 7.0702797202797205)","(13.0, 16.0, 15.741258741258742)","(41.0, 55.0, 53.85496183206107)","(71.0, 100.0, 98.80952380952381)","(3.4, 3.85, 3.8354005167958656)","(9.0, 12.0, 11.818499127399651)","(5.5, 6.0, 5.964855072463768)","(8.0, 9.8, 9.759537572254336)","(101.0, 320.0, 311.1111111111111)","(11.0, 13.5, 13.445205479452055)"
07-01-2023 16:11:28.184283,"(20.0, 26.0, 25.785714285714285)","(21.0, 30.0, 29.615853658536587)","(7.0, 7.2, 7.035140997830803)","(13.0, 16.0, 15.706611570247935)","(41.0, 55.0, 53.76865671641791)","(71.0, 100.0, 98.80952380952381)","(3.4, 3.85, 3.862185792349727)","(9.0, 12.0, 11.839506172839506)","(5.5, 6.0, 5.949162011173184)","(8.0, 9.8, 9.730386740331491)","(101.0, 310.0, 305.0)","(11.0, 13.5, 13.434782608695652)"
07-01-2023 16:11:29.787927,"(20.0, 26.0, 25.946428571428573)","(21.0, 30.0, 29.63953488372093)","(7.0, 7.2, 6.930526315789473)","(13.0, 16.0, 15.63953488372093)","(41.0, 55.0, 52.7906976744186)","(71.0, 100.0, 103.63636363636364)","(3.4, 3.9, 3.8352546916890082)","(9.0, 12.0, 11.826923076923077)","(5.5, 6.0, 6.03973063973064)","(8.0, 9.8, 9.56235294117647)","(101.0, 310.0, 280.0)","(11.0, 13.5, 13.479166666666666)"
07-01-2023 16:11:31.387646,"(20.0, 26.0, 24.870588235294118)","(21.0, 30.0, 28.927083333333332)","(7.0, 7.0, 6.859016393442623)","(13.0, 16.0, 15.642011834319527)","(41.0, 55.0, 52.7906976744186)","(71.0, 110.0, 103.90625)","(3.4, 3.85, 3.937171052631579)","(9.0, 12.0, 11.82457627118644)","(5.5, 6.2, 5.96694560669456)","(8.0, 9.6, 9.38581560283688)","(101.0, 300.0, 266.6666666666667)","(11.0, 14.0, 13.698198198198199)"
07-01-2023 16:11:32.906461,"(20.0, 25.0, 25.513513513513512)","(21.0, 29.0, 27.666666666666668)","(7.0, 7.0, 6.859999999999999)","(13.0, 16.0, 15.601123595505618)","(41.0, 55.0, 52.81609195402299)","(71.0, 110.0, 104.0909090909091)","(3.4, 4.1, 4.017365269461078)","(9.0, 12.0, 11.984597156398104)","(5.5, 6.0, 5.757401812688822)","(8.0, 9.4, 9.495454545454546)","(101.0, 300.0, 255.0)","(11.0, 14.0, 13.698170731707316)"
07-01-2023 16:11:34.591848,"(20.0, 26.0, 23.137931034482758)","(21.0, 28.0, 27.666666666666668)","(7.0, 7.0, 6.882165605095541)","(13.0, 16.0, 15.628205128205128)","(41.0, 55.0, 52.75147928994083)","(71.0, 110.0, 104.0909090909091)","(3.4, 4.1, 4.02908404154863)","(9.0, 12.0, 11.98165137614679)","(5.5, 5.8, 5.775535168195718)","(8.0, 9.6, 9.47948717948718)","(101.0, 280.0, 255.0)","(11.0, 14.0, 13.651408450704226)"
07-01-2023 16:11:36.224718,"(20.0, 25.0, 23.555555555555557)","(21.0, 28.0, 27.576271186440678)","(7.0, 7.0, 6.880921052631579)","(13.0, 16.0, 15.766666666666667)","(41.0, 55.0, 52.75147928994083)","(71.0, 110.0, 104.0909090909091)","(3.4, 4.1, 4.034986945169712)","(9.0, 12.0, 12.298387096774194)","(5.5, 5.8, 5.767806267806268)","(8.0, 9.6, 9.472151898734177)","(101.0, 280.0, 242.5)","(11.0, 13.5, 13.369047619047619)"
07-01-2023 16:11:37.885809,"(20.0, 24.0, 23.555555555555557)","(21.0, 28.0, 27.576271186440678)","(7.0, 7.0, 6.880921052631579)","(13.0, 16.0, 15.791666666666666)","(41.0, 55.0, 52.794117647058826)","(71.0, 110.0, 104.42857142857143)","(3.4, 4.1, 4.039799635701275)","(9.0, 12.5, 12.39139344262295)","(5.5, 5.8, 5.741100323624596)","(8.0, 9.6, 9.616216216216216)","(101.0, 280.0, 190.58823529411765)","(11.0, 13.5, 13.329710144927537)"
07-01-2023 16:11:39.362858,"(20.0, 24.0, 23.4)","(21.0, 28.0, 27.583333333333332)","(6.5, 7.0, 6.867701863354037)","(13.0, 16.0, 15.791666666666666)","(41.0, 55.0, 52.794117647058826)","(71.0, 110.0, 104.42857142857143)","(3.4, 4.1, 4.039799635701275)","(9.0, 12.5, 12.39139344262295)","(5.5, 5.8, 5.731670822942643)","(8.0, 9.8, 9.012121212121212)","(101.0, 200.0, 190.5)","(12.0, 13.5, 13.472727272727273)"
07-01-2023 16:11:40.884409,"(20.0, 27.0, 24.818181818181817)","(21.0, 27.0, 26.856287425149702)","(6.5, 7.2, 7.032567849686847)","(13.0, 16.0, 16.18141592920354)","(41.0, 55.0, 53.098958333333336)","(71.0, 110.0, 105.66666666666667)","(3.4, 4.1, 4.053719723183391)","(9.0, 12.5, 12.310734463276836)","(5.5, 5.8, 5.690457516339869)","(8.0, 9.2, 9.141599999999999)","(101.0, 200.0, 182.72727272727272)","(12.0, 13.5, 13.800751879699249)"
07-01-2023 16:11:42.400659,"(19.0, 26.0, 25.454545454545453)","(21.0, 28.0, 27.658227848101266)","(6.5, 7.0, 6.943898573692551)","(13.0, 16.5, 16.48780487804878)","(41.0, 55.0, 53.1151832460733)","(71.0, 110.0, 106.28571428571429)","(3.4, 4.1, 4.059745425616547)","(10.0, 12.5, 12.308290155440414)","(5.5, 5.8, 5.6965625)","(8.0, 9.2, 8.972435897435897)","(101.0, 200.0, 191.66666666666666)","(11.0, 14.0, 13.77450980392157)"
07-01-2023 16:11:44.028832,"(19.0, 26.0, 26.653846153846153)","(21.0, 28.0, 29.39)","(6.5, 7.0, 7.039285714285715)","(13.0, 16.5, 16.931818181818183)","(41.0, 55.0, 54.172413793103445)","(71.0, 110.0, 115.33333333333333)","(3.4, 4.1, 3.8913205980066445)","(10.0, 12.5, 11.825147347740668)","(5.5, 5.7, 5.849277266754271)","(8.0, 9.0, 9.064)","(101.0, 200.0, 195.83333333333334)","(11.0, 14.0, 14.365638766519824)"
07-01-2023 16:11:45.606292,"(19.0, 27.0, 26.755627009646304)","(21.0, 30.0, 29.519685039370078)","(6.5, 7.2, 7.052173913043478)","(13.0, 17.0, 16.940594059405942)","(41.0, 55.0, 53.853503184713375)","(71.0, 120.0, 115.0)","(3.4, 3.9, 3.925261324041812)","(10.0, 12.0, 11.767123287671232)","(5.5, 5.9, 5.862003454231433)","(8.0, 9.4, 9.140997830802602)","(101.0, 200.0, 195.83333333333334)","(11.0, 14.5, 14.345864661654135)"
07-01-2023 16:11:47.375925,"(19.0, 27.0, 26.755627009646304)","(21.0, 30.0, 29.5546875)","(6.5, 7.2, 7.008181818181818)","(13.0, 17.0, 16.940594059405942)","(41.0, 55.0, 53.83870967741935)","(71.0, 120.0, 115.0)","(3.4, 3.95, 3.913456790123457)","(10.0, 12.0, 11.755458515283843)","(5.5, 5.9, 5.877966101694915)","(8.0, 9.2, 9.12330383480826)","(101.0, 200.0, 196.0)","(11.0, 14.5, 14.344106463878328)"
07-01-2023 16:11:48.938596,"(20.0, 27.0, 26.31111111111111)","(21.0, 30.0, 29.646551724137932)","(6.5, 7.2, 7.045787545787546)","(13.0, 17.0, 16.941176470588236)","(41.0, 55.0, 53.81578947368421)","(81.0, 120.0, 108.82352941176471)","(3.4, 3.95, 3.919381443298969)","(10.0, 12.0, 11.759574468085106)","(5.5, 5.9, 5.866539923954373)","(8.0, 9.2, 8.986710963455149)","(101.0, 200.0, 196.0)","(12.0, 14.5, 14.357142857142858)"
07-01-2023 16:11:50.497914,"(20.0, 27.0, 25.95373665480427)","(21.0, 30.0, 29.642201834862384)","(6.5, 7.2, 7.0714529914529916)","(13.0, 17.0, 17.25877192982456)","(41.0, 55.0, 53.81578947368421)","(81.0, 110.0, 109.0)","(3.4, 3.95, 3.917560975609756)","(10.0, 12.0, 11.649797570850202)","(5.5, 5.9, 5.843589743589743)","(8.0, 9.0, 8.987646076794658)","(101.0, 200.0, 196.0)","(12.0, 14.5, 14.303763440860216)"
