,Nelly Bigtime,Prodigal Guinness Nz,Mega Star,The Mighty Mondo Nz,Hezashadowplaya Nz,Miss Maravu,Rainbow Jet,Wotnow Swanee,Its Inevitable Nz
10-01-2023 18:01:15.841873,"(3.7, 6.8, 5.75)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:17.128848,"(3.7, 6.6, 5.84)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:18.383498,"(3.7, 6.6, 5.4125)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:19.600739,"(3.7, 6.4, 5.550000000000001)","(1.55, 99999, 99990)","(12.0, 24.0, 20.166666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:20.726646,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 20.166666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:21.931647,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 20.166666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:23.111388,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 20.166666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:24.272589,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 20.166666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:25.458325,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:26.694274,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:27.889401,"(3.7, 6.2, 5.985714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:29.124984,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:30.332695,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:31.537209,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:32.725397,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:34.065507,"(3.7, 6.2, 5.805263157894737)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:35.484318,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:36.786721,"(3.7, 6.2, 6.0125)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:38.046049,"(3.7, 6.2, 5.805263157894737)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:39.288217,"(3.7, 6.2, 5.805263157894737)","(1.55, 99999, 99990)","(12.0, 24.0, 21.0)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:40.607070,"(3.7, 6.2, 5.790909090909091)","(1.55, 99999, 99990)","(12.0, 24.0, 17.1)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 132.5)","(81.0, 200.0, 137.5)","(101.0, 99999, 99990)"
10-01-2023 18:01:41.760213,"(3.7, 6.2, 5.78)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:42.911107,"(3.7, 7.2, 6.800000000000001)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:44.110811,"(3.7, 7.0, 6.492307692307692)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:45.282380,"(3.7, 6.8, 5.691666666666666)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:46.399508,"(3.7, 6.8, 5.691666666666666)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:47.603957,"(3.7, 6.6, 5.9625)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:48.726848,"(3.7, 6.6, 5.9625)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:49.855055,"(3.7, 6.6, 6.239999999999999)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:51.052420,"(3.7, 6.6, 5.325)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:52.211986,"(3.7, 6.6, 5.325)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:53.371233,"(3.7, 6.6, 5.325)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:54.519794,"(3.7, 6.6, 5.325)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 24.75)","(71.0, 200.0, 119.0)","(81.0, 200.0, 125.0)","(101.0, 99999, 99990)"
10-01-2023 18:01:55.727556,"(3.7, 6.6, 5.325)","(1.55, 99999, 99990)","(12.0, 24.0, 18.25)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.666666666666668)","(71.0, 200.0, 132.5)","(81.0, 200.0, 137.5)","(101.0, 99999, 99990)"
10-01-2023 18:01:56.922802,"(3.7, 6.6, 5.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 16.8125)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 22.833333333333332)","(71.0, 200.0, 132.5)","(81.0, 200.0, 137.5)","(101.0, 99999, 99990)"
10-01-2023 18:01:58.102581,"(3.7, 6.6, 5.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 42.0, 26.0)","(71.0, 200.0, 132.5)","(81.0, 200.0, 137.5)","(101.0, 99999, 99990)"
10-01-2023 18:01:59.315038,"(3.7, 6.6, 6.222222222222221)","(1.55, 99999, 99990)","(12.0, 24.0, 19.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 40.0, 22.5)","(71.0, 200.0, 132.5)","(81.0, 200.0, 137.5)","(101.0, 99999, 99990)"
10-01-2023 18:02:00.559872,"(3.7, 6.6, 6.26)","(1.55, 99999, 99990)","(12.0, 24.0, 14.833333333333334)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 40.0, 25.333333333333332)","(71.0, 200.0, 132.5)","(81.0, 200.0, 110.71428571428572)","(101.0, 99999, 99990)"
10-01-2023 18:02:01.804756,"(3.7, 6.6, 5.946153846153846)","(1.55, 99999, 99990)","(12.0, 24.0, 14.571428571428571)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 132.5)","(81.0, 200.0, 144.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:03.225612,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 16.666666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 132.5)","(81.0, 190.0, 138.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:04.592851,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 16.666666666666668)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 180.0, 132.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:06.021815,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 17.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 132.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:07.448061,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 17.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 132.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:08.991834,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 17.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 132.0)","(101.0, 99999, 99990)"
10-01-2023 18:02:10.203361,"(3.7, 6.6, 5.228571428571429)","(1.55, 99999, 99990)","(12.0, 24.0, 17.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
10-01-2023 18:02:11.545645,"(3.7, 6.6, 5.3999999999999995)","(1.55, 99999, 99990)","(12.0, 24.0, 18.272727272727273)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
10-01-2023 18:02:12.754326,"(3.7, 6.6, 5.3999999999999995)","(1.55, 99999, 99990)","(12.0, 24.0, 18.272727272727273)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
10-01-2023 18:02:13.981076,"(3.7, 6.4, 5.533333333333333)","(1.55, 99999, 99990)","(12.0, 24.0, 15.428571428571429)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
10-01-2023 18:02:15.146702,"(3.7, 6.4, 5.285714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 15.428571428571429)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 21.714285714285715)","(71.0, 200.0, 164.54545454545456)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
10-01-2023 18:02:16.376373,"(3.7, 6.4, 5.285714285714286)","(1.55, 99999, 99990)","(12.0, 24.0, 15.666666666666666)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 38.0, 22.166666666666668)","(71.0, 200.0, 174.0)","(81.0, 170.0, 144.28571428571428)","(101.0, 99999, 99990)"
