,Naomi Butterfly,Slingshot Bruno,Roxy Crumpet,Earn The Fizz,Mcivor Rusty,Wagtail Demon,Buck Hunter,Banjo Jack
04-01-2023 14:25:00.769358,"(4.8, 11.0, 9.977777777777778)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:01.919833,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:03.302136,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 11.1)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:05.058586,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:06.270466,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:07.555616,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:25:08.814283,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 11.6)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:10.109450,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:11.331717,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:12.544993,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:13.770849,"(4.8, 11.0, 10.233333333333334)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:14.984886,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:16.189197,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 29.3)"
04-01-2023 14:25:17.425463,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:18.623046,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:19.850284,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:21.123126,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:22.388663,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:23.733819,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:25.215872,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:26.516245,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:27.726681,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:28.929957,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:30.076845,"(4.8, 11.0, 9.95)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:31.270167,"(4.8, 11.0, 10.272727272727273)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:32.407809,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 16.875)"
04-01-2023 14:25:33.517297,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.75)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:34.700594,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:35.929368,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:37.114454,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:38.310692,"(4.8, 11.0, 10.366666666666667)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.375)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:39.494749,"(4.8, 11.0, 9.56)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:40.710268,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:41.898213,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:43.094820,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 10.75)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 28.75)"
04-01-2023 14:25:44.323481,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 12.28)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:45.480345,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:46.587193,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:47.656323,"(4.8, 11.0, 10.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:48.788397,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:49.967137,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:51.363482,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:52.786575,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:53.862309,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:54.997283,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:56.094530,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:57.260543,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:58.430041,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:25:59.589112,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:26:00.810101,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
04-01-2023 14:26:02.034240,"(4.8, 11.0, 10.333333333333332)","(6.0, 10.0, 9.316666666666666)","(8.5, 15.0, 13.0)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 12.0, 10.2)","(2.45, 3.55, 2.569)","(9.0, 44.0, 24.590909090909093)"
