,Kaonic,Wild Willy,Hamslette,Star Jan,Ali Orphan,Carak,Coraggio,Innocent Pegg,Pretty Boy
04-01-2023 15:00:54.557171,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:55.799729,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:57.027694,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.88)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:58.213635,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.88)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:59.418367,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.2, 7.0)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:00.540668,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.2, 7.257142857142857)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:01.756602,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.257142857142857)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:03.031268,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.257142857142857)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:04.238954,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 32.0, 28.875)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.15)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:05.395454,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 32.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:06.666764,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:07.726594,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:08.800921,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:10.202673,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.85)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:11.372697,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:12.619359,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:13.654265,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:14.727147,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:15.944527,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:17.063885,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:18.149761,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:19.319058,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.133333333333334)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:20.504366,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.04)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:21.737217,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:22.838252,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:23.913885,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:25.008213,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:26.177651,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.135555555555555)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:27.364635,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.9750000000000005)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:28.504569,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.163636363636364)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:29.569210,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.04)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:30.645781,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.12)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:31.932607,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.866666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.12)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:33.125052,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.485714285714286)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:34.288744,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.485714285714286)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:35.527501,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.485714285714286)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:36.783305,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.485714285714286)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:38.068800,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:39.372569,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 6.171428571428572)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:40.596201,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.4, 5.666666666666666)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:41.698119,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 7.0, 6.35)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:42.843286,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.8, 6.314285714285714)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:43.996536,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.314285714285714)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:45.252717,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.314285714285714)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:46.491468,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.314285714285714)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.3090909090909095)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:47.600339,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.381818181818182)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:48.681039,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.381818181818182)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:49.814755,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.381818181818182)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:51.026150,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.381818181818182)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:52.249177,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.381818181818182)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:53.396596,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.44)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:54.629955,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.44)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:55.904886,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.4)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.44)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:57.157666,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:58.314656,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.933333333333333)","(16.0, 30.0, 25.8)","(5.0, 7.8, 6.653333333333333)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:01:59.453059,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.0, 7.625)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:00.610555,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:01.801098,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:02.965230,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.672727272727273)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:04.122667,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.828571428571429)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:05.246809,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.828571428571429)","(19.0, 38.0, 29.333333333333332)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:06.398184,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.828571428571429)","(19.0, 38.0, 29.333333333333332)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:07.586718,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 25.8)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.257142857142857)","(19.0, 38.0, 32.0)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:08.836084,"(13.0, 21.0, 20.357142857142858)","(4.2, 5.8, 5.74375)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 23.333333333333332)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.257142857142857)","(19.0, 38.0, 32.0)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:10.092998,"(13.0, 21.0, 20.357142857142858)","(4.2, 5.8, 5.6)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 21.428571428571427)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.257142857142857)","(19.0, 38.0, 32.0)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:11.303727,"(13.0, 21.0, 20.357142857142858)","(4.2, 5.8, 5.6)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 22.65)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.0)","(19.0, 38.0, 32.0)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:12.499560,"(13.0, 21.0, 20.357142857142858)","(4.2, 5.8, 5.6)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 6.457142857142856)","(16.0, 30.0, 22.65)","(5.0, 7.8, 7.625)","(4.8, 7.6, 6.933333333333333)","(19.0, 38.0, 32.0)","(61.0, 270.0, 180.0)"
04-01-2023 15:02:13.631584,"(13.0, 21.0, 20.357142857142858)","(4.2, 5.8, 5.6)","(3.9, 4.3, 4.105263157894736)","(5.5, 6.6, 5.75)","(16.0, 30.0, 22.65)","(5.0, 7.8, 7.625)","(4.8, 7.6, 6.933333333333333)","(19.0, 38.0, 32.0)","(61.0, 270.0, 156.66666666666666)"
