,Devon Lass,Nibiru,Captain Cruiser,Drop A Line,Count Me In,Bombers Smokey,Zipping Pip
09-01-2023 15:39:10.192299,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:11.447179,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:12.648985,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:13.841576,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:14.962876,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:16.179942,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:17.349796,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:18.521994,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:19.709687,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:20.932807,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:22.094815,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:23.238059,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:24.418289,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:25.468465,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:26.469122,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:27.585046,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:28.727955,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:29.908619,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 4.237037037037037)"
09-01-2023 15:39:31.102460,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:32.234805,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:33.297293,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:34.367250,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:35.441031,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:36.620246,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:37.739009,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:38.920112,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:40.016684,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:41.035297,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:42.091397,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:43.102174,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:44.235464,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:45.432419,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:46.619722,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:47.677552,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:48.709480,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:49.729216,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:50.750160,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:51.889225,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:53.079297,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:54.266460,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:55.421878,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:56.593375,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:57.725702,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:58.818523,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:59.884183,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:00.865025,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:02.013972,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:03.135983,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:04.332335,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:05.520587,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:06.786849,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:08.062942,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:09.223994,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:10.437666,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:11.527149,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:12.819907,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:14.028825,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:15.224284,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:16.525163,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:17.892309,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:19.184222,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:20.437010,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:21.642010,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:22.655455,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:23.804551,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:25.031579,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:26.252135,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:27.445201,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:28.504288,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:29.513941,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:30.565001,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:31.665546,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:32.902259,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:34.065195,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:35.197946,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:36.221797,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:37.201399,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:38.220697,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:39.344559,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:40.517109,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:40:41.671471,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 6.1)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
