,Bow Six,Arrogant Benji,Blue Zeal,Sketchy Combat,Emas One,Uno Shelby,Tommy Tuna,Five Mile Rose
05-01-2023 17:05:21.040269,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:22.434600,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:24.048415,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:25.420261,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:26.651185,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:27.846150,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:28.990364,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:30.150445,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:31.296794,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.214285714285715)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:32.403843,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 35.214285714285715)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:33.636758,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 35.214285714285715)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:34.834398,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 35.214285714285715)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:36.056159,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:37.318663,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 33.125)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:38.611254,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 32.5)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:39.759961,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:40.940144,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:42.079402,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:43.182769,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:44.239856,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:45.272845,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:46.238017,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 187.14285714285714)","(11.0, 38.0, 34.6875)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
