,Super Swoop,Mr Freeze,Alpine Aviator,Imagine Howe,Geegee Lucky Jess,Incriminate,Iris West,Mariposa,Hermans Bells
07-12-2022 19:59:52.020863,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:53.223668,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:54.378383,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:55.564680,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:56.720959,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:57.797930,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:58.897630,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 20:00:00.051167,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 20:00:01.299822,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 20:00:02.480156,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 20:00:03.669031,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.8)"
07-12-2022 20:00:04.847869,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.8)"
07-12-2022 20:00:06.025990,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 20.0)","(16.0, 25.0, 21.5)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:07.272145,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.342857142857143)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.5)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:08.450184,"(41.0, 230.0, 119.6)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.5)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:09.651080,"(41.0, 220.0, 133.0)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.5)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:10.836867,"(41.0, 220.0, 133.0)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.5)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:11.970405,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.8)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:13.192888,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.8)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:14.369645,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:15.527011,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:16.671627,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:17.899158,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:19.201210,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:20.429400,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:21.649751,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:22.921098,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 22.4)","(16.0, 25.0, 21.25)","(6.0, 8.8, 8.16)","(19.0, 30.0, 26.11111111111111)"
07-12-2022 20:00:24.219621,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.3875)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5043478260869567)","(4.4, 5.9, 5.800000000000001)","(16.0, 26.0, 31.57142857142857)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:25.479207,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.4222222222222225)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.6, 3.5153846153846153)","(4.4, 5.9, 5.800000000000001)","(16.0, 34.0, 28.25)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:26.710476,"(41.0, 210.0, 128.0)","(4.6, 5.7, 5.4222222222222225)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.6, 3.5153846153846153)","(4.4, 5.9, 5.800000000000001)","(16.0, 32.0, 28.25)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:28.007477,"(41.0, 250.0, 182.0)","(4.6, 5.7, 5.4222222222222225)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.6, 3.5153846153846153)","(4.4, 5.9, 5.800000000000001)","(16.0, 32.0, 27.166666666666664)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:29.215709,"(41.0, 250.0, 148.0)","(4.6, 5.7, 5.4222222222222225)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.6, 3.5153846153846153)","(4.4, 5.9, 5.800000000000001)","(16.0, 32.0, 24.0)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:30.415930,"(41.0, 250.0, 168.39999999999998)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5566666666666666)","(4.4, 5.9, 5.800000000000001)","(16.0, 30.0, 24.0)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.2)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:31.573460,"(41.0, 240.0, 143.0)","(4.6, 5.7, 5.45)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.28888888888889)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:32.736678,"(41.0, 240.0, 143.0)","(4.6, 5.7, 5.5)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.28888888888889)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:33.965955,"(41.0, 240.0, 143.0)","(4.6, 5.7, 5.5)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.28888888888889)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:35.272255,"(41.0, 240.0, 143.0)","(4.6, 5.7, 5.5)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.28888888888889)","(19.0, 30.0, 25.5)"
07-12-2022 20:00:36.522711,"(41.0, 240.0, 143.0)","(4.6, 5.7, 5.585714285714285)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.377777777777778)","(19.0, 30.0, 25.5)"
07-12-2022 20:00:37.710301,"(41.0, 240.0, 168.0)","(4.6, 5.8, 5.657142857142857)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.377777777777778)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:38.926120,"(41.0, 240.0, 168.0)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.377777777777778)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:40.123487,"(41.0, 240.0, 168.0)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.49090909090909)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:41.293426,"(41.0, 240.0, 168.0)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 22.333333333333332)","(16.0, 25.0, 20.0)","(6.0, 9.0, 8.49090909090909)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:42.444482,"(41.0, 240.0, 168.0)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 28.357142857142858)","(16.0, 25.0, 23.333333333333336)","(6.0, 9.0, 8.856410256410257)","(19.0, 30.0, 27.0)"
07-12-2022 20:00:43.735599,"(41.0, 240.0, 195.6923076923077)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 23.333333333333336)","(6.0, 9.0, 8.2)","(19.0, 30.0, 25.5)"
07-12-2022 20:00:45.060026,"(41.0, 230.0, 199.66666666666666)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5625)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 23.333333333333336)","(6.0, 9.0, 8.2)","(19.0, 30.0, 25.5)"
07-12-2022 20:00:46.269707,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 23.333333333333336)","(6.0, 9.0, 8.4)","(19.0, 30.0, 24.333333333333332)"
07-12-2022 20:00:47.473705,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 23.333333333333336)","(6.0, 9.0, 8.4)","(19.0, 30.0, 24.333333333333332)"
07-12-2022 20:00:48.749028,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 20.333333333333332)","(6.0, 9.0, 8.428571428571429)","(19.0, 29.0, 26.142857142857142)"
07-12-2022 20:00:49.965372,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 20.333333333333332)","(6.0, 9.0, 8.428571428571429)","(19.0, 29.0, 25.857142857142858)"
07-12-2022 20:00:51.304684,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 20.333333333333332)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 25.857142857142858)"
07-12-2022 20:00:52.565364,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.833333333333334)","(16.0, 30.0, 24.5)","(16.0, 25.0, 20.333333333333332)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 25.857142857142858)"
07-12-2022 20:00:53.836886,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 24.75)","(16.0, 25.0, 21.88888888888889)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 24.666666666666668)"
07-12-2022 20:00:55.096192,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 24.75)","(16.0, 25.0, 20.666666666666668)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 25.857142857142858)"
07-12-2022 20:00:56.262976,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 24.75)","(16.0, 25.0, 23.555555555555557)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 26.2)"
07-12-2022 20:00:57.481291,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 27.0)","(16.0, 25.0, 23.4)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 26.2)"
07-12-2022 20:00:58.600458,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 27.0)","(16.0, 25.0, 23.0)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 25.5)"
07-12-2022 20:00:59.722443,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 24.75)","(16.0, 25.0, 22.285714285714285)","(6.0, 9.0, 8.428571428571429)","(19.0, 28.0, 25.5)"
07-12-2022 20:01:00.892395,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 28.6)","(16.0, 24.0, 22.411764705882355)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 25.5)"
07-12-2022 20:01:02.106109,"(41.0, 220.0, 180.3076923076923)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 23.0, 21.529411764705884)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 24.857142857142858)"
07-12-2022 20:01:03.396129,"(41.0, 250.0, 183.33333333333334)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 20.857142857142858)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 24.857142857142858)"
07-12-2022 20:01:04.627443,"(41.0, 250.0, 200.0)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 20.857142857142858)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 24.857142857142858)"
07-12-2022 20:01:05.851509,"(41.0, 250.0, 183.33333333333331)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 20.857142857142858)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 25.0)"
07-12-2022 20:01:07.090830,"(41.0, 240.0, 176.66666666666666)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 19.0)","(6.0, 9.0, 8.428571428571429)","(19.0, 27.0, 25.0)"
07-12-2022 20:01:08.304542,"(41.0, 240.0, 176.66666666666666)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 19.0)","(6.0, 9.0, 8.428571428571429)","(19.0, 26.0, 24.571428571428573)"
07-12-2022 20:01:09.451535,"(41.0, 240.0, 176.66666666666666)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 19.0)","(6.0, 9.0, 8.428571428571429)","(19.0, 26.0, 24.571428571428573)"
07-12-2022 20:01:10.702932,"(41.0, 240.0, 176.66666666666666)","(4.6, 5.8, 5.527272727272727)","(6.5, 8.6, 8.021428571428572)","(3.0, 3.65, 3.5843749999999996)","(4.4, 5.9, 5.642857142857143)","(16.0, 30.0, 23.333333333333332)","(16.0, 22.0, 19.0)","(6.0, 9.0, 8.428571428571429)","(19.0, 26.0, 24.571428571428573)"
