,Miss Adobe,Ezra Blueblood,Diamond Harmony,Romeo,Trousseau,Mine Hunter,Taieri Taylee
10-01-2023 11:12:05.068267,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:05.960085,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:06.879513,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:07.765515,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:08.675925,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:09.610676,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:10.520868,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:11.449348,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:12.387889,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:13.353248,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:14.290503,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:15.253036,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:16.190877,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:17.156383,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:18.074286,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:18.968553,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:19.895728,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:20.773212,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:21.696047,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:22.599266,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:23.512574,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:24.431474,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:25.369957,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:26.301917,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:27.224733,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:28.158808,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:29.126148,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:30.058247,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:30.974757,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:31.886264,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:32.800006,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:33.703933,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:34.595213,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:35.529543,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:36.416457,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:37.344536,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:38.242437,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:39.161662,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:40.080349,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:40.990770,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:41.923823,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:42.845700,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:43.776583,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:44.683653,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:45.591276,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:46.487336,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:47.393763,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:48.288572,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:49.172774,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:50.094012,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:51.000804,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:51.911075,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:52.797093,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:53.701155,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:54.625072,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:55.502780,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:56.411989,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:57.304876,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:58.241080,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:59.136286,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:13:00.055812,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:00.962310,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:01.884727,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:02.787911,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:03.725185,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:04.626921,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:05.533076,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:06.434759,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:07.318222,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:08.257585,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
10-01-2023 11:13:09.161059,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.492105263157895)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 9.922222222222222)"
