,Iddy Biddy,Ladawn,Mustangmagna,Sherrys Baby,Beautiful Taps,Love Perfection
08-12-2022 12:31:22.661729,"(10.0, 14.0, 13.666666666666666)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.6454545454545455)"
08-12-2022 12:31:23.525770,"(10.0, 14.0, 13.777777777777779)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.6454545454545455)"
08-12-2022 12:31:24.416730,"(10.0, 14.0, 13.777777777777779)","(3.2, 3.7, 3.652127659574468)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1558823529411764)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.6454545454545455)"
08-12-2022 12:31:25.301878,"(10.0, 14.0, 13.777777777777779)","(3.2, 3.7, 3.652127659574468)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1558823529411764)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.532258064516129)"
08-12-2022 12:31:26.213917,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.652127659574468)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1558823529411764)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.532258064516129)"
08-12-2022 12:31:27.162271,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6375)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.161538461538462)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.532258064516129)"
08-12-2022 12:31:28.035390,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6375)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.532258064516129)"
08-12-2022 12:31:28.923864,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.532258064516129)"
08-12-2022 12:31:29.798970,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.747826086956522)"
08-12-2022 12:31:30.677331,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.090909090909091)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.747826086956522)"
08-12-2022 12:31:31.541452,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.090909090909091)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.747826086956522)"
08-12-2022 12:31:32.427890,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.090909090909091)","(21.0, 48.0, 37.333333333333336)","(5.0, 5.9, 5.887804878048781)"
08-12-2022 12:31:33.293562,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.090909090909091)","(21.0, 48.0, 37.333333333333336)","(5.0, 5.9, 5.717460317460318)"
08-12-2022 12:31:34.161889,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1500000000000004)","(21.0, 48.0, 35.333333333333336)","(5.0, 5.9, 5.717460317460318)"
08-12-2022 12:31:35.286772,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.1500000000000004)","(21.0, 48.0, 37.0)","(5.0, 5.9, 5.717460317460318)"
08-12-2022 12:31:36.149253,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.12)","(21.0, 46.0, 37.5)","(5.0, 5.9, 5.660416666666667)"
08-12-2022 12:31:37.030705,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 37.0)","(5.0, 5.9, 5.694117647058824)"
08-12-2022 12:31:37.921995,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.6594594594594594)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 37.0)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:38.819843,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 37.0)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:39.773455,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 37.5)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:40.762310,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 38.0)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:41.779348,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 40.0)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:42.735261,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 40.0)","(5.0, 5.8, 5.694117647058824)"
08-12-2022 12:31:43.702094,"(10.0, 14.0, 13.80952380952381)","(3.2, 3.7, 3.67)","(6.0, 7.8, 7.625806451612903)","(2.7, 3.2, 3.142857142857143)","(21.0, 46.0, 40.0)","(5.0, 5.8, 5.651162790697675)"
08-12-2022 12:31:44.626865,"(10.0, 14.0, 13.894736842105264)","(3.2, 3.7, 3.64375)","(6.0, 7.8, 6.925)","(2.7, 3.25, 3.091549295774648)","(21.0, 46.0, 37.0)","(5.0, 5.8, 5.571428571428571)"
08-12-2022 12:31:45.501239,"(10.0, 14.5, 14.222222222222221)","(3.2, 3.75, 3.721875)","(6.0, 6.6, 6.217021276595744)","(2.7, 3.25, 3.1368852459016394)","(21.0, 46.0, 37.0)","(5.0, 5.8, 5.571428571428571)"
08-12-2022 12:31:46.379638,"(10.0, 15.0, 14.789473684210526)","(3.2, 3.8, 3.677906976744186)","(6.0, 6.6, 6.208571428571429)","(2.7, 3.25, 3.0970588235294114)","(21.0, 48.0, 36.0)","(5.0, 6.0, 5.94)"
08-12-2022 12:31:47.277604,"(10.0, 15.0, 14.625)","(3.2, 3.8, 3.6372093023255814)","(6.0, 6.6, 6.208571428571429)","(2.7, 3.25, 3.1259615384615387)","(21.0, 48.0, 39.0)","(5.0, 6.6, 5.772413793103448)"
08-12-2022 12:31:48.160854,"(10.0, 15.0, 14.625)","(3.2, 3.8, 3.6478260869565218)","(6.0, 6.6, 6.208571428571429)","(2.7, 3.25, 3.132727272727273)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.6, 5.5814814814814815)"
08-12-2022 12:31:49.037196,"(10.0, 15.0, 14.727272727272727)","(3.2, 3.8, 3.679310344827586)","(6.0, 6.6, 6.208571428571429)","(2.7, 3.25, 3.153731343283582)","(21.0, 48.0, 40.0)","(5.0, 5.7, 5.433333333333334)"
08-12-2022 12:31:50.033768,"(10.0, 15.0, 14.5)","(3.2, 3.8, 3.6793478260869565)","(6.0, 6.6, 6.033103448275862)","(2.7, 3.25, 3.153731343283582)","(21.0, 46.0, 39.0)","(5.0, 5.7, 5.503703703703704)"
08-12-2022 12:31:50.936482,"(10.0, 15.0, 14.5)","(3.2, 3.8, 3.6793478260869565)","(6.0, 6.6, 6.0128571428571425)","(2.7, 3.25, 3.153731343283582)","(21.0, 46.0, 39.0)","(5.0, 5.7, 5.503703703703704)"
08-12-2022 12:31:51.812748,"(10.0, 15.0, 14.5)","(3.2, 3.85, 3.8222222222222224)","(6.5, 6.6, 5.934027777777778)","(2.7, 3.5, 3.2600000000000002)","(21.0, 46.0, 39.0)","(5.0, 5.7, 5.508)"
08-12-2022 12:31:52.725565,"(10.0, 15.0, 14.5)","(3.2, 3.95, 3.6875)","(6.5, 6.6, 6.004347826086956)","(2.7, 3.5, 3.29)","(21.0, 55.0, 36.6)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:53.581162,"(10.0, 14.5, 14.166666666666666)","(3.2, 3.95, 3.6875)","(6.5, 6.6, 6.004347826086956)","(2.7, 3.5, 3.3200000000000003)","(21.0, 55.0, 38.333333333333336)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:54.457263,"(10.0, 14.5, 14.166666666666666)","(3.2, 3.95, 3.87)","(6.5, 6.6, 6.004347826086956)","(2.7, 3.5, 3.485)","(21.0, 55.0, 38.333333333333336)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:55.343344,"(10.0, 14.5, 14.166666666666666)","(3.2, 3.95, 3.65)","(6.5, 6.6, 6.004347826086956)","(2.7, 3.5, 3.485)","(21.0, 55.0, 40.0)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:56.274267,"(10.0, 14.5, 14.166666666666666)","(3.2, 3.95, 3.9170731707317072)","(6.5, 6.6, 6.004347826086956)","(2.7, 3.5, 3.47)","(21.0, 55.0, 40.0)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:57.201426,"(10.0, 14.5, 14.277777777777779)","(3.2, 3.9, 3.865217391304348)","(6.5, 6.6, 5.943150684931507)","(2.7, 3.5, 3.4454545454545453)","(21.0, 55.0, 42.5)","(5.0, 5.7, 5.552941176470588)"
08-12-2022 12:31:58.180303,"(10.0, 14.5, 14.277777777777779)","(3.2, 3.9, 3.865217391304348)","(6.5, 6.6, 5.943150684931507)","(2.7, 3.5, 3.4775)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.55)"
08-12-2022 12:31:59.270348,"(10.0, 14.5, 14.0)","(3.2, 3.9, 3.86)","(6.5, 6.6, 5.943150684931507)","(2.7, 3.5, 3.4775)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.55)"
08-12-2022 12:32:00.269602,"(10.0, 14.5, 13.75)","(3.2, 3.95, 3.757142857142857)","(6.5, 6.6, 5.943150684931507)","(2.7, 3.5, 3.459090909090909)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.55)"
08-12-2022 12:32:01.124870,"(10.0, 14.5, 14.2)","(3.2, 3.95, 3.581818181818182)","(6.5, 6.4, 6.16)","(2.7, 3.5, 3.4625)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.55)"
08-12-2022 12:32:02.009762,"(10.0, 14.5, 14.2)","(3.2, 3.9, 3.69)","(6.5, 6.4, 6.16)","(2.7, 3.5, 3.4842105263157896)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.55)"
08-12-2022 12:32:02.887831,"(10.0, 14.5, 14.227272727272727)","(3.2, 3.9, 3.69)","(6.5, 6.4, 6.2)","(2.7, 3.5, 3.48)","(26.0, 55.0, 42.5)","(5.0, 5.7, 5.574418604651163)"
08-12-2022 12:32:03.864631,"(10.0, 14.5, 14.30952380952381)","(3.2, 3.9, 3.66)","(6.5, 6.4, 6.2)","(2.8, 3.75, 3.7272727272727275)","(21.0, 55.0, 40.0)","(5.0, 5.3, 5.203370786516854)"
08-12-2022 12:32:04.765243,"(10.0, 14.5, 14.125)","(3.2, 3.9, 3.836842105263158)","(6.5, 6.4, 6.2)","(2.8, 3.75, 3.7055555555555557)","(21.0, 55.0, 42.5)","(5.0, 5.2, 5.114285714285715)"
08-12-2022 12:32:05.672980,"(10.0, 15.0, 14.6)","(3.2, 3.85, 3.7)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.6625)","(21.0, 55.0, 37.75)","(5.0, 5.2, 5.17)"
08-12-2022 12:32:06.624516,"(10.0, 15.0, 14.6)","(3.2, 3.85, 3.8)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.67)","(21.0, 55.0, 37.75)","(5.0, 5.7, 5.1482758620689655)"
08-12-2022 12:32:07.616834,"(10.0, 15.0, 14.6)","(3.2, 3.85, 3.75)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.64)","(21.0, 55.0, 40.0)","(5.0, 5.7, 5.220000000000001)"
08-12-2022 12:32:08.501986,"(10.0, 15.0, 14.6)","(3.2, 3.9, 3.8636363636363633)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.6307692307692307)","(21.0, 55.0, 37.75)","(5.0, 5.7, 5.220000000000001)"
08-12-2022 12:32:09.364912,"(10.0, 15.0, 14.6)","(3.2, 3.9, 3.8636363636363633)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.6611111111111114)","(21.0, 55.0, 40.0)","(5.0, 5.7, 5.478260869565218)"
08-12-2022 12:32:10.215668,"(10.0, 16.0, 14.125)","(3.2, 3.9, 3.857142857142857)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.6611111111111114)","(21.0, 55.0, 40.0)","(5.0, 5.5, 5.478260869565218)"
08-12-2022 12:32:11.093942,"(10.0, 16.5, 15.25)","(3.2, 3.9, 3.8666666666666667)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.65625)","(21.0, 55.0, 40.0)","(5.0, 5.5, 5.444444444444445)"
08-12-2022 12:32:11.996665,"(10.0, 16.5, 15.25)","(3.2, 3.95, 3.8535714285714286)","(6.5, 6.4, 6.010526315789473)","(2.8, 3.7, 3.64)","(21.0, 55.0, 40.0)","(5.0, 5.5, 5.444444444444445)"
08-12-2022 12:32:12.958681,"(10.0, 22.0, 16.42857142857143)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.940689655172414)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.42142857142857)"
08-12-2022 12:32:13.916100,"(10.0, 22.0, 16.42857142857143)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.940689655172414)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.42142857142857)"
08-12-2022 12:32:14.862757,"(10.0, 22.0, 16.42857142857143)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.940689655172414)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:15.790792,"(10.0, 22.0, 16.42857142857143)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.940689655172414)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:16.722022,"(10.0, 22.0, 14.8)","(3.2, 5.7, 5.044615384615385)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.9426666666666668)","(21.0, 65.0, 42.0)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:17.622528,"(10.0, 22.0, 12.25)","(3.2, 5.7, 5.044615384615385)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.9426666666666668)","(21.0, 65.0, 53.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:18.576256,"(10.0, 22.0, 7.815384615384615)","(3.2, 5.7, 5.044615384615385)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.9426666666666668)","(21.0, 65.0, 53.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:19.470206,"(10.0, 15.0, 13.828571428571427)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.9426666666666668)","(21.0, 65.0, 53.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:20.368624,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.327999999999999)","(6.5, 12.0, 10.145454545454545)","(2.8, 4.0, 3.9426666666666668)","(21.0, 65.0, 53.5)","(5.0, 9.6, 8.5)"
08-12-2022 12:32:21.336482,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 12.0, 10.4)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.66666666666667)","(5.0, 9.6, 8.597368421052632)"
08-12-2022 12:32:22.257368,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 12.0, 9.845454545454546)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.66666666666667)","(5.0, 9.6, 8.735294117647058)"
08-12-2022 12:32:23.141295,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 48.0)","(5.0, 9.6, 8.735294117647058)"
08-12-2022 12:32:24.042671,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.735294117647058)"
08-12-2022 12:32:24.961419,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.497058823529413)"
08-12-2022 12:32:25.890868,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.497058823529413)"
08-12-2022 12:32:26.794225,"(10.0, 9.0, 8.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.558333333333334)"
08-12-2022 12:32:27.697866,"(10.0, 9.0, 12.0)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.6, 8.1)"
08-12-2022 12:32:28.632395,"(10.0, 22.0, 12.25)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.2, 5.954545454545454)"
08-12-2022 12:32:29.561881,"(10.0, 22.0, 12.25)","(3.2, 5.7, 5.104)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.2, 5.954545454545454)"
08-12-2022 12:32:30.509732,"(10.0, 12.0, 10.5)","(3.2, 5.7, 4.333333333333333)","(6.5, 7.2, 6.3545454545454545)","(2.8, 4.0, 3.925)","(21.0, 65.0, 49.5)","(5.0, 9.2, 5.954545454545454)"
08-12-2022 12:32:31.411131,"(10.0, 12.0, 10.5)","(3.2, 6.0, 5.833333333333333)","(6.5, 7.2, 6.166666666666666)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 9.2, 5.954545454545454)"
08-12-2022 12:32:32.385098,"(10.0, 22.0, 11.6)","(3.2, 6.0, 5.8)","(6.5, 7.2, 5.871428571428572)","(2.8, 4.0, 3.675)","(21.0, 65.0, 49.5)","(5.0, 9.2, 5.671999999999999)"
08-12-2022 12:32:33.313470,"(10.0, 22.0, 12.25)","(3.2, 6.0, 5.9)","(6.5, 6.2, 5.5)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 4.7, 4.314285714285714)"
08-12-2022 12:32:34.200868,"(10.0, 22.0, 11.6)","(3.2, 8.0, 6.62)","(6.5, 6.0, 5.366666666666666)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 4.7, 4.314285714285714)"
08-12-2022 12:32:35.086177,"(10.0, 22.0, 11.6)","(3.2, 8.4, 8.280000000000001)","(6.5, 6.0, 5.366666666666666)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 4.7, 4.220000000000001)"
08-12-2022 12:32:36.063953,"(10.0, 22.0, 11.6)","(3.2, 8.4, 8.25)","(6.5, 6.0, 5.05)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 7.8, 5.16875)"
08-12-2022 12:32:36.963474,"(10.0, 22.0, 11.6)","(3.2, 11.0, 10.0)","(6.5, 6.0, 5.05)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 6.2, 5.16875)"
08-12-2022 12:32:37.920727,"(10.0, 22.0, 12.25)","(3.2, 11.0, 10.0)","(6.5, 7.2, 5.34)","(2.8, 4.0, 3.902857142857143)","(21.0, 65.0, 49.5)","(5.0, 6.2, 2.34)"
08-12-2022 12:32:38.891820,"(10.0, 22.0, 13.333333333333332)","(3.2, 11.0, 10.1)","(6.5, 6.2, 6.066666666666666)","(2.8, 4.0, 3.975)","(21.0, 65.0, 49.5)","(5.0, 2.34, 3.1047619047619044)"
08-12-2022 12:32:39.848979,"(10.0, 22.0, 12.25)","(3.2, 11.0, 10.25)","(6.5, 6.2, 5.6923076923076925)","(2.8, 4.9, 3.9625)","(21.0, 65.0, 49.5)","(5.0, 4.1, 3.1047619047619044)"
08-12-2022 12:32:40.809635,"(10.0, 40.0, 24.5)","(3.2, 12.0, 10.4)","(6.5, 6.2, 4.550000000000001)","(2.8, 4.9, 4.140000000000001)","(21.0, 160.0, 135.0)","(5.0, 2.66, 2.38)"
08-12-2022 12:32:41.758829,"(10.0, 40.0, 24.5)","(3.2, 12.0, 10.666666666666666)","(6.5, 6.2, 5.75)","(2.8, 4.9, 4.7)","(21.0, 160.0, 97.0)","(5.0, 2.06, 1.9813333333333334)"
08-12-2022 12:32:42.721505,"(10.0, 40.0, 24.5)","(3.2, 12.0, 10.4)","(6.5, 12.0, 10.56)","(2.8, 4.9, 4.225)","(21.0, 160.0, 97.0)","(5.0, 1.99, 1.986590909090909)"
08-12-2022 12:32:43.635511,"(10.0, 40.0, 24.5)","(3.2, 12.0, 10.4)","(6.5, 12.0, 7.199999999999999)","(2.8, 4.9, 4.225)","(21.0, 160.0, 97.0)","(5.0, 1.99, 1.986590909090909)"
08-12-2022 12:32:44.531166,"(10.0, 42.0, 20.0)","(3.2, 12.0, 10.4)","(6.5, 12.0, 10.325)","(2.8, 4.9, 4.15)","(21.0, 160.0, 97.0)","(5.0, 1.99, 1.9844444444444445)"
08-12-2022 12:32:45.453398,"(10.0, 42.0, 20.0)","(3.2, 12.0, 10.4)","(6.5, 12.0, 10.325)","(2.8, 4.9, 4.125)","(21.0, 730.0, 554.25)","(5.0, 1.99, 1.9443478260869564)"
08-12-2022 12:32:46.400573,"(10.0, 42.0, 20.0)","(3.2, 12.0, 10.4)","(6.5, 12.0, 10.325)","(2.8, 4.9, 4.8192)","(21.0, 730.0, 554.25)","(5.0, 2.66, 2.4126315789473685)"
08-12-2022 12:32:47.315393,"(10.0, 42.0, 17.333333333333336)","(3.2, 12.0, 10.4)","(6.5, 20.0, 18.833333333333336)","(2.8, 4.9, 4.8192)","(21.0, 730.0, 554.25)","(5.0, 2.52, 2.4104347826086956)"
08-12-2022 12:32:48.258866,"(10.0, 29.0, 26.17222222222222)","(3.2, 12.0, 11.0)","(6.5, 20.0, 19.666666666666668)","(2.8, 12.5, 9.428)","(21.0, 800.0, 6999.333333333333)","(5.0, 2.66, 2.4033333333333333)"
08-12-2022 12:32:49.156009,"(10.0, 7.2, 6.204545454545455)","(3.2, 12.0, 11.0)","(6.5, 32.0, 24.2)","(2.8, 12.5, 8.385714285714286)","(21.0, 99999, 6999.333333333333)","(5.0, 2.66, 2.4033333333333333)"
08-12-2022 12:32:50.065430,"(10.0, 7.2, 6.204545454545455)","(3.2, 12.0, 11.0)","(6.5, 44.0, 37.666666666666664)","(2.8, 12.5, 8.385714285714286)","(21.0, 99999, 5013.5)","(5.0, 2.66, 2.4033333333333333)"
08-12-2022 12:32:50.981597,"(10.0, 29.0, 26.17222222222222)","(3.2, 12.0, 11.0)","(6.5, 44.0, 37.666666666666664)","(2.8, 9.0, 5.611111111111111)","(21.0, 99999, 5013.5)","(5.0, 2.66, 2.342941176470588)"
