,Daisys Fernando,Dana Bull,Stilton Freckle,Blazing Tokyo,Skedaddle Shelly,King Messy
09-01-2023 17:31:44.547002,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:45.677773,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:46.897509,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:48.039590,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:49.502088,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:50.757611,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:52.145767,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:53.283982,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:54.358944,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:55.499227,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:56.639924,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:57.806191,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:58.906083,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:59.938234,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:00.981889,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:02.159561,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:03.345915,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:04.593961,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:05.851670,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:07.097492,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:08.291881,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:09.368874,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:10.392753,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:11.405773,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:12.488517,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:13.595792,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:14.713377,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:15.813306,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:16.993562,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:18.088825,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:19.191841,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:20.328153,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:21.432775,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:22.523338,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:23.780906,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:25.168118,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:26.276939,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:27.342772,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:28.563710,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:29.661435,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:30.703313,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:31.664936,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:32.711096,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:33.813772,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:34.960048,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:36.049130,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:37.075956,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:38.096567,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:39.158231,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:40.261703,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:41.372496,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:42.386042,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:43.451773,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:44.514912,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:45.599187,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 32.285714285714285)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:46.732861,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 32.285714285714285)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:47.887986,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 28.18181818181818)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:49.031508,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 32.285714285714285)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:50.221769,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:51.340111,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:52.418631,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:53.438101,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:54.408764,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:55.520639,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:56.539661,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:57.693976,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:58.708801,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:32:59.788437,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:00.817119,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:01.887402,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:02.972567,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:04.103785,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:05.226370,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:06.354274,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:07.495356,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:08.571304,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:09.587834,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:10.578562,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:11.555372,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:12.604278,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:13.687748,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:14.681261,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:15.723724,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:16.804443,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:17.992288,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:19.132682,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:20.465397,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:21.588440,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:22.597909,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:23.763153,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:24.868418,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:26.117622,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:27.355586,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:28.542082,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:29.808738,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:33:31.026220,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
