,Nimue,Magic Zimba,Woodside Gracie,Hayride Parker,Brodhurst,Saint Frawley
11-01-2023 11:06:43.249923,"(1.9, 2.2, 2.1692307692307695)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.46, 2.3855999999999997)","(14.0, 25.0, 22.846153846153847)","(11.0, 95.0, 85.45454545454545)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:44.131525,"(1.9, 2.2, 2.1547826086956525)","(10.0, 22.0, 19.692307692307693)","(2.35, 2.46, 2.3814545454545453)","(14.0, 25.0, 22.846153846153847)","(11.0, 90.0, 83.75)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:45.090936,"(1.9, 2.2, 2.1547826086956525)","(10.0, 22.0, 19.692307692307693)","(2.35, 2.44, 2.394285714285714)","(14.0, 25.0, 22.846153846153847)","(11.0, 95.0, 85.45454545454545)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:46.103379,"(1.9, 2.2, 2.162857142857143)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.42, 2.409090909090909)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 85.45454545454545)","(31.0, 95.0, 86.66666666666667)"
11-01-2023 11:06:46.951575,"(1.9, 2.2, 2.162857142857143)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.42, 2.4073684210526314)","(14.0, 25.0, 23.444444444444443)","(11.0, 95.0, 85.45454545454545)","(31.0, 95.0, 86.66666666666667)"
11-01-2023 11:06:47.948873,"(1.9, 2.22, 2.1433333333333335)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.4, 2.3592)","(14.0, 25.0, 23.444444444444443)","(11.0, 95.0, 85.45454545454545)","(31.0, 95.0, 86.66666666666667)"
11-01-2023 11:06:48.953197,"(1.9, 2.18, 2.1408163265306124)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.48, 2.478961038961039)","(14.0, 25.0, 23.444444444444443)","(11.0, 100.0, 97.8125)","(31.0, 95.0, 85.9090909090909)"
11-01-2023 11:06:49.964987,"(1.9, 2.18, 2.110212765957447)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.48, 2.479606126914661)","(14.0, 25.0, 23.444444444444443)","(11.0, 120.0, 78.33333333333333)","(31.0, 95.0, 85.0)"
11-01-2023 11:06:50.928282,"(1.9, 2.16, 2.123076923076923)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.48, 2.478963282937365)","(14.0, 25.0, 23.444444444444443)","(11.0, 110.0, 100.0)","(31.0, 95.0, 85.0)"
11-01-2023 11:06:51.854305,"(1.9, 2.16, 2.1375)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.5, 2.4953488372093022)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 84.375)","(31.0, 95.0, 85.0)"
11-01-2023 11:06:52.742576,"(1.9, 2.14, 2.1285714285714286)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.5, 2.4693877551020407)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 88.92857142857143)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:53.721781,"(1.9, 2.14, 2.1133333333333333)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.5, 2.4482758620689653)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 88.92857142857143)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:54.836353,"(1.9, 2.14, 2.106666666666667)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.5, 2.448421052631579)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 107.5)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:55.875667,"(1.9, 2.14, 2.105)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.48, 2.448421052631579)","(14.0, 25.0, 23.444444444444443)","(11.0, 110.0, 107.5)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:56.959890,"(1.9, 2.14, 2.106666666666667)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.48, 2.4436363636363634)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 85.83333333333333)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:57.921064,"(1.9, 2.14, 2.106666666666667)","(10.0, 22.0, 19.82608695652174)","(2.35, 2.48, 2.4436363636363634)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 88.92857142857143)","(31.0, 95.0, 87.85714285714286)"
11-01-2023 11:06:58.896880,"(1.9, 2.14, 2.116)","(10.0, 22.0, 19.391304347826086)","(2.35, 2.48, 2.4436363636363634)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 81.66666666666667)","(31.0, 95.0, 85.0)"
11-01-2023 11:06:59.823637,"(1.9, 2.14, 2.116)","(10.0, 22.0, 19.692307692307693)","(2.35, 2.48, 2.4436363636363634)","(14.0, 25.0, 23.444444444444443)","(11.0, 110.0, 95.0)","(31.0, 95.0, 85.0)"
11-01-2023 11:07:00.849720,"(1.9, 2.14, 2.116)","(10.0, 22.0, 20.46153846153846)","(2.35, 2.48, 2.4436363636363634)","(14.0, 25.0, 23.444444444444443)","(11.0, 90.0, 81.66666666666667)","(31.0, 95.0, 85.0)"
11-01-2023 11:07:01.946201,"(1.9, 2.18, 2.1104347826086958)","(10.0, 22.0, 20.4)","(2.35, 2.48, 2.4538775510204083)","(14.0, 25.0, 23.4)","(11.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:02.878742,"(1.9, 2.16, 2.102727272727273)","(10.0, 22.0, 20.333333333333332)","(2.35, 2.46, 2.4314285714285715)","(14.0, 25.0, 23.4)","(11.0, 90.0, 81.66666666666667)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:03.854568,"(1.9, 2.16, 2.106315789473684)","(10.0, 22.0, 20.333333333333332)","(2.35, 2.46, 2.435)","(14.0, 25.0, 23.4)","(11.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:04.841455,"(1.9, 2.16, 2.106315789473684)","(10.0, 22.0, 20.333333333333332)","(2.3, 2.46, 2.430285714285714)","(13.0, 25.0, 23.4)","(12.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:05.726617,"(1.9, 2.16, 2.0920754716981134)","(10.0, 22.0, 20.333333333333332)","(2.35, 2.46, 2.425333333333333)","(13.0, 25.0, 23.4)","(12.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:06.633694,"(1.9, 2.16, 2.1235714285714287)","(10.0, 22.0, 20.333333333333332)","(2.35, 2.46, 2.430285714285714)","(13.0, 25.0, 23.4)","(12.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:07.619106,"(1.9, 2.16, 2.124)","(10.0, 22.0, 20.333333333333332)","(2.35, 2.46, 2.425333333333333)","(13.0, 25.0, 23.4)","(12.0, 90.0, 81.66666666666667)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:08.543746,"(1.9, 2.16, 2.1056)","(11.0, 22.0, 20.51851851851852)","(2.3, 2.46, 2.430285714285714)","(13.0, 25.0, 23.4)","(13.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:09.564412,"(1.9, 2.16, 2.0925490196078433)","(11.0, 22.0, 20.51851851851852)","(2.3, 2.46, 2.4228571428571426)","(13.0, 25.0, 23.4)","(13.0, 90.0, 81.66666666666667)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:10.564925,"(1.9, 2.14, 2.1100000000000003)","(11.0, 22.0, 20.51851851851852)","(2.3, 2.46, 2.455185185185185)","(13.0, 25.0, 23.4)","(13.0, 110.0, 95.0)","(31.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:11.526009,"(1.85, 2.14, 2.1191304347826088)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.46, 2.4096774193548387)","(14.0, 25.0, 23.4)","(21.0, 90.0, 81.66666666666667)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:12.527540,"(1.85, 2.14, 2.1329411764705886)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4171428571428573)","(14.0, 25.0, 23.8)","(21.0, 120.0, 84.44444444444444)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:13.487020,"(1.85, 2.14, 2.1368)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4266666666666667)","(14.0, 25.0, 23.4)","(21.0, 120.0, 112.05882352941177)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:14.539059,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.4377251184834123)","(14.0, 25.0, 23.4)","(21.0, 120.0, 90.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:15.441300,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.416470588235294)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:16.410567,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.404)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:17.400293,"(1.85, 2.14, 2.131111111111111)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.4112)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:18.447646,"(1.85, 2.14, 2.131111111111111)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.404)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:19.518902,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.404)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:20.647661,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.404)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:21.675502,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.404)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 86.11111111111111)"
11-01-2023 11:07:22.659332,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4189473684210525)","(14.0, 25.0, 23.4)","(21.0, 110.0, 95.0)","(41.0, 95.0, 82.5)"
11-01-2023 11:07:23.594184,"(1.85, 2.14, 2.1342857142857143)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4114285714285715)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 95.0, 82.5)"
11-01-2023 11:07:24.476931,"(1.85, 2.12, 2.1024000000000003)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4189473684210525)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 95.0, 85.9090909090909)"
11-01-2023 11:07:25.400767,"(1.85, 2.12, 2.0828)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4305882352941177)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 95.0, 85.9090909090909)"
11-01-2023 11:07:26.353390,"(1.85, 2.12, 2.0829473684210527)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4327272727272726)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 95.0, 84.58333333333333)"
11-01-2023 11:07:27.320109,"(1.85, 2.12, 2.0829473684210527)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4327272727272726)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 95.0, 84.58333333333333)"
11-01-2023 11:07:28.214733,"(1.85, 2.12, 2.0829473684210527)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.4363636363636365)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 90.0, 87.5)"
11-01-2023 11:07:29.132199,"(1.85, 2.12, 2.0829473684210527)","(12.0, 22.0, 20.4)","(2.15, 2.44, 2.438425196850394)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 90.0, 87.5)"
11-01-2023 11:07:30.074407,"(1.85, 2.12, 2.0829473684210527)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.431764705882353)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 90.0, 86.0)"
11-01-2023 11:07:31.047355,"(1.85, 2.12, 2.083111111111111)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.438974358974359)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 90.0, 83.33333333333333)"
11-01-2023 11:07:32.040125,"(1.85, 2.12, 2.083111111111111)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.438974358974359)","(14.0, 25.0, 23.444444444444443)","(21.0, 110.0, 95.0)","(41.0, 90.0, 83.33333333333333)"
11-01-2023 11:07:33.074106,"(1.85, 2.12, 2.083111111111111)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4363636363636365)","(14.0, 25.0, 23.444444444444443)","(21.0, 120.0, 109.0909090909091)","(41.0, 90.0, 66.0)"
11-01-2023 11:07:34.033324,"(1.85, 2.1, 2.0885714285714285)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4390243902439024)","(14.0, 25.0, 23.444444444444443)","(21.0, 120.0, 109.0909090909091)","(41.0, 90.0, 65.0)"
11-01-2023 11:07:34.957343,"(1.85, 2.1, 2.090588235294118)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 23.0)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 65.0)"
11-01-2023 11:07:35.881496,"(1.85, 2.1, 2.091111111111111)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 23.0)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 76.36363636363636)"
11-01-2023 11:07:36.774896,"(1.85, 2.1, 2.0942857142857143)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 23.09090909090909)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 76.36363636363636)"
11-01-2023 11:07:37.743825,"(1.85, 2.1, 2.0942857142857143)","(12.0, 22.0, 20.51851851851852)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 23.6875)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:38.700522,"(1.85, 2.12, 2.1025531914893616)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 23.6875)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:39.632982,"(1.85, 2.12, 2.1025531914893616)","(12.0, 22.0, 20.333333333333332)","(2.15, 2.44, 2.4394117647058824)","(14.0, 25.0, 24.0)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:40.627141,"(1.85, 2.14, 2.1276923076923078)","(12.0, 22.0, 20.571428571428573)","(2.15, 2.44, 2.4272727272727272)","(14.0, 25.0, 23.959183673469386)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:41.597726,"(1.85, 2.14, 2.12625)","(12.0, 22.0, 20.571428571428573)","(2.15, 2.44, 2.4272727272727272)","(14.0, 25.0, 23.92)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:42.482828,"(1.85, 2.14, 2.126666666666667)","(12.0, 22.0, 20.571428571428573)","(2.15, 2.44, 2.418461538461538)","(14.0, 25.0, 24.0)","(21.0, 110.0, 106.66666666666667)","(41.0, 90.0, 73.33333333333333)"
11-01-2023 11:07:43.565122,"(1.85, 2.14, 2.1350000000000002)","(12.0, 22.0, 20.571428571428573)","(2.15, 2.42, 2.4186934673366833)","(14.0, 25.0, 23.764705882352942)","(21.0, 110.0, 107.27272727272727)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:44.557227,"(1.85, 2.14, 2.1350000000000002)","(12.0, 22.0, 20.620689655172413)","(2.15, 2.42, 2.4186934673366833)","(14.0, 25.0, 23.764705882352942)","(21.0, 110.0, 107.27272727272727)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:45.639236,"(1.85, 2.14, 2.1371428571428575)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.4186934673366833)","(14.0, 25.0, 23.875)","(21.0, 110.0, 98.18181818181819)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:46.701872,"(1.85, 2.14, 2.1371428571428575)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.4186934673366833)","(14.0, 25.0, 23.875)","(21.0, 100.0, 98.18181818181819)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:47.758114,"(1.85, 2.14, 2.1371428571428575)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.4186934673366833)","(14.0, 25.0, 23.875)","(21.0, 100.0, 98.0)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:48.810617,"(1.85, 2.16, 2.136)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.4179190751445088)","(14.0, 25.0, 23.764705882352942)","(21.0, 100.0, 85.71428571428571)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:49.825139,"(1.85, 2.16, 2.137777777777778)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.4179190751445088)","(14.0, 24.0, 23.3953488372093)","(21.0, 100.0, 85.71428571428571)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:50.773673,"(1.85, 2.16, 2.137777777777778)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.417948717948718)","(14.0, 24.0, 23.27659574468085)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:51.639246,"(1.85, 2.16, 2.137777777777778)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.417948717948718)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:52.671187,"(1.85, 2.16, 2.137777777777778)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:53.710447,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.666666666666668)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:54.770858,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:56.143769,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:57.214526,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:58.218125,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.7027027027027)","(2.15, 2.42, 2.415710455764075)","(14.0, 24.0, 23.306122448979593)","(21.0, 100.0, 87.5)","(41.0, 90.0, 75.0)"
11-01-2023 11:07:59.171577,"(1.85, 2.16, 2.1384615384615384)","(12.0, 22.0, 20.61904761904762)","(2.15, 2.42, 2.4157671957671956)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 87.5)","(41.0, 90.0, 83.33333333333333)"
11-01-2023 11:08:00.270194,"(1.85, 2.16, 2.1384615384615384)","(12.0, 21.0, 20.44)","(2.15, 2.42, 2.4162466487935657)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 85.71428571428571)","(41.0, 90.0, 83.6842105263158)"
11-01-2023 11:08:01.279625,"(1.85, 2.16, 2.1384615384615384)","(12.0, 20.0, 19.3)","(2.15, 2.42, 2.4162466487935657)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 93.33333333333333)","(41.0, 90.0, 83.6842105263158)"
11-01-2023 11:08:02.298364,"(1.85, 2.16, 2.1453333333333333)","(12.0, 19.5, 18.9)","(2.15, 2.42, 2.4162466487935657)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 93.33333333333333)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:03.193486,"(1.85, 2.16, 2.1571428571428575)","(12.0, 19.5, 18.625)","(2.15, 2.42, 2.4162466487935657)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:04.082456,"(1.85, 2.18, 2.1672727272727275)","(12.0, 19.0, 18.533333333333335)","(2.15, 2.42, 2.4185185185185185)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:05.084307,"(1.85, 2.18, 2.158181818181818)","(12.0, 19.0, 18.533333333333335)","(2.15, 2.42, 2.4185185185185185)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:06.081957,"(1.85, 2.18, 2.158181818181818)","(12.0, 19.0, 18.533333333333335)","(2.15, 2.42, 2.4185185185185185)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:07.145931,"(1.85, 2.18, 2.1553846153846155)","(12.0, 19.0, 18.52)","(2.15, 2.42, 2.4185185185185185)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
