,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:41:51.443110,"(2.3, 2.72, 2.645)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2423076923076923)","(14.0, 21.0, 18.742857142857144)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 150.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:53.117513,"(2.3, 2.7, 2.625)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.689655172413794)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 150.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:54.634044,"(2.3, 2.7, 2.6)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.594827586206897)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 214.28571428571428)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:55.999922,"(2.3, 2.6, 2.599285714285714)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.594827586206897)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 214.28571428571428)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:57.758542,"(2.3, 2.6, 2.599285714285714)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.594827586206897)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 214.28571428571428)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:59.074449,"(2.3, 2.6, 2.599285714285714)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.594827586206897)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 214.28571428571428)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 128.0)"
14-12-2022 13:42:00.638572,"(2.3, 2.6, 2.599285714285714)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.84375)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 19.0, 18.594827586206897)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 214.28571428571428)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:42:02.252272,"(2.3, 2.72, 2.701935483870968)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.5, 3.314705882352941)","(14.0, 19.0, 18.958333333333332)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 147.5)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 97.5)"
14-12-2022 13:42:03.839560,"(2.3, 2.72, 2.657391304347826)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 230.0, 147.5)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 105.0)"
14-12-2022 13:42:05.592306,"(2.3, 2.72, 2.657391304347826)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2642857142857142)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 230.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 85.0)"
14-12-2022 13:42:11.573594,"(2.3, 2.72, 2.657391304347826)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2866071428571426)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 101.875)"
14-12-2022 13:42:13.245529,"(2.3, 2.72, 2.626829268292683)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.402)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
14-12-2022 13:42:14.730670,"(2.3, 2.7, 2.626829268292683)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.45, 3.28728813559322)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
