,Chilli Cherry,Levis Beach,Jet Keen,Murrurundi Boy,Nitro Jax,Irinka Isla,Two Suns
08-12-2022 14:49:11.600236,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:12.695939,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:13.829839,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:14.978408,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:16.174678,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:17.305477,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:18.379953,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:19.617208,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:20.861885,"(6.0, 11.0, 9.39090909090909)","(15.0, 46.0, 35.5)","(1.4, 1.84, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:22.035720,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:23.170399,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:24.368310,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:25.537449,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:26.742681,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:27.914169,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:29.069119,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:30.291752,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:31.493812,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:32.732008,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:33.818650,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:34.955643,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:36.113444,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:37.285888,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:38.455720,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:39.619682,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:40.816466,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:41.999456,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:43.132659,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:44.223584,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
