,Nimble Fantasy,Brian Basilisa,Van Diemen,Tamarind Twist,Deep Purple,Douglas Dash,Moraine Charli
07-01-2023 17:06:52.461776,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:53.624674,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:54.733708,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:55.803267,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:56.897891,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:57.967466,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:59.174223,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 65.0)"
07-01-2023 17:07:00.149531,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:01.143433,"(10.0, 21.0, 13.875)","(21.0, 240.0, 116.57142857142857)","(10.0, 24.0, 14.4)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:02.145485,"(10.0, 21.0, 13.875)","(21.0, 240.0, 116.57142857142857)","(10.0, 24.0, 14.4)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:03.075864,"(10.0, 21.0, 13.875)","(21.0, 240.0, 116.57142857142857)","(10.0, 24.0, 14.4)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:04.061399,"(10.0, 21.0, 13.875)","(21.0, 240.0, 116.57142857142857)","(10.0, 24.0, 14.4)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:05.077380,"(10.0, 21.0, 13.875)","(21.0, 240.0, 116.57142857142857)","(10.0, 24.0, 14.4)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:06.045970,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:07.050179,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:08.116222,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:09.179097,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:10.133635,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:11.111169,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:12.126777,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:13.098915,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:14.064943,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:15.057136,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:16.057025,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:17.012903,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:17.936783,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:18.878999,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:19.970484,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 15.48)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:21.058775,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:22.118935,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 42.53333333333333)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:23.146900,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 83.63636363636364)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:24.188258,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:25.161023,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:26.135908,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:27.102203,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:28.201699,"(10.0, 21.0, 14.777777777777779)","(21.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 45.625)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:29.285815,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 40.2)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:30.232058,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 40.2)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:31.510322,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 40.2)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:32.697924,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 40.2)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 55.81818181818182)"
07-01-2023 17:07:34.085023,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 31.90909090909091)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:35.033564,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 31.90909090909091)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:36.097832,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 31.90909090909091)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:37.089537,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:38.075469,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:39.112232,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:40.205110,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:41.208478,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:42.243701,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:43.338963,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:44.321625,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:45.296279,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:46.348696,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:47.385610,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:48.357274,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:49.387410,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:50.648003,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:51.729004,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:52.784481,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.30769230769229)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 32.27272727272727)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:54.085858,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 65.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:55.367914,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:56.577420,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:57.729358,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:07:59.076326,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:00.159894,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:01.339021,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:02.465439,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 35.0)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:03.849089,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 60.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:04.952210,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:06.074940,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:07.151581,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:08.169187,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:09.322772,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:10.493269,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:11.509656,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:12.607104,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:14.006789,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:15.265759,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:16.345838,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:17.404300,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
07-01-2023 17:08:18.402022,"(10.0, 21.0, 14.777777777777779)","(26.0, 240.0, 108.92307692307692)","(10.0, 24.0, 16.11111111111111)","(21.0, 70.0, 33.63636363636364)","(2.8, 4.4, 2.8129032258064512)","(1.6, 2.32, 2.178)","(31.0, 130.0, 67.84615384615384)"
