,Kobe Rocks,Hollywood North,Reformist,Optimo,Nickelback,Conference
11-01-2023 14:13:50.716827,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:51.570567,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:52.478304,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:53.510322,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 237.36842105263156)"
11-01-2023 14:13:54.405942,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:55.252378,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:56.138684,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:57.060303,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:58.035738,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:59.037404,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:13:59.965361,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:00.824182,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:01.703125,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:02.589547,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:03.434634,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:04.343300,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:05.335596,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:06.259140,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:07.165294,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:08.088568,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:09.046442,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:10.024337,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:10.889399,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:11.724203,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 222.72727272727272)"
11-01-2023 14:14:12.645356,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 250.0, 237.36842105263156)"
11-01-2023 14:14:13.686316,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 240.0, 224.44444444444446)"
11-01-2023 14:14:14.798264,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.9873015873015873)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:15.700781,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.9746031746031747)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:16.619053,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.9746031746031747)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:17.641589,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.9746031746031747)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:18.967043,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:19.991212,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:20.978772,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:22.214136,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:23.188749,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:24.199714,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:25.078585,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:25.965236,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:26.889121,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:27.853652,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:28.814859,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:29.906672,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 224.44444444444446)"
11-01-2023 14:14:30.851540,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.23448275862069)","(4.4, 5.6, 5.247058823529412)","(3.0, 4.0, 3.975)","(101.0, 230.0, 207.27272727272728)"
11-01-2023 14:14:31.786589,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.285714285714286)","(4.4, 5.4, 5.207142857142857)","(3.0, 3.95, 3.9217391304347826)","(101.0, 230.0, 207.27272727272728)"
11-01-2023 14:14:32.699938,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.285714285714286)","(4.4, 5.4, 5.207142857142857)","(3.0, 3.95, 3.9217391304347826)","(101.0, 230.0, 207.27272727272728)"
11-01-2023 14:14:33.547491,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.4, 6.285714285714286)","(4.4, 5.4, 5.207142857142857)","(3.0, 3.95, 3.9217391304347826)","(101.0, 220.0, 210.52631578947367)"
11-01-2023 14:14:34.444456,"(4.4, 5.1, 5.080208333333333)","(5.0, 5.9, 5.836)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.3, 5.16060606060606)","(3.0, 3.95, 3.898)","(101.0, 220.0, 199.54545454545456)"
11-01-2023 14:14:35.457760,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:36.337821,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:37.217531,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:38.120598,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:39.026539,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:39.952472,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:40.973419,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:41.973311,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:43.065816,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:44.060428,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:44.976078,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:45.846514,"(4.4, 5.1, 5.088148148148147)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:46.791230,"(4.4, 5.1, 5.088148148148147)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
11-01-2023 14:14:47.712463,"(4.4, 5.1, 5.088148148148147)","(5.0, 6.0, 5.845714285714286)","(5.0, 6.2, 6.1230769230769235)","(4.4, 5.5, 5.310526315789474)","(3.0, 4.1, 3.8983870967741936)","(101.0, 220.0, 193.52941176470588)"
