,Frank Light Year,Whiskey Bob,Redshift Tango,Whacker Wilson,On The Mint,Perseus,Not Afraid,My Maddy
15-12-2022 10:48:48.569951,"(6.5, 15.0, 10.493333333333334)","(6.5, 7.8, 7.378947368421053)","(3.2, 4.3, 3.8357142857142854)","(5.5, 6.2, 5.376470588235295)","(11.0, 23.0, 19.0)","(6.5, 10.5, 10.011111111111111)","(20.0, 110.0, 52.85714285714286)","(5.0, 6.6, 5.52)"
15-12-2022 10:48:49.589520,"(6.5, 12.0, 11.175)","(6.5, 7.8, 7.3130434782608695)","(3.2, 4.2, 4.0)","(5.5, 6.0, 5.418181818181818)","(11.0, 22.0, 19.666666666666668)","(6.5, 10.5, 10.7)","(20.0, 48.0, 39.0)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:50.641978,"(6.5, 12.0, 11.175)","(6.5, 7.8, 7.3130434782608695)","(3.2, 4.2, 4.0)","(5.5, 6.0, 5.36)","(11.0, 22.0, 18.5)","(6.5, 12.0, 9.92)","(20.0, 48.0, 41.6)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:51.632182,"(6.5, 12.0, 11.175)","(6.5, 7.8, 7.36)","(3.2, 4.2, 4.0)","(5.5, 6.0, 5.36)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 9.92)","(20.0, 48.0, 41.6)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:52.657566,"(6.5, 12.0, 11.175)","(6.5, 7.6, 7.385714285714285)","(3.2, 4.2, 4.0)","(5.5, 6.0, 5.466666666666667)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.2)","(20.0, 48.0, 42.666666666666664)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:53.636374,"(6.5, 12.0, 11.175)","(6.5, 7.6, 7.385714285714285)","(3.2, 4.2, 4.0)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.2)","(20.0, 48.0, 42.666666666666664)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:54.686557,"(6.5, 12.0, 11.175)","(6.5, 7.6, 7.385714285714285)","(3.2, 4.2, 4.138888888888889)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.2)","(20.0, 48.0, 42.666666666666664)","(5.0, 6.4, 5.384615384615384)"
15-12-2022 10:48:55.853901,"(6.5, 13.5, 11.341666666666667)","(6.5, 7.8, 7.36)","(3.2, 4.2, 4.138888888888889)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.56)","(20.0, 110.0, 74.0)","(5.0, 6.4, 5.384615384615384)"
15-12-2022 10:48:56.957295,"(6.5, 13.5, 12.442857142857143)","(6.5, 7.8, 7.257142857142857)","(3.2, 4.2, 4.138888888888889)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.56)","(20.0, 110.0, 47.75)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:58.043074,"(6.5, 11.5, 11.107692307692307)","(6.5, 7.8, 7.288)","(3.2, 4.2, 3.780952380952381)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.961538461538462)","(20.0, 50.0, 46.4)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:48:59.166264,"(6.5, 11.5, 11.107692307692307)","(6.5, 7.6, 7.385714285714285)","(3.2, 4.1, 3.8107142857142855)","(5.5, 6.0, 5.475)","(11.0, 22.0, 19.666666666666668)","(6.5, 12.0, 10.961538461538462)","(20.0, 50.0, 46.4)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:49:00.372292,"(6.5, 11.5, 11.16)","(6.5, 8.2, 8.572093023255814)","(3.2, 4.1, 3.682142857142857)","(5.5, 6.0, 5.377777777777777)","(11.0, 22.0, 21.125)","(6.5, 12.0, 11.357142857142858)","(20.0, 50.0, 46.4)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:49:01.550046,"(6.5, 11.5, 11.16)","(6.5, 8.6, 8.572093023255814)","(3.2, 4.1, 3.682142857142857)","(5.5, 6.0, 5.35)","(11.0, 22.0, 21.125)","(6.5, 12.0, 11.625)","(20.0, 50.0, 46.4)","(5.0, 6.4, 5.4222222222222225)"
15-12-2022 10:49:02.582686,"(6.5, 11.5, 11.16)","(6.5, 8.6, 8.342857142857143)","(3.2, 4.1, 3.6736842105263157)","(5.5, 6.0, 5.35)","(11.0, 22.0, 21.125)","(6.5, 12.0, 11.4)","(20.0, 50.0, 59.857142857142854)","(5.0, 6.4, 6.088888888888889)"
15-12-2022 10:49:03.649875,"(6.5, 13.0, 12.085714285714285)","(6.5, 8.8, 8.355555555555556)","(3.2, 4.1, 3.6333333333333333)","(5.5, 6.0, 5.475)","(11.0, 22.0, 21.42857142857143)","(6.5, 12.0, 11.4)","(20.0, 110.0, 59.857142857142854)","(5.0, 6.4, 5.933333333333334)"
15-12-2022 10:49:04.764340,"(6.5, 13.0, 11.285714285714285)","(6.5, 8.8, 8.266666666666667)","(3.2, 4.1, 3.6333333333333333)","(5.5, 5.9, 5.45)","(11.0, 24.0, 21.42857142857143)","(6.5, 12.0, 11.4)","(20.0, 110.0, 59.857142857142854)","(5.0, 6.4, 5.753846153846154)"
15-12-2022 10:49:05.972220,"(6.5, 13.5, 11.75)","(6.5, 8.8, 8.457142857142857)","(3.2, 4.1, 3.6333333333333333)","(5.5, 5.9, 5.45)","(11.0, 24.0, 21.42857142857143)","(6.5, 12.0, 11.590909090909092)","(20.0, 110.0, 48.36363636363636)","(5.0, 6.4, 5.8909090909090915)"
15-12-2022 10:49:07.052479,"(6.5, 11.5, 10.9)","(6.5, 8.8, 8.457142857142857)","(3.2, 4.0, 3.75)","(5.5, 5.9, 5.675)","(11.0, 24.0, 21.42857142857143)","(6.5, 12.5, 11.571428571428571)","(20.0, 50.0, 48.36363636363636)","(5.0, 6.4, 5.741176470588235)"
15-12-2022 10:49:08.062264,"(6.5, 11.5, 10.9)","(6.5, 8.8, 8.457142857142857)","(3.2, 4.0, 3.803571428571429)","(5.5, 5.9, 5.75)","(11.0, 24.0, 21.42857142857143)","(6.5, 12.5, 11.571428571428571)","(20.0, 50.0, 48.36363636363636)","(5.0, 6.4, 5.3954545454545455)"
15-12-2022 10:49:09.119347,"(7.0, 11.5, 10.9)","(6.5, 8.8, 8.457142857142857)","(3.1, 4.0, 3.6750000000000003)","(5.5, 5.9, 5.75)","(12.0, 24.0, 21.42857142857143)","(7.5, 12.5, 11.571428571428571)","(21.0, 50.0, 46.0)","(4.8, 6.4, 5.3954545454545455)"
15-12-2022 10:49:10.167373,"(7.0, 11.5, 10.9)","(6.5, 8.8, 8.457142857142857)","(3.1, 4.0, 3.6750000000000003)","(5.5, 5.9, 5.75)","(12.0, 24.0, 21.42857142857143)","(7.5, 12.5, 11.571428571428571)","(21.0, 50.0, 46.0)","(4.8, 6.4, 5.3954545454545455)"
15-12-2022 10:49:11.236614,"(7.0, 11.5, 10.9)","(6.5, 8.8, 8.5)","(3.1, 3.95, 3.7055555555555557)","(5.5, 5.9, 5.78)","(12.0, 24.0, 21.42857142857143)","(7.5, 12.0, 11.583333333333334)","(21.0, 50.0, 46.0)","(4.8, 6.4, 5.188888888888888)"
15-12-2022 10:49:12.309796,"(7.0, 13.0, 12.0)","(6.5, 8.8, 8.5)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.78)","(12.0, 24.0, 18.333333333333332)","(7.5, 12.0, 11.2)","(21.0, 110.0, 53.0)","(4.8, 5.9, 5.552173913043479)"
15-12-2022 10:49:13.417609,"(7.0, 13.5, 12.333333333333334)","(6.5, 8.8, 8.65)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.78)","(12.0, 23.0, 20.5)","(7.5, 12.0, 11.2)","(21.0, 110.0, 53.0)","(4.8, 5.9, 5.466666666666667)"
15-12-2022 10:49:14.507165,"(7.0, 13.5, 13.0)","(6.5, 8.8, 8.65)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.66)","(12.0, 23.0, 20.5)","(7.5, 12.0, 11.4)","(21.0, 110.0, 53.0)","(4.8, 6.4, 5.388888888888889)"
15-12-2022 10:49:15.576006,"(7.0, 11.5, 11.342105263157894)","(6.5, 8.8, 8.65)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.66)","(12.0, 22.0, 21.1875)","(7.5, 12.0, 11.411764705882353)","(21.0, 110.0, 53.0)","(4.8, 6.4, 5.725925925925926)"
15-12-2022 10:49:16.599490,"(7.0, 11.5, 11.3)","(6.5, 8.8, 8.65)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.66)","(12.0, 22.0, 21.1875)","(7.5, 12.0, 11.411764705882353)","(21.0, 110.0, 53.0)","(4.8, 6.4, 5.663157894736842)"
15-12-2022 10:49:17.644986,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.65)","(3.1, 3.95, 3.6894736842105265)","(5.5, 5.9, 5.588)","(12.0, 22.0, 21.1875)","(7.5, 12.0, 11.625)","(21.0, 110.0, 53.0)","(4.8, 6.4, 5.6000000000000005)"
15-12-2022 10:49:18.738526,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.65)","(3.1, 3.9, 3.675)","(5.5, 5.9, 5.588)","(12.0, 22.0, 19.0)","(7.5, 12.0, 11.476190476190476)","(21.0, 100.0, 68.0)","(4.8, 6.4, 5.6000000000000005)"
15-12-2022 10:49:19.824800,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.9, 3.4875000000000003)","(5.5, 5.9, 5.588)","(12.0, 22.0, 18.0)","(7.5, 12.0, 11.75)","(21.0, 100.0, 49.45454545454545)","(4.8, 6.4, 5.7555555555555555)"
15-12-2022 10:49:20.913268,"(7.0, 13.0, 12.142857142857142)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.9, 3.4875000000000003)","(5.5, 5.9, 5.588)","(12.0, 22.0, 18.0)","(7.5, 12.0, 11.75)","(21.0, 110.0, 54.5)","(4.8, 6.2, 5.7555555555555555)"
15-12-2022 10:49:21.993766,"(7.0, 13.5, 12.916666666666668)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.85, 3.5166666666666666)","(5.5, 5.9, 5.627272727272727)","(12.0, 22.0, 18.0)","(7.5, 12.0, 11.75)","(21.0, 110.0, 65.6)","(4.8, 6.2, 5.319999999999999)"
15-12-2022 10:49:23.078768,"(7.0, 13.5, 13.0625)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.85, 3.49)","(5.5, 5.9, 5.627272727272727)","(12.0, 22.0, 19.333333333333332)","(7.5, 12.0, 11.75)","(21.0, 110.0, 95.6)","(4.8, 6.2, 5.557142857142857)"
15-12-2022 10:49:24.105175,"(7.0, 11.5, 11.3125)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.85, 3.49)","(5.5, 5.9, 5.588)","(12.0, 22.0, 19.333333333333332)","(7.5, 12.0, 11.75)","(21.0, 55.0, 50.75)","(4.8, 6.2, 5.557142857142857)"
15-12-2022 10:49:25.127888,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.85, 3.49)","(5.5, 5.9, 5.611111111111111)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.0, 11.75)","(21.0, 55.0, 51.6)","(4.8, 6.2, 5.557142857142857)"
15-12-2022 10:49:26.131546,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.85, 3.49)","(5.5, 5.9, 5.65)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.0, 11.9375)","(21.0, 55.0, 51.6)","(4.8, 6.2, 5.21)"
15-12-2022 10:49:27.173146,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.8, 3.5)","(5.5, 5.9, 5.65)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.5, 11.9375)","(21.0, 55.0, 53.3)","(4.8, 6.2, 5.21)"
15-12-2022 10:49:28.271913,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.8, 3.481818181818182)","(5.5, 5.9, 5.573333333333333)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.5, 11.857142857142858)","(21.0, 55.0, 53.3)","(4.8, 6.2, 5.477777777777778)"
15-12-2022 10:49:29.408467,"(7.0, 11.5, 11.25)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.8, 3.625)","(5.5, 6.6, 6.0)","(12.0, 22.0, 20.736842105263158)","(7.5, 12.5, 11.857142857142858)","(21.0, 55.0, 74.64285714285714)","(4.8, 6.2, 5.417391304347826)"
15-12-2022 10:49:30.465150,"(7.0, 13.0, 12.142857142857142)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.8, 3.625)","(5.5, 6.6, 6.16)","(12.0, 22.0, 20.736842105263158)","(7.5, 12.5, 11.9)","(21.0, 95.0, 74.64285714285714)","(4.8, 6.2, 5.417391304347826)"
15-12-2022 10:49:31.600917,"(7.0, 13.5, 12.916666666666668)","(6.5, 8.8, 8.707692307692309)","(3.1, 3.8, 3.625)","(5.5, 6.6, 5.995)","(12.0, 22.0, 18.34375)","(7.5, 12.5, 11.9)","(21.0, 95.0, 52.5)","(4.8, 6.2, 5.173333333333333)"
15-12-2022 10:49:32.679504,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.4, 8.346666666666668)","(3.1, 3.8, 3.625)","(5.5, 6.6, 5.995)","(12.0, 18.5, 18.321428571428573)","(7.5, 12.5, 11.61111111111111)","(21.0, 55.0, 52.5)","(4.8, 6.2, 5.4)"
15-12-2022 10:49:33.776150,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7125)","(5.5, 6.6, 5.995)","(12.0, 18.5, 18.321428571428573)","(7.5, 12.5, 11.61111111111111)","(21.0, 55.0, 52.5)","(4.8, 6.2, 5.333333333333333)"
15-12-2022 10:49:34.836594,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7125)","(5.5, 6.6, 5.995)","(12.0, 18.5, 18.321428571428573)","(7.5, 12.5, 11.61111111111111)","(21.0, 55.0, 52.5)","(4.8, 6.2, 5.333333333333333)"
15-12-2022 10:49:35.904362,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7125)","(5.5, 6.6, 5.995)","(12.0, 18.5, 18.272727272727273)","(7.5, 12.5, 11.61111111111111)","(21.0, 55.0, 52.5)","(4.8, 6.2, 5.333333333333333)"
15-12-2022 10:49:36.963829,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7125)","(5.5, 6.6, 6.16)","(12.0, 18.5, 18.272727272727273)","(7.5, 12.5, 11.884615384615385)","(21.0, 55.0, 67.5)","(4.8, 6.2, 5.983333333333333)"
15-12-2022 10:49:38.004906,"(7.0, 13.0, 12.142857142857142)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7649999999999997)","(5.5, 6.6, 5.995)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.5, 11.884615384615385)","(21.0, 95.0, 76.66666666666666)","(4.8, 6.2, 5.457142857142857)"
15-12-2022 10:49:39.007768,"(7.0, 13.5, 12.916666666666668)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.775)","(5.5, 6.6, 5.995)","(12.0, 21.0, 20.545454545454547)","(7.5, 12.5, 11.884615384615385)","(21.0, 95.0, 76.66666666666666)","(4.8, 6.2, 5.457142857142857)"
15-12-2022 10:49:40.049180,"(7.0, 13.5, 12.333333333333334)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7294117647058824)","(5.5, 6.6, 5.995)","(12.0, 22.0, 20.285714285714285)","(7.5, 12.5, 12.055555555555555)","(21.0, 95.0, 56.666666666666664)","(4.8, 6.2, 5.457142857142857)"
15-12-2022 10:49:41.200541,"(7.0, 11.5, 11.071428571428571)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7294117647058824)","(5.5, 6.4, 5.926315789473684)","(12.0, 18.5, 18.321428571428573)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 57.72727272727273)","(4.8, 6.2, 5.533333333333333)"
15-12-2022 10:49:42.275501,"(7.0, 11.5, 10.882352941176471)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.8, 3.7294117647058824)","(5.5, 6.4, 5.926315789473684)","(12.0, 18.5, 18.0)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 58.75)","(4.8, 6.2, 5.490909090909091)"
15-12-2022 10:49:43.344843,"(7.0, 11.5, 10.882352941176471)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.85, 3.716666666666667)","(5.5, 6.4, 5.614285714285715)","(12.0, 18.5, 18.1)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 58.75)","(4.8, 6.2, 5.490909090909091)"
15-12-2022 10:49:44.486979,"(7.0, 11.5, 10.882352941176471)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.85, 3.716666666666667)","(5.5, 6.2, 5.5600000000000005)","(12.0, 18.5, 18.1)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 58.57142857142857)","(4.8, 6.2, 5.405555555555555)"
15-12-2022 10:49:45.595173,"(7.0, 11.5, 10.882352941176471)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.85, 3.689583333333333)","(5.5, 6.2, 5.488888888888889)","(12.0, 18.5, 18.1)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 58.57142857142857)","(4.8, 5.8, 5.488888888888889)"
15-12-2022 10:49:46.742413,"(7.0, 11.5, 10.882352941176471)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.85, 3.689583333333333)","(5.5, 6.2, 5.488888888888889)","(12.0, 18.5, 18.1)","(7.5, 12.5, 12.055555555555555)","(21.0, 60.0, 58.57142857142857)","(4.8, 5.8, 5.488888888888889)"
15-12-2022 10:49:47.821470,"(7.0, 11.5, 11.153846153846153)","(6.5, 8.8, 8.600000000000001)","(3.1, 3.85, 3.7065217391304346)","(5.5, 6.2, 5.466666666666667)","(12.0, 22.0, 20.307692307692307)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 77.5)","(4.8, 5.8, 5.444444444444445)"
15-12-2022 10:49:48.936999,"(7.0, 11.5, 11.153846153846153)","(6.5, 8.6, 8.442105263157895)","(3.1, 3.8, 3.5857142857142854)","(5.5, 5.9, 5.681818181818182)","(12.0, 22.0, 18.86111111111111)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.0)","(4.8, 6.6, 6.455555555555556)"
15-12-2022 10:49:50.080803,"(7.0, 10.5, 10.444444444444445)","(6.5, 8.6, 8.466666666666667)","(3.1, 3.8, 3.5727272727272728)","(5.5, 5.9, 5.66)","(12.0, 19.0, 18.86111111111111)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.0)","(4.8, 6.6, 6.428571428571429)"
15-12-2022 10:49:51.173224,"(7.0, 10.5, 10.444444444444445)","(6.5, 8.6, 8.466666666666667)","(3.1, 3.8, 3.5727272727272728)","(5.5, 5.9, 5.590322580645162)","(12.0, 19.0, 18.666666666666668)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.0)","(4.8, 6.6, 6.3)"
15-12-2022 10:49:52.307564,"(7.0, 10.5, 10.444444444444445)","(6.5, 8.6, 8.42)","(3.1, 3.75, 3.583333333333333)","(5.5, 5.9, 5.590322580645162)","(12.0, 19.0, 18.666666666666668)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.0)","(4.8, 6.6, 6.3)"
15-12-2022 10:49:53.463524,"(7.0, 10.5, 10.444444444444445)","(6.5, 8.6, 8.42)","(3.1, 3.75, 3.6)","(5.5, 5.9, 5.61764705882353)","(12.0, 19.0, 18.666666666666668)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.0)","(4.8, 6.6, 6.3)"
15-12-2022 10:49:54.632326,"(7.0, 10.5, 10.444444444444445)","(6.5, 8.6, 8.42)","(3.1, 3.75, 3.6)","(5.5, 5.9, 5.66)","(12.0, 19.0, 19.77777777777778)","(7.5, 12.5, 12.055555555555555)","(26.0, 100.0, 85.76923076923077)","(4.8, 6.6, 6.3)"
15-12-2022 10:49:55.740320,"(7.0, 11.5, 10.8)","(6.5, 8.6, 8.39)","(3.1, 3.75, 3.6)","(5.5, 6.6, 5.584615384615384)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 11.61111111111111)","(26.0, 95.0, 85.76923076923077)","(4.8, 6.6, 6.3)"
15-12-2022 10:49:56.852343,"(7.0, 11.5, 10.8)","(6.5, 8.6, 8.39)","(3.1, 3.75, 3.6)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.94736842105263)","(7.5, 12.5, 11.6)","(26.0, 95.0, 68.63636363636364)","(4.8, 6.6, 6.25)"
15-12-2022 10:49:57.992345,"(7.0, 11.5, 11.09090909090909)","(6.5, 8.6, 8.388235294117647)","(3.1, 3.75, 3.6)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.0, 11.166666666666666)","(26.0, 70.0, 68.63636363636364)","(4.8, 6.6, 5.875)"
15-12-2022 10:49:59.098732,"(7.0, 11.5, 11.09090909090909)","(6.5, 8.6, 8.366666666666667)","(3.1, 3.75, 3.525)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 11.166666666666666)","(26.0, 70.0, 68.63636363636364)","(4.8, 6.4, 5.74)"
15-12-2022 10:50:00.141776,"(7.0, 11.5, 10.0)","(6.5, 8.6, 8.507692307692308)","(3.1, 3.75, 3.525)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 11.166666666666666)","(26.0, 70.0, 68.63636363636364)","(4.8, 6.4, 5.825)"
15-12-2022 10:50:01.159859,"(7.0, 11.0, 9.285714285714286)","(6.5, 8.8, 8.274999999999999)","(3.1, 3.75, 3.525)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 11.166666666666666)","(26.0, 70.0, 68.63636363636364)","(4.8, 6.2, 5.616666666666667)"
15-12-2022 10:50:02.135785,"(7.0, 11.0, 9.875)","(6.5, 8.8, 8.285714285714285)","(3.1, 3.75, 3.525)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 11.166666666666666)","(26.0, 70.0, 68.63636363636364)","(4.8, 6.2, 5.866666666666667)"
15-12-2022 10:50:03.228542,"(7.0, 11.0, 9.875)","(6.5, 8.8, 8.25)","(3.1, 3.75, 3.525)","(5.5, 6.4, 5.65)","(12.0, 22.0, 20.571428571428573)","(7.5, 12.5, 10.681818181818182)","(26.0, 70.0, 85.76923076923077)","(4.8, 6.2, 5.866666666666667)"
