,Lady Vuitton,Lievore,My Girl Zarlie,Radstar,Shout Out Girl,Sweet Bella,Vartolomei,Freedom,Misspoke,Scapini,Tennessee Maggie,Winning Bid
12-01-2023 17:15:27.193727,"(11.0, 13.5, 13.3659793814433)","(7.0, 8.6, 8.529328621908126)","(101.0, 300.0, 275.0)","(21.0, 29.0, 28.283783783783782)","(21.0, 29.0, 28.92105263157895)","(16.0, 22.0, 21.66857142857143)","(7.5, 9.2, 9.163291139240506)","(8.5, 10.5, 10.347352024922118)","(13.0, 14.5, 14.095890410958905)","(3.9, 4.7, 4.654834189631013)","(18.0, 24.0, 23.60377358490566)","(6.0, 6.8, 6.6998073217726395)"
12-01-2023 17:15:28.540255,"(11.0, 13.5, 13.367441860465116)","(7.0, 8.6, 8.528571428571428)","(101.0, 300.0, 294.54545454545456)","(21.0, 29.0, 28.34567901234568)","(21.0, 29.0, 28.986301369863014)","(16.0, 22.0, 21.869565217391305)","(7.5, 9.2, 9.1626582278481)","(8.5, 10.5, 10.348453608247423)","(13.0, 14.5, 14.226851851851851)","(3.9, 4.7, 4.654834189631013)","(18.0, 24.0, 23.60377358490566)","(6.0, 6.8, 6.684262295081967)"
12-01-2023 17:15:29.899408,"(11.0, 13.5, 13.36574074074074)","(7.0, 8.6, 8.528571428571428)","(101.0, 300.0, 294.54545454545456)","(21.0, 29.0, 28.341463414634145)","(21.0, 29.0, 28.986301369863014)","(16.0, 22.0, 21.869565217391305)","(7.5, 9.2, 9.16)","(8.5, 10.5, 10.644345238095237)","(13.0, 14.5, 14.242574257425742)","(3.9, 4.7, 4.560076045627376)","(18.0, 24.0, 22.421397379912662)","(6.0, 6.8, 6.688235294117646)"
12-01-2023 17:15:31.283864,"(11.0, 13.5, 13.368778280542987)","(7.0, 8.6, 8.529577464788732)","(101.0, 300.0, 294.54545454545456)","(21.0, 29.0, 28.419354838709676)","(21.0, 30.0, 29.215686274509803)","(16.0, 22.0, 21.869565217391305)","(7.5, 9.2, 9.28125)","(8.5, 11.0, 10.684)","(13.0, 14.5, 14.463942307692308)","(3.9, 4.6, 4.481151473612063)","(18.0, 23.0, 22.396103896103895)","(6.0, 6.8, 6.688235294117646)"
12-01-2023 17:15:32.674726,"(11.0, 13.5, 13.368778280542987)","(7.0, 8.6, 8.528571428571428)","(101.0, 300.0, 260.0)","(21.0, 29.0, 28.448275862068964)","(21.0, 30.0, 29.396551724137932)","(16.0, 22.0, 21.9296875)","(7.5, 9.4, 9.34320987654321)","(8.5, 11.0, 10.347619047619048)","(13.0, 14.5, 14.969696969696969)","(3.9, 4.6, 4.470943396226415)","(18.0, 23.0, 22.405857740585773)","(6.0, 6.8, 6.688669950738916)"
12-01-2023 17:15:38.230403,"(11.0, 13.5, 13.401477832512315)","(7.0, 8.6, 8.529577464788732)","(101.0, 300.0, 260.0)","(21.0, 29.0, 28.448275862068964)","(21.0, 30.0, 29.396551724137932)","(16.0, 22.0, 21.934306569343065)","(7.5, 9.4, 9.323076923076924)","(8.5, 10.5, 10.3516228748068)","(13.0, 15.0, 14.974358974358974)","(3.9, 4.5, 4.472335329341317)","(18.0, 23.0, 22.415637860082306)","(6.0, 6.8, 6.6928909952606634)"
12-01-2023 17:15:39.707500,"(11.0, 13.5, 13.40783410138249)","(7.0, 8.6, 8.5527950310559)","(101.0, 300.0, 241.66666666666666)","(21.0, 29.0, 28.58)","(21.0, 30.0, 29.556818181818183)","(16.0, 22.0, 22.21461187214612)","(7.5, 9.4, 9.350617283950617)","(8.5, 10.5, 10.319354838709678)","(13.0, 15.0, 14.212121212121213)","(3.9, 4.5, 4.507426597582038)","(18.0, 23.0, 22.12121212121212)","(6.0, 6.8, 6.7762711864406775)"
12-01-2023 17:15:41.118849,"(11.0, 13.5, 15.889570552147239)","(7.0, 8.6, 8.470588235294118)","(101.0, 300.0, 280.0)","(21.0, 29.0, 27.75)","(21.0, 30.0, 28.666666666666668)","(16.0, 23.0, 17.6)","(7.5, 9.4, 9.868421052631579)","(8.5, 10.5, 10.381818181818183)","(13.0, 14.5, 12.9375)","(3.9, 4.6, 4.592727272727273)","(18.0, 23.0, 25.444444444444443)","(6.0, 6.8, 7.620338983050847)"
12-01-2023 17:15:42.409949,"(11.0, 16.0, 15.578947368421051)","(7.0, 9.0, 8.470588235294118)","(101.0, 460.0, 280.0)","(21.0, 36.0, 27.75)","(21.0, 40.0, 28.666666666666668)","(16.0, 26.0, 17.6)","(7.5, 10.5, 9.868421052631579)","(8.5, 13.0, 10.381818181818183)","(13.0, 17.0, 12.9375)","(3.9, 5.0, 4.592727272727273)","(18.0, 26.0, 25.444444444444443)","(6.0, 8.0, 7.620338983050847)"
12-01-2023 17:15:43.760414,"(11.0, 16.0, 15.578947368421051)","(7.0, 9.0, 8.470588235294118)","(101.0, 460.0, 220.0)","(21.0, 36.0, 27.75)","(21.0, 40.0, 26.4)","(16.0, 26.0, 17.875)","(7.5, 10.5, 9.868421052631579)","(8.5, 13.0, 10.381818181818183)","(13.0, 17.0, 13.5)","(3.9, 5.0, 4.3691729323308275)","(18.0, 26.0, 25.444444444444443)","(6.0, 8.0, 7.815384615384615)"
12-01-2023 17:15:45.086115,"(11.0, 16.0, 15.578947368421051)","(7.0, 9.0, 8.470588235294118)","(101.0, 460.0, 275.0)","(21.0, 36.0, 27.75)","(21.0, 40.0, 30.5)","(16.0, 25.0, 17.875)","(7.5, 10.5, 9.868421052631579)","(8.5, 13.0, 10.381818181818183)","(13.0, 16.5, 13.5)","(3.9, 4.4, 4.371875)","(18.0, 26.0, 20.166666666666668)","(6.0, 8.0, 7.5200000000000005)"
12-01-2023 17:15:45.377231,"(11.0, 16.0, 15.578947368421051)","(7.0, 8.4, 8.376470588235295)","(101.0, 450.0, 216.66666666666669)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.433333333333334)","(8.5, 13.0, 10.381818181818183)","(13.0, 16.5, 15.9)","(3.9, 4.4, 4.373600000000001)","(18.0, 26.0, 18.258064516129032)","(6.0, 8.0, 7.5)"
12-01-2023 17:15:46.695515,"(11.0, 16.0, 15.578947368421051)","(7.0, 8.4, 8.188235294117646)","(101.0, 450.0, 213.33333333333331)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.433333333333334)","(8.5, 13.0, 10.381818181818183)","(13.0, 19.5, 15.5)","(3.9, 4.4, 4.367)","(18.0, 21.0, 16.109375)","(6.0, 7.6, 7.5)"
12-01-2023 17:15:47.993984,"(11.0, 16.0, 15.578947368421051)","(7.0, 9.0, 8.470588235294118)","(101.0, 440.0, 265.0)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.433333333333334)","(8.5, 13.0, 12.284210526315789)","(13.0, 19.5, 18.0)","(3.9, 4.4, 4.356756756756757)","(18.0, 18.0, 16.109375)","(6.0, 7.6, 7.539999999999999)"
12-01-2023 17:15:49.381740,"(11.0, 16.0, 15.578947368421051)","(7.0, 9.0, 8.470588235294118)","(101.0, 430.0, 265.0)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 9.868421052631579)","(8.5, 13.0, 12.284210526315789)","(13.0, 27.0, 19.75)","(3.9, 4.4, 4.253846153846154)","(18.0, 18.0, 17.12)","(6.0, 7.6, 7.374358974358975)"
12-01-2023 17:15:50.674111,"(11.0, 16.0, 15.578947368421051)","(7.0, 8.0, 7.966666666666667)","(101.0, 430.0, 182.5)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.348275862068965)","(8.5, 13.0, 12.284210526315789)","(13.0, 25.0, 19.75)","(3.9, 4.4, 4.504516129032258)","(18.0, 18.0, 18.258064516129032)","(6.0, 7.4, 7.386666666666667)"
12-01-2023 17:15:52.065541,"(11.0, 16.0, 15.578947368421051)","(7.0, 8.8, 8.695652173913045)","(101.0, 430.0, 203.33333333333331)","(21.0, 36.0, 27.75)","(21.0, 38.0, 26.75)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.348275862068965)","(8.5, 13.0, 12.284210526315789)","(13.0, 25.0, 22.9)","(3.9, 5.0, 4.4980392156862745)","(18.0, 21.0, 19.0625)","(6.0, 7.4, 7.3860465116279075)"
12-01-2023 17:15:53.463751,"(11.0, 16.0, 15.578947368421051)","(7.0, 8.8, 8.695652173913045)","(101.0, 410.0, 255.0)","(21.0, 36.0, 27.75)","(21.0, 38.0, 19.71875)","(16.0, 25.0, 17.875)","(7.5, 10.5, 10.348275862068965)","(8.5, 13.0, 10.381818181818183)","(13.0, 25.0, 22.375)","(3.9, 5.0, 4.281481481481482)","(18.0, 20.0, 19.0625)","(6.0, 7.4, 9.072340425531916)"
