,Gungho,Raphael,Roys Legacy,Cyclone Harmony,Vankukla,Wallawallabingbang,A Dandy Catch,So Greysful,Star Harmony
08-01-2023 12:19:38.648343,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.524324324324324)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:39.749025,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.524324324324324)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:40.853219,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.524324324324324)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:42.022522,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.524324324324324)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:43.210307,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.373469387755103)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:44.371443,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.506451612903226)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:45.553163,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.506451612903226)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:46.691803,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:47.889950,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:49.060991,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:50.222909,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:51.447513,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:52.599393,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:53.702600,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:54.805343,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:55.913527,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:57.010859,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:58.113534,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:59.200391,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:20:00.312189,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:20:01.457403,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.4222222222222225)"
08-01-2023 12:20:02.617274,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.4222222222222225)"
08-01-2023 12:20:03.736534,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.4222222222222225)"
08-01-2023 12:20:04.932504,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:06.120941,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:07.296036,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:08.434956,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:09.534218,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:10.672431,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:11.828948,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:12.970302,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:14.005720,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:15.118688,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:16.247625,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:17.385143,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:18.505465,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 180.0, 178.33333333333331)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:19.645807,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 220.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:20.839481,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:21.990766,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:23.169945,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:24.358712,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:25.460459,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:26.579874,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:27.711573,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:28.826750,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:29.946669,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:31.038023,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:32.124009,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:33.236880,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:34.347593,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.208333333333334)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.484375)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:35.472447,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.5)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.435294117647059)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:36.597851,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.5)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.6, 5.435294117647059)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:37.780865,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.5)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.6, 5.435294117647059)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:38.897958,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.5)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.6, 5.541666666666666)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:40.010173,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.6, 5.433333333333334)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:41.122057,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.433333333333334)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:42.255453,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.433333333333334)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:43.384356,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 6.257142857142857)"
08-01-2023 12:20:44.526426,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 5.844444444444445)"
08-01-2023 12:20:45.663584,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 5.844444444444445)"
08-01-2023 12:20:46.800976,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 5.844444444444445)"
08-01-2023 12:20:47.938511,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 5.844444444444445)"
08-01-2023 12:20:49.059663,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 152.5)","(4.2, 5.7, 5.407936507936508)","(4.8, 7.0, 5.83)"
08-01-2023 12:20:50.215090,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 141.0)","(4.2, 5.7, 5.0807692307692305)","(4.8, 7.0, 6.25)"
08-01-2023 12:20:51.314119,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 141.0)","(4.2, 5.7, 5.0807692307692305)","(4.8, 6.8, 6.25)"
08-01-2023 12:20:52.460733,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.833333333333332)","(10.0, 15.5, 15.0625)","(3.4, 4.9, 4.66)","(3.5, 4.5, 4.264285714285714)","(18.0, 27.0, 24.0)","(81.0, 210.0, 141.0)","(4.2, 5.7, 5.504716981132075)","(4.8, 6.8, 6.25)"
